setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
roe	Rise of the Eldrazi	2010-04-23	1	All Is Dust	14693689-d087-43b6-9c3f-63ab0648fc20			removal, targeted_removal				Kindred Sorcery — Eldrazi	{7}	7					verify analyzer roles	https://scryfall.com/card/roe/1/all-is-dust?utm_source=api	Each player sacrifices all permanents they control that are one or more colors.
roe	Rise of the Eldrazi	2010-04-23	2	Artisan of Kozilek	19409704-09c4-4a4b-a5a7-f95120b425db	covered		battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage	false		Covered by PRM role audit.	Creature — Eldrazi	{9}	9			Annihilator		already reviewed	https://scryfall.com/card/roe/2/artisan-of-kozilek?utm_source=api	When you cast this spell, you may return target creature card from your graveyard to the battlefield. Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)
roe	Rise of the Eldrazi	2010-04-23	3	Eldrazi Conscription	3635e4e5-e655-45f4-a444-39756f55129a			combat_support				Kindred Enchantment — Eldrazi Aura	{8}	8			Enchant		verify analyzer roles	https://scryfall.com/card/roe/3/eldrazi-conscription?utm_source=api	Enchant creature Enchanted creature gets +10/+10 and has trample and annihilator 2. (Whenever it attacks, defending player sacrifices two permanents of their choice.)
roe	Rise of the Eldrazi	2010-04-23	4	Emrakul, the Aeons Torn	900ca697-ad38-4b2b-bc74-2ff7eb6ea951	covered		combat_body, combat_threat, extra_turn, finisher, self_protection	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{15}	15			Flying, Annihilator, Protection		already reviewed	https://scryfall.com/card/roe/4/emrakul-the-aeons-torn?utm_source=api	This spell can't be countered. When you cast this spell, take an extra turn after this one. Flying, protection from spells that are one or more colors, annihilator 6 When Emrakul is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
roe	Rise of the Eldrazi	2010-04-23	5	Hand of Emrakul	b206d3bc-1203-4f00-997e-5da706346a24			combat_body, combat_support, sacrifice_support				Creature — Eldrazi	{9}	9			Annihilator		verify analyzer roles	https://scryfall.com/card/roe/5/hand-of-emrakul?utm_source=api	You may sacrifice four Eldrazi Spawn rather than pay this spell's mana cost. Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent of their choice.)
roe	Rise of the Eldrazi	2010-04-23	6	Kozilek, Butcher of Truth	7b8528b0-71eb-4c9e-bed9-aa2d2e84038f	covered		card_draw, combat_body, combat_support, direct_draw, draw, repeatable_draw	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{10}	10			Annihilator		already reviewed	https://scryfall.com/card/roe/6/kozilek-butcher-of-truth?utm_source=api	When you cast this spell, draw four cards. Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.) When Kozilek is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
roe	Rise of the Eldrazi	2010-04-23	7	It That Betrays	b11187ab-f8a8-422b-b550-4495f96de0f2			combat_body, combat_support, theft_support				Creature — Eldrazi	{12}	12			Annihilator		verify analyzer roles	https://scryfall.com/card/roe/7/it-that-betrays?utm_source=api	Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.) Whenever an opponent sacrifices a nontoken permanent, put that card onto the battlefield under your control.
roe	Rise of the Eldrazi	2010-04-23	8	Not of This World	5da5d8a3-009e-4d8a-977e-6ebc73ba2682			broad_stack, hard_stack, stack				Kindred Instant — Eldrazi	{7}	7					verify analyzer roles	https://scryfall.com/card/roe/8/not-of-this-world?utm_source=api	Counter target spell or ability that targets a permanent you control. This spell costs {7} less to cast if it targets a spell or ability that targets a creature you control with power 7 or greater.
roe	Rise of the Eldrazi	2010-04-23	9	Pathrazer of Ulamog	4bf95747-4572-49b8-b892-87fe7f910252	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Eldrazi	{11}	11			Annihilator		already reviewed	https://scryfall.com/card/roe/9/pathrazer-of-ulamog?utm_source=api	Annihilator 3 (Whenever this creature attacks, defending player sacrifices three permanents of their choice.) This creature can't be blocked except by three or more creatures.
roe	Rise of the Eldrazi	2010-04-23	10	Skittering Invasion	cf890abd-b282-4dbb-ac86-9e7caec1c1b8			burst_ramp, ramp, sacrifice_support, token_support				Kindred Sorcery — Eldrazi	{7}	7					verify analyzer roles	https://scryfall.com/card/roe/10/skittering-invasion?utm_source=api	Create five 0/1 colorless Eldrazi Spawn creature tokens. They have "Sacrifice this token: Add {C}."
roe	Rise of the Eldrazi	2010-04-23	11	Spawnsire of Ulamog	b90d2f4d-b4ea-40af-aea0-1ab4234ab80f			burst_ramp, combat_body, combat_support, ramp, sacrifice_support, token_support				Creature — Eldrazi	{10}	10			Annihilator		verify analyzer roles	https://scryfall.com/card/roe/11/spawnsire-of-ulamog?utm_source=api	Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent of their choice.) {4}: Create two 0/1 colorless Eldrazi Spawn creature tokens. They have "Sacrifice this token: Add {C}." {20}: Cast any number of Eldrazi spells from among cards you own outside the game without paying their mana costs.
roe	Rise of the Eldrazi	2010-04-23	12	Ulamog, the Infinite Gyre	b817bc56-9b4d-4c50-bafa-3c652b99578f	covered		combat_body, combat_support, removal, self_protection, targeted_removal	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{11}	11			Indestructible, Annihilator		already reviewed	https://scryfall.com/card/roe/12/ulamog-the-infinite-gyre?utm_source=api	When you cast this spell, destroy target permanent. Indestructible Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.) When Ulamog is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
roe	Rise of the Eldrazi	2010-04-23	13	Ulamog's Crusher	597bce51-af89-4d13-9a97-667b4f4f4694			combat_body, combat_support				Creature — Eldrazi	{8}	8			Annihilator		verify analyzer roles	https://scryfall.com/card/roe/13/ulamogs-crusher?utm_source=api	Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.) This creature attacks each combat if able.
roe	Rise of the Eldrazi	2010-04-23	14	Affa Guard Hound	3819daab-fe35-4f99-9282-47bd05c7fcd6			combat_body, combat_support, replacement_engine, tempo_support				Creature — Dog	{2}{W}	3	W	W	Flash		verify analyzer roles	https://scryfall.com/card/roe/14/affa-guard-hound?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When this creature enters, target creature gets +0/+3 until end of turn.
roe	Rise of the Eldrazi	2010-04-23	15	Caravan Escort	9a9c221d-9bb4-4ec4-b5db-cb26db6065df			combat_body, combat_support, combat_threat, counter_support				Creature — Human Knight	{W}	1	W	W	First strike, Level Up		verify analyzer roles	https://scryfall.com/card/roe/15/caravan-escort?utm_source=api	Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-4 2/2 LEVEL 5+ 5/5 First strike
roe	Rise of the Eldrazi	2010-04-23	16	Dawnglare Invoker	0d603aef-2b92-43fb-81ba-f89953a198df			combat_body, combat_support, combat_threat				Creature — Kor Wizard	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/roe/16/dawnglare-invoker?utm_source=api	Flying {8}: Tap all creatures target player controls.
roe	Rise of the Eldrazi	2010-04-23	17	Deathless Angel	6098ba4b-ebfe-48da-a33d-b94c021ac559	covered		combat_body, combat_support, combat_threat, protection, self_protection, targeted_protection	false		Covered by PRM role audit.	Creature — Angel	{4}{W}{W}	6	W	W	Flying		already reviewed	https://scryfall.com/card/roe/17/deathless-angel?utm_source=api	Flying {W}{W}: Target creature gains indestructible until end of turn.
roe	Rise of the Eldrazi	2010-04-23	18	Demystify	fd591199-9f7a-4147-a150-13279dbb4498	covered		removal, targeted_removal	false		Covered by ONS role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/roe/18/demystify?utm_source=api	Destroy target enchantment.
roe	Rise of the Eldrazi	2010-04-23	19	Eland Umbra	836fdd4b-98f8-4615-ae81-9bf63205c37d			combat_support, replacement_engine				Enchantment — Aura	{1}{W}	2	W	W	Umbra armor, Enchant		verify analyzer roles	https://scryfall.com/card/roe/19/eland-umbra?utm_source=api	Enchant creature Enchanted creature gets +0/+4. Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)
roe	Rise of the Eldrazi	2010-04-23	20	Emerge Unscathed	894015d5-ee78-45df-8d37-53df963c59a6			card_selection, protection, repeatable_advantage, repeatable_draw, selection, targeted_protection				Instant	{W}	1	W	W	Rebound		verify analyzer roles	https://scryfall.com/card/roe/20/emerge-unscathed?utm_source=api	Target creature you control gains protection from the color of your choice until end of turn. Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
roe	Rise of the Eldrazi	2010-04-23	21	Gideon Jura	7340dbcb-4b26-4038-be8c-a89e76294221	covered		broad_protection, combat_support, protection, removal, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Gideon	{3}{W}{W}	5	W	W			already reviewed	https://scryfall.com/card/roe/21/gideon-jura?utm_source=api	+2: During target opponent's next turn, creatures that player controls attack Gideon Jura if able. −2: Destroy target tapped creature. 0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
roe	Rise of the Eldrazi	2010-04-23	22	Glory Seeker	55c60b29-52c5-428c-9229-11ed0e26bd71	covered		combat_body	false		Covered by ONS role audit.	Creature — Human Soldier	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/roe/22/glory-seeker?utm_source=api	
roe	Rise of the Eldrazi	2010-04-23	23	Guard Duty	3b20e187-c200-40a0-8db2-481f0bf90168							Enchantment — Aura	{W}	1	W	W	Enchant		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/roe/23/guard-duty?utm_source=api	Enchant creature Enchanted creature has defender.
roe	Rise of the Eldrazi	2010-04-23	24	Harmless Assault	bfcc3a16-1ca8-4112-a10e-d4e52d3daa8d			broad_protection, combat_support, protection				Instant	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/roe/24/harmless-assault?utm_source=api	Prevent all combat damage that would be dealt this turn by attacking creatures.
roe	Rise of the Eldrazi	2010-04-23	25	Hedron-Field Purists	ecc3e2ac-6534-4350-92f4-2c1f578d854e			combat_body, combat_support, counter_support, protection, self_protection				Creature — Human Cleric	{2}{W}	3	W	W	Level Up		verify analyzer roles	https://scryfall.com/card/roe/25/hedron-field-purists?utm_source=api	Level up {2}{W} ({2}{W}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-4 1/4 If a source would deal damage to you or a creature you control, prevent 1 of that damage. LEVEL 5+ 2/5 If a source would deal damage to you or a creature you control, prevent 2 of that damage.
roe	Rise of the Eldrazi	2010-04-23	26	Hyena Umbra	354affb3-1be7-4a9e-91da-2989eb54f62d			combat_support, replacement_engine				Enchantment — Aura	{W}	1	W	W	Umbra armor, Enchant		verify analyzer roles	https://scryfall.com/card/roe/26/hyena-umbra?utm_source=api	Enchant creature Enchanted creature gets +1/+1 and has first strike. Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)
roe	Rise of the Eldrazi	2010-04-23	27	Ikiral Outrider	4c03e0db-ce26-41f6-a12c-861a919e52fb			combat_body, combat_support, combat_threat, counter_support				Creature — Human Soldier	{1}{W}	2	W	W	Vigilance, Level Up		verify analyzer roles	https://scryfall.com/card/roe/27/ikiral-outrider?utm_source=api	Level up {4} ({4}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-3 2/6 Vigilance LEVEL 4+ 3/10 Vigilance
roe	Rise of the Eldrazi	2010-04-23	28	Kabira Vindicator	c43c76d5-aa11-4fce-911a-ec60cb06ce2a			combat_body, combat_support, counter_support				Creature — Human Knight	{3}{W}	4	W	W	Level Up		verify analyzer roles	https://scryfall.com/card/roe/28/kabira-vindicator?utm_source=api	Level up {2}{W} ({2}{W}: Put a level counter on this. Level up only as a sorcery.) LEVEL 2-4 3/6 Other creatures you control get +1/+1. LEVEL 5+ 4/8 Other creatures you control get +2/+2.
roe	Rise of the Eldrazi	2010-04-23	29	Knight of Cliffhaven	5045cfc3-ea63-4e0d-bf6a-bdeaf841ae3c			combat_body, combat_support, combat_threat, counter_support				Creature — Kor Knight	{1}{W}	2	W	W	Flying, Vigilance, Level Up		verify analyzer roles	https://scryfall.com/card/roe/29/knight-of-cliffhaven?utm_source=api	Level up {3} ({3}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-3 2/3 Flying LEVEL 4+ 4/4 Flying, vigilance
roe	Rise of the Eldrazi	2010-04-23	30	Kor Line-Slinger	1a852283-42d4-4197-91b9-5c952c7325ca			combat_body, removal, tempo_removal				Creature — Kor Scout	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/roe/30/kor-line-slinger?utm_source=api	{T}: Tap target creature with power 3 or less.
roe	Rise of the Eldrazi	2010-04-23	31	Kor Spiritdancer	2bfc7467-1316-43d3-9ca6-ff36cc2de607			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Kor Wizard	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/roe/31/kor-spiritdancer?utm_source=api	This creature gets +2/+2 for each Aura attached to it. Whenever you cast an Aura spell, you may draw a card.
roe	Rise of the Eldrazi	2010-04-23	32	Lightmine Field	20490b29-4f08-48a2-bf54-2ba118e746ac			combat_support				Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/roe/32/lightmine-field?utm_source=api	Whenever one or more creatures attack, this enchantment deals damage to each of those creatures equal to the number of attacking creatures.
roe	Rise of the Eldrazi	2010-04-23	33	Linvala, Keeper of Silence	88dadc31-dfac-41b3-bf2a-65fa89e3c16d			combat_body, combat_threat, stax_piece				Legendary Creature — Angel	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/roe/33/linvala-keeper-of-silence?utm_source=api	Flying Activated abilities of creatures your opponents control can't be activated.
roe	Rise of the Eldrazi	2010-04-23	34	Lone Missionary	626f1dc3-3b14-4873-902f-ffec5487a97d			combat_body, lifegain				Creature — Kor Monk	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/roe/34/lone-missionary?utm_source=api	When this creature enters, you gain 4 life.
roe	Rise of the Eldrazi	2010-04-23	35	Luminous Wake	950e345d-455e-4bd4-be8e-bc3381ac3050			combat_support, lifegain				Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/roe/35/luminous-wake?utm_source=api	Enchant creature Whenever enchanted creature attacks or blocks, you gain 4 life.
roe	Rise of the Eldrazi	2010-04-23	36	Makindi Griffin	af2a951f-7630-48fe-bb37-273b66901eb6			combat_body, combat_threat				Creature — Griffin	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/roe/36/makindi-griffin?utm_source=api	Flying
roe	Rise of the Eldrazi	2010-04-23	37	Mammoth Umbra	cd0e6cdb-9b7f-47d6-9478-fb50003165af			combat_support, replacement_engine				Enchantment — Aura	{4}{W}	5	W	W	Umbra armor, Enchant		verify analyzer roles	https://scryfall.com/card/roe/37/mammoth-umbra?utm_source=api	Enchant creature Enchanted creature gets +3/+3 and has vigilance. Umbra armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)
roe	Rise of the Eldrazi	2010-04-23	38	Near-Death Experience	2afb027f-3c02-46cf-97a1-af0e946ee477			alternate_finisher, finisher, repeatable_finisher				Enchantment	{2}{W}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/roe/38/near-death-experience?utm_source=api	At the beginning of your upkeep, if you have exactly 1 life, you win the game.
roe	Rise of the Eldrazi	2010-04-23	39	Nomads' Assembly	a9a0088a-3c86-4baf-9754-79006f733ce1			card_selection, repeatable_advantage, repeatable_draw, selection, token_support				Sorcery	{4}{W}{W}	6	W	W	Rebound		verify analyzer roles	https://scryfall.com/card/roe/39/nomads-assembly?utm_source=api	Create a 1/1 white Kor Soldier creature token for each creature you control. Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
roe	Rise of the Eldrazi	2010-04-23	40	Oust	efc12fda-054b-466a-a863-06cf54878172			removal, tempo_removal				Sorcery	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/roe/40/oust?utm_source=api	Put target creature into its owner's library second from the top. Its controller gains 3 life.
roe	Rise of the Eldrazi	2010-04-23	41	Puncturing Light	15e71226-feb0-4870-a3ea-d8604ca5b3dc			removal, targeted_removal				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/roe/41/puncturing-light?utm_source=api	Destroy target attacking or blocking creature with power 3 or less.
roe	Rise of the Eldrazi	2010-04-23	42	Repel the Darkness	47f5ea79-2bf2-4e17-9c6d-e1cbcd9d30d1			card_draw, direct_draw, draw, removal, tempo_removal				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/roe/42/repel-the-darkness?utm_source=api	Tap up to two target creatures. Draw a card.
roe	Rise of the Eldrazi	2010-04-23	43	Smite	367379f2-e1e4-48e7-b2c0-1003de55adbe	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Stronghold role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/roe/43/smite?utm_source=api	Destroy target blocked creature.
roe	Rise of the Eldrazi	2010-04-23	44	Soul's Attendant	045a9d3d-c20d-427f-a77b-0bffc6f55526			combat_body, lifegain				Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/roe/44/souls-attendant?utm_source=api	Whenever another creature enters, you may gain 1 life.
roe	Rise of the Eldrazi	2010-04-23	45	Soulbound Guardians	11f7f6e4-2c39-4478-8c10-4473dbf921a2			combat_body, combat_threat				Creature — Kor Spirit	{4}{W}	5	W	W	Flying, Defender		verify analyzer roles	https://scryfall.com/card/roe/45/soulbound-guardians?utm_source=api	Defender, flying
roe	Rise of the Eldrazi	2010-04-23	46	Stalwart Shield-Bearers	55aafc25-76c5-4621-941b-754bd8f13e64			combat_body, combat_support				Creature — Human Soldier	{1}{W}	2	W	W	Defender		verify analyzer roles	https://scryfall.com/card/roe/46/stalwart-shield-bearers?utm_source=api	Defender Other creatures you control with defender get +0/+2.
roe	Rise of the Eldrazi	2010-04-23	47	Student of Warfare	0bc2875b-3a5a-4885-86b9-16ab7330ac10			combat_body, combat_support, combat_threat, counter_support				Creature — Human Knight	{W}	1	W	W	First strike, Level Up, Double strike		verify analyzer roles	https://scryfall.com/card/roe/47/student-of-warfare?utm_source=api	Level up {W} ({W}: Put a level counter on this. Level up only as a sorcery.) LEVEL 2-6 3/3 First strike LEVEL 7+ 4/4 Double strike
roe	Rise of the Eldrazi	2010-04-23	48	Survival Cache	5fb8be5a-3666-4680-84e2-341cb269df07			card_draw, card_selection, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, selection				Sorcery	{2}{W}	3	W	W	Rebound		verify analyzer roles	https://scryfall.com/card/roe/48/survival-cache?utm_source=api	You gain 2 life. Then if you have more life than an opponent, draw a card. Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
roe	Rise of the Eldrazi	2010-04-23	49	Time of Heroes	fcfb96d7-9b3b-4f60-8714-eebe4d9c002b			combat_support, counter_support				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/roe/49/time-of-heroes?utm_source=api	Each creature you control with a level counter on it gets +2/+2.
roe	Rise of the Eldrazi	2010-04-23	50	Totem-Guide Hartebeest	c3a1bb65-556a-4016-a06a-3894710cb190			combat_body, restricted_tutor, tutor				Creature — Antelope	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/roe/50/totem-guide-hartebeest?utm_source=api	When this creature enters, you may search your library for an Aura card, reveal it, put it into your hand, then shuffle.
roe	Rise of the Eldrazi	2010-04-23	51	Transcendent Master	11332981-f06a-48c7-a7b4-fce68e629e82			combat_body, combat_support, combat_threat, counter_support, lifegain, self_protection				Creature — Human Cleric Avatar	{1}{W}{W}	3	W	W	Lifelink, Indestructible, Level Up		verify analyzer roles	https://scryfall.com/card/roe/51/transcendent-master?utm_source=api	Level up {1} ({1}: Put a level counter on this. Level up only as a sorcery.) LEVEL 6-11 6/6 Lifelink LEVEL 12+ 9/9 Lifelink, indestructible
roe	Rise of the Eldrazi	2010-04-23	52	Umbra Mystic	c0a4f47c-c7f9-4b95-aa1b-30580e4cf030			combat_body, replacement_engine				Creature — Human Wizard	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/roe/52/umbra-mystic?utm_source=api	Auras attached to permanents you control have umbra armor. (If an enchanted permanent you control would be destroyed, instead remove all damage from it and destroy an Aura attached to it.)
