setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
rvr	Ravnica Remastered	2024-01-12	1	Karn, the Great Creator	a20dd48d-d344-4db1-b0e9-a2b71c3cc9d1	covered		combat_support, face_down_support, stax_piece	false		Covered by PRM role audit.	Legendary Planeswalker — Karn	{4}	4					already reviewed	https://scryfall.com/card/rvr/1/karn-the-great-creator?utm_source=api	Activated abilities of artifacts your opponents control can't be activated. +1: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value. −2: You may reveal an artifact card you own from outside the game or choose a face-up artifact card you own in exile. Put that card into your hand.
rvr	Ravnica Remastered	2024-01-12	2	Angelic Exaltation	507d2f27-08a9-4938-b191-5734cda42ef2			combat_support, scalable_spell				Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rvr/2/angelic-exaltation?utm_source=api	Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.
rvr	Ravnica Remastered	2024-01-12	3	Armory Guard	96c67950-df59-430c-94fd-234086c6c8f2			combat_body, combat_support				Creature — Giant Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/rvr/3/armory-guard?utm_source=api	This creature has vigilance as long as you control a Gate.
rvr	Ravnica Remastered	2024-01-12	4	Arrester's Zeal	6b70af46-ff27-4eec-9692-248b06248de6			combat_support				Instant	{W}	1	W	W	Addendum		verify analyzer roles	https://scryfall.com/card/rvr/4/arresters-zeal?utm_source=api	Target creature gets +2/+2 until end of turn. Addendum — If you cast this spell during your main phase, that creature gains flying until end of turn.
rvr	Ravnica Remastered	2024-01-12	5	Azorius Arrester	3f2a27a1-f9cf-4dac-a248-5c6af4de3722			combat_body, combat_support				Creature — Human Soldier	{1}{W}	2	W	W	Detain		verify analyzer roles	https://scryfall.com/card/rvr/5/azorius-arrester?utm_source=api	When this creature enters, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)
rvr	Ravnica Remastered	2024-01-12	6	Azorius Justiciar	cba0eae3-73ea-4ea9-87bf-1015e490da90			combat_body, combat_support				Creature — Human Wizard	{2}{W}{W}	4	W	W	Detain		verify analyzer roles	https://scryfall.com/card/rvr/6/azorius-justiciar?utm_source=api	When this creature enters, detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)
rvr	Ravnica Remastered	2024-01-12	7	Basilica Guards	24d2e266-2dcb-40f1-a465-cfc63e9aa6ae			combat_body, direct_finisher, finisher, lifegain, repeatable_finisher				Creature — Human Soldier	{2}{W}	3	W	W	Extort, Defender		verify analyzer roles	https://scryfall.com/card/rvr/7/basilica-guards?utm_source=api	Defender Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
rvr	Ravnica Remastered	2024-01-12	8	Blazing Archon	82a70e4c-01ed-4280-80e4-86cb2bf6e63d			combat_body, combat_support, combat_threat				Creature — Archon	{6}{W}{W}{W}	9	W	W	Flying		verify analyzer roles	https://scryfall.com/card/rvr/8/blazing-archon?utm_source=api	Flying Creatures can't attack you.
rvr	Ravnica Remastered	2024-01-12	9	Blind Obedience	5d998c09-7d89-4265-ada4-6d80cbf56dae			direct_finisher, finisher, lifegain, repeatable_finisher, stax_piece				Enchantment	{1}{W}	2	W	W	Extort		verify analyzer roles	https://scryfall.com/card/rvr/9/blind-obedience?utm_source=api	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Artifacts and creatures your opponents control enter tapped.
rvr	Ravnica Remastered	2024-01-12	10	Boros Elite	7c83fb45-03af-4f1a-b7e3-2c4f47511658			combat_body, combat_support				Creature — Human Soldier	{W}	1	W	W	Battalion		verify analyzer roles	https://scryfall.com/card/rvr/10/boros-elite?utm_source=api	Battalion — Whenever this creature and at least two other creatures attack, this creature gets +2/+2 until end of turn.
rvr	Ravnica Remastered	2024-01-12	11	Bulwark Giant	f606bd15-b380-447f-b147-72f811266593			combat_body, lifegain				Creature — Giant Soldier	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/rvr/11/bulwark-giant?utm_source=api	When this creature enters, you gain 5 life.
rvr	Ravnica Remastered	2024-01-12	12	Carom	05775dea-d7f0-4e0b-af4d-ba8d320dc4c0			card_draw, direct_draw, draw				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/rvr/12/carom?utm_source=api	The next 1 damage that would be dealt to target creature this turn is dealt to another target creature instead. Draw a card.
rvr	Ravnica Remastered	2024-01-12	13	Conclave Equenaut	4127794b-84d1-4efb-b0e9-543a02b07fa8			combat_body, combat_threat, cost_reduction				Creature — Human Soldier	{4}{W}{W}	6	W	W	Flying, Convoke		verify analyzer roles	https://scryfall.com/card/rvr/13/conclave-equenaut?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Flying
rvr	Ravnica Remastered	2024-01-12	14	Condemn	377d31b5-0a48-4d5b-91bd-b5a62d4f7899	covered		removal, tempo_removal	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/rvr/14/condemn?utm_source=api	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
rvr	Ravnica Remastered	2024-01-12	15	Devouring Light	5334dc24-040e-4094-80f4-8d1b9de01230			cost_reduction, removal, targeted_removal				Instant	{1}{W}{W}	3	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/rvr/15/devouring-light?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Exile target attacking or blocking creature.
