setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
s99	Starter 1999	1999-07-01	1	Angel of Light	d12cf640-ff60-4935-a2c7-28ab788de42c	covered		combat_body, combat_threat			Covered by S99 role audit.	Creature — Angel	{4}{W}	5	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/s99/1/angel-of-light?utm_source=api	Flying, vigilance
s99	Starter 1999	1999-07-01	2	Angel of Mercy	a2daaf32-dbfe-4618-892e-0da24f63a44a	covered		combat_body, combat_threat, lifegain	false		Covered by S99 role audit.	Creature — Angel	{4}{W}	5	W	W	Flying		already reviewed	https://scryfall.com/card/s99/2/angel-of-mercy?utm_source=api	Flying When this creature enters, you gain 3 life.
s99	Starter 1999	1999-07-01	3	Angelic Blessing	d3758fca-0522-4b5a-a1cc-3b2b3ab299ba	covered	combat_support	combat_support	false		Covered by Portal role audit.	Sorcery	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/s99/3/angelic-blessing?utm_source=api	Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
s99	Starter 1999	1999-07-01	4	Archangel	9971697b-2acc-4bc2-a44e-074d03a51df7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Media and Collaboration Promos role audit.	Creature — Angel	{5}{W}{W}	7	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/s99/4/archangel?utm_source=api	Flying, vigilance
s99	Starter 1999	1999-07-01	5	Ardent Militia	23625877-b6db-480c-8885-a62b7d0457df	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Portal role audit.	Creature — Human Soldier	{4}{W}	5	W	W	Vigilance		already reviewed	https://scryfall.com/card/s99/5/ardent-militia?utm_source=api	Vigilance
s99	Starter 1999	1999-07-01	6	Armageddon	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	covered	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by Alpha role audit batch 1.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/s99/6/armageddon?utm_source=api	Destroy all lands.
s99	Starter 1999	1999-07-01	7	Bargain	a0dd88f6-6e36-40ce-bac2-a0db2b0117b6	covered		card_draw, lifegain	false		Covered by S99 role audit.	Sorcery	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/s99/7/bargain?utm_source=api	Target opponent draws a card. You gain 7 life.
s99	Starter 1999	1999-07-01	8	Blinding Light	6b315dc3-c330-4b30-b6ad-4da12ccf6ca3	covered	combat_support	combat_support	false		Covered by Mirage role audit.	Sorcery	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/s99/8/blinding-light?utm_source=api	Tap all nonwhite creatures.
s99	Starter 1999	1999-07-01	9	Border Guard	1ef5003c-f540-4cdc-913f-7d5280ad9f62	covered	combat_body	combat_body	false		Covered by Portal role audit.	Creature — Human Soldier	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/s99/9/border-guard?utm_source=api	
s99	Starter 1999	1999-07-01	10	Breath of Life	30d9e200-b944-43ff-89b8-a550a788ae03	covered	battlefield_recursion, card_selection, recursion	battlefield_recursion, card_selection, recursion	false		Covered by Portal role audit.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/s99/10/breath-of-life?utm_source=api	Return target creature card from your graveyard to the battlefield.
s99	Starter 1999	1999-07-01	11	Champion Lancer	2681bfb5-127b-4046-85ac-72be584999cb	covered		combat_body			Covered by S99 role audit.	Creature — Human Knight	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/s99/11/champion-lancer?utm_source=api	Prevent all damage that would be dealt to this creature by creatures.
s99	Starter 1999	1999-07-01	12	Charging Paladin	6cccf44e-c05e-4239-b643-54b559c98552	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Portal role audit.	Creature — Human Knight	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/s99/12/charging-paladin?utm_source=api	Whenever this creature attacks, it gets +0/+3 until end of turn.
s99	Starter 1999	1999-07-01	13	Devoted Hero	fff6f2d0-22b5-41d0-99dc-bc817c3bd166	covered	combat_body	combat_body	false		Covered by Portal role audit.	Creature — Elf Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/s99/13/devoted-hero?utm_source=api	
s99	Starter 1999	1999-07-01	14	Devout Monk	8a0f4e8e-b541-4327-80fe-4fecc23e0df3	covered		combat_body, lifegain			Covered by S99 role audit.	Creature — Human Monk Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/s99/14/devout-monk?utm_source=api	When this creature enters, you gain 1 life.
