setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
scg	Scourge	2003-05-26	1	Ageless Sentinels	9023c530-f329-4301-8b24-4cf676194265	covered		combat_body, combat_support, combat_threat			Covered by SCG role audit.	Creature — Wall	{3}{W}	4	W	W	Flying, Defender		verify analyzer roles	https://scryfall.com/card/scg/1/ageless-sentinels?utm_source=api	Defender (This creature can't attack.) Flying When this creature blocks, it becomes a Bird Giant, and it loses defender. (It's no longer a Wall. This effect lasts indefinitely.)
scg	Scourge	2003-05-26	2	Astral Steel	ef8ac291-3789-4147-a11f-c62fd8566dbe	covered		combat_support			Covered by SCG role audit.	Instant	{2}{W}	3	W	W	Storm		verify analyzer roles	https://scryfall.com/card/scg/2/astral-steel?utm_source=api	Target creature gets +1/+2 until end of turn. Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)
scg	Scourge	2003-05-26	3	Aven Farseer	4591e1e5-5cac-4812-80e0-67c1237862d3	covered		combat_body, combat_threat, counter_support, face_down_support			Covered by SCG role audit.	Creature — Bird Soldier	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/scg/3/aven-farseer?utm_source=api	Flying Whenever a permanent is turned face up, put a +1/+1 counter on this creature.
scg	Scourge	2003-05-26	4	Aven Liberator	0f3fff7a-cc46-4c72-9edc-fdbddd3b51b5	covered		combat_body, combat_threat, face_down_support, protection, self_protection, targeted_protection			Covered by SCG role audit.	Creature — Bird Soldier	{2}{W}{W}	4	W	W	Flying, Morph		verify analyzer roles	https://scryfall.com/card/scg/4/aven-liberator?utm_source=api	Flying Morph {3}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, target creature you control gains protection from the color of your choice until end of turn.
scg	Scourge	2003-05-26	5	Daru Spiritualist	e58a5631-dd00-4b1b-a2aa-2558bb0ff62f	covered		combat_body, combat_support			Covered by SCG role audit.	Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/scg/5/daru-spiritualist?utm_source=api	Whenever a Cleric creature you control becomes the target of a spell or ability, it gets +0/+2 until end of turn.
scg	Scourge	2003-05-26	6	Daru Warchief	3fce53fb-6914-4f43-b46b-18ca32ab21b2	covered		combat_body, combat_support, cost_reduction, ramp			Covered by SCG role audit.	Creature — Human Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/scg/6/daru-warchief?utm_source=api	Soldier spells you cast cost {1} less to cast. Soldier creatures you control get +1/+2.
scg	Scourge	2003-05-26	7	Dawn Elemental	307421ed-aa59-4518-a0eb-689c60d7b709	covered		combat_body, combat_threat			Covered by SCG role audit.	Creature — Elemental	{W}{W}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/scg/7/dawn-elemental?utm_source=api	Flying Prevent all damage that would be dealt to this creature.
scg	Scourge	2003-05-26	8	Decree of Justice	67a98359-6f02-4556-ad47-c01b643686d6	covered		card_draw, combat_support, direct_draw, draw, mana_sink, scalable_spell, selection, token_support	false		Covered by PRM role audit.	Sorcery	{X}{X}{2}{W}{W}	4	W	W	Cycling		already reviewed	https://scryfall.com/card/scg/8/decree-of-justice?utm_source=api	Create X 4/4 white Angel creature tokens with flying. Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.) When you cycle this card, you may pay {X}. If you do, create X 1/1 white Soldier creature tokens.
scg	Scourge	2003-05-26	9	Dimensional Breach	70d4f764-fca1-477a-9b0f-bbfcc1f7dfb1	covered		mass_removal, removal			Covered by SCG role audit.	Sorcery	{5}{W}{W}	7	W	W			verify analyzer roles	https://scryfall.com/card/scg/9/dimensional-breach?utm_source=api	Exile all permanents. For as long as any of those cards remain exiled, at the beginning of each player's upkeep, that player returns one of the exiled cards they own to the battlefield.
scg	Scourge	2003-05-26	10	Dragon Scales	04628d92-bd5e-4aff-830d-7b302bd6459e	covered		battlefield_recursion, card_selection, combat_support			Covered by SCG role audit.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/scg/10/dragon-scales?utm_source=api	Enchant creature Enchanted creature gets +1/+2 and has vigilance. When a creature with mana value 6 or greater enters, you may return this card from your graveyard to the battlefield attached to that creature.
scg	Scourge	2003-05-26	11	Dragonstalker	d9410a82-1b7f-4f3a-a0fd-53099d7594ec	covered		combat_body, combat_threat, self_protection			Covered by SCG role audit.	Creature — Bird Soldier	{4}{W}	5	W	W	Flying, Protection		verify analyzer roles	https://scryfall.com/card/scg/11/dragonstalker?utm_source=api	Flying, protection from Dragons
scg	Scourge	2003-05-26	12	Eternal Dragon	04d8615c-3883-4251-9790-1d8a4a40e142	covered		card_selection, combat_body, combat_threat, hand_recursion, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_advantage, repeatable_tutor, selection, tutor	false		Covered by PRM role audit.	Creature — Dragon Spirit	{5}{W}{W}	7	W	W	Flying, Plainscycling, Landcycling, Typecycling, Cycling		already reviewed	https://scryfall.com/card/scg/12/eternal-dragon?utm_source=api	Flying {3}{W}{W}: Return this card from your graveyard to your hand. Activate only during your upkeep. Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)
scg	Scourge	2003-05-26	13	Exiled Doomsayer	7a4c2d47-3489-4e56-b38b-de2dddd942ad	covered		combat_body, face_down_support			Covered by SCG role audit.	Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/scg/13/exiled-doomsayer?utm_source=api	All morph costs cost {2} more. (This doesn't affect the cost to cast creature spells face down.)
scg	Scourge	2003-05-26	14	Force Bubble	655ae8e7-372b-4d8d-b33f-4aca46831abb	covered		counter_support, replacement_engine, sacrifice_support			Covered by SCG role audit.	Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/scg/14/force-bubble?utm_source=api	If damage would be dealt to you, put that many depletion counters on this enchantment instead. When there are four or more depletion counters on this enchantment, sacrifice it. At the beginning of each end step, remove all depletion counters from this enchantment.
scg	Scourge	2003-05-26	15	Frontline Strategist	6e202114-48f3-46d2-bc54-df766d149d9d	covered		broad_protection, combat_body, combat_support, face_down_support, protection			Covered by SCG role audit.	Creature — Human Soldier	{W}	1	W	W	Morph		verify analyzer roles	https://scryfall.com/card/scg/15/frontline-strategist?utm_source=api	Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, prevent all combat damage non-Soldier creatures would deal this turn.
scg	Scourge	2003-05-26	16	Gilded Light	f7e7b2aa-9fd2-41dd-b11e-3a233530dc83	covered		card_draw, direct_draw, draw, selection, self_protection			Covered by SCG role audit.	Instant	{1}{W}	2	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/scg/16/gilded-light?utm_source=api	You gain shroud until end of turn. (You can't be the target of spells or abilities.) Cycling {2} ({2}, Discard this card: Draw a card.)
scg	Scourge	2003-05-26	17	Guilty Conscience	a1439ace-5880-4fb8-a321-ec8063e7ed0e	covered		removal, targeted_removal			Covered by SCG role audit.	Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/scg/17/guilty-conscience?utm_source=api	Enchant creature Whenever enchanted creature deals damage, this Aura deals that much damage to that creature.
scg	Scourge	2003-05-26	18	Karona's Zealot	dff66bcf-e126-49d2-b67e-ea3b0a38d390	covered		combat_body, face_down_support			Covered by SCG role audit.	Creature — Human Cleric	{4}{W}	5	W	W	Morph		verify analyzer roles	https://scryfall.com/card/scg/18/karonas-zealot?utm_source=api	Morph {3}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, all damage that would be dealt to it this turn is dealt to target creature instead.
scg	Scourge	2003-05-26	19	Noble Templar	e7079969-8d88-4f18-a872-2661bed6ff74	covered		card_selection, combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, selection, tutor			Covered by SCG role audit.	Creature — Human Cleric Soldier	{5}{W}	6	W	W	Plainscycling, Vigilance, Landcycling, Typecycling, Cycling		verify analyzer roles	https://scryfall.com/card/scg/19/noble-templar?utm_source=api	Vigilance Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)
scg	Scourge	2003-05-26	20	Rain of Blades	c7d398a4-0eb3-43cc-9952-35f3b791aa7a	covered		mass_removal, removal			Covered by SCG role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/scg/20/rain-of-blades?utm_source=api	Rain of Blades deals 1 damage to each attacking creature.
scg	Scourge	2003-05-26	21	Recuperate	07d7f9d2-5414-4aaf-b6f2-1fedf16c3af7	covered		lifegain, protection, targeted_protection			Covered by SCG role audit.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/scg/21/recuperate?utm_source=api	Choose one — • You gain 6 life. • Prevent the next 6 damage that would be dealt to target creature this turn.
scg	Scourge	2003-05-26	22	Reward the Faithful	7fb7c848-377c-4476-9b3f-d95d145137f1	covered		lifegain			Covered by SCG role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/scg/22/reward-the-faithful?utm_source=api	Any number of target players each gain life equal to the greatest mana value among permanents you control.
scg	Scourge	2003-05-26	23	Silver Knight	aa7cd6e6-35a6-4c18-9d66-dc2a95206401	covered		combat_body, combat_threat, self_protection	false		Covered by PRM role audit.	Creature — Human Knight	{W}{W}	2	W	W	First strike, Protection		already reviewed	https://scryfall.com/card/scg/23/silver-knight?utm_source=api	First strike, protection from red
scg	Scourge	2003-05-26	24	Trap Digger	91857f68-4b0e-4fdf-8782-74324b496648	covered		combat_body, counter_support, removal, sacrifice_support, targeted_removal			Covered by SCG role audit.	Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/scg/24/trap-digger?utm_source=api	{2}{W}, {T}: Put a trap counter on target land you control. Sacrifice a land with a trap counter on it: This creature deals 3 damage to target attacking creature without flying.
scg	Scourge	2003-05-26	25	Wing Shards	b302bce5-d7ad-46d8-9dbf-8159e8709b4f	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{1}{W}{W}	3	W	W	Storm		already reviewed	https://scryfall.com/card/scg/25/wing-shards?utm_source=api	Target player sacrifices an attacking creature of their choice. Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)
scg	Scourge	2003-05-26	26	Wipe Clean	f5cbc4f3-4e73-405f-9daf-e5b7c73fa6ee	covered		card_draw, direct_draw, draw, removal, selection, targeted_removal			Covered by SCG role audit.	Instant	{1}{W}	2	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/scg/26/wipe-clean?utm_source=api	Exile target enchantment. Cycling {3} ({3}, Discard this card: Draw a card.)
scg	Scourge	2003-05-26	27	Zealous Inquisitor	e85f6251-8801-414b-adc9-5488794e7456	covered		combat_body			Covered by SCG role audit.	Creature — Human Cleric	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/scg/27/zealous-inquisitor?utm_source=api	{1}{W}: The next 1 damage that would be dealt to this creature this turn is dealt to target creature instead.
scg	Scourge	2003-05-26	28	Aphetto Runecaster	949eb86a-94b2-4c9f-8040-f4ad8e1a7e33	covered		card_draw, combat_body, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw			Covered by SCG role audit.	Creature — Human Wizard	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/scg/28/aphetto-runecaster?utm_source=api	Whenever a permanent is turned face up, you may draw a card.
scg	Scourge	2003-05-26	29	Brain Freeze	464c0150-3dbc-403b-9ada-fef25ab1f29d	covered		mill_support			Covered by SCG role audit.	Instant	{1}{U}	2	U	U	Storm, Mill		verify analyzer roles	https://scryfall.com/card/scg/29/brain-freeze?utm_source=api	Target player mills three cards. Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)
scg	Scourge	2003-05-26	30	Coast Watcher	02eef375-5166-4b6b-bb17-b38074a6ba53	covered		combat_body, combat_threat, self_protection			Covered by SCG role audit.	Creature — Bird Soldier	{1}{U}	2	U	U	Flying, Protection		verify analyzer roles	https://scryfall.com/card/scg/30/coast-watcher?utm_source=api	Flying, protection from green
scg	Scourge	2003-05-26	31	Day of the Dragons	c4df259a-cdd4-420a-8e3d-7b69da5c9f6f	covered		mass_removal, removal, sacrifice_support, token_support			Covered by SCG role audit.	Enchantment	{4}{U}{U}{U}	7	U	U			verify analyzer roles	https://scryfall.com/card/scg/31/day-of-the-dragons?utm_source=api	When this enchantment enters, exile all creatures you control. Then create that many 5/5 red Dragon creature tokens with flying. When this enchantment leaves the battlefield, sacrifice all Dragons you control. Then return the exiled cards to the battlefield under your control.
scg	Scourge	2003-05-26	32	Decree of Silence	920684d0-aef3-4408-a66b-a0c9394c58f4	covered		card_draw, counter_support, direct_draw, draw, hard_stack, repeatable_advantage, repeatable_draw, sacrifice_support, selection, stack			Covered by SCG role audit.	Enchantment	{6}{U}{U}	8	U	U	Cycling		verify analyzer roles	https://scryfall.com/card/scg/32/decree-of-silence?utm_source=api	Whenever an opponent casts a spell, counter that spell and put a depletion counter on this enchantment. If there are three or more depletion counters on this enchantment, sacrifice it. Cycling {4}{U}{U} ({4}{U}{U}, Discard this card: Draw a card.) When you cycle this card, you may counter target spell.
scg	Scourge	2003-05-26	33	Dispersal Shield	aefb1463-76fb-419e-8cda-8c5bfb88a3d2	covered		hard_stack, soft_stack, stack			Covered by SCG role audit.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/scg/33/dispersal-shield?utm_source=api	Counter target spell if its mana value is less than or equal to the greatest mana value among permanents you control.
scg	Scourge	2003-05-26	34	Dragon Wings	85271333-af96-447a-8a16-9fadf0eaedb2	covered		battlefield_recursion, card_draw, card_selection, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection			Covered by SCG role audit.	Enchantment — Aura	{1}{U}	2	U	U	Enchant, Cycling		verify analyzer roles	https://scryfall.com/card/scg/34/dragon-wings?utm_source=api	Enchant creature Enchanted creature has flying. Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.) When a creature with mana value 6 or greater enters, you may return this card from your graveyard to the battlefield attached to that creature.
scg	Scourge	2003-05-26	35	Faces of the Past	c8cd2b52-6d32-413f-9b26-2f9d436dbeae	covered		sacrifice_support			Covered by SCG role audit.	Enchantment	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/scg/35/faces-of-the-past?utm_source=api	Whenever a creature dies, tap all untapped creatures that share a creature type with it or untap all tapped creatures that share a creature type with it.
scg	Scourge	2003-05-26	36	Frozen Solid	7101f0ab-89ce-4b13-a5a8-4cabd6c8670d	covered		removal, targeted_removal, tempo_removal			Covered by SCG role audit.	Enchantment — Aura	{1}{U}{U}	3	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/scg/36/frozen-solid?utm_source=api	Enchant creature Enchanted creature doesn't untap during its controller's untap step. When enchanted creature is dealt damage, destroy it.
scg	Scourge	2003-05-26	37	Hindering Touch	90c6f338-fc41-4499-8f39-1cd202a2cd31	covered		soft_stack, stack			Covered by SCG role audit.	Instant	{3}{U}	4	U	U	Storm		verify analyzer roles	https://scryfall.com/card/scg/37/hindering-touch?utm_source=api	Counter target spell unless its controller pays {2}. Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)
scg	Scourge	2003-05-26	38	Long-Term Plans	d1dfb359-d8f9-491e-88f7-95193b220200	covered		direct_tutor, tutor			Covered by SCG role audit.	Instant	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/scg/38/long-term-plans?utm_source=api	Search your library for a card, then shuffle and put that card third from the top.
scg	Scourge	2003-05-26	39	Mercurial Kite	92f2a27d-3ec6-445c-9962-96b099f793ee	covered		combat_body, combat_support, combat_threat			Covered by SCG role audit.	Creature — Bird	{3}{U}	4	U	U	Flying		verify analyzer roles	https://scryfall.com/card/scg/39/mercurial-kite?utm_source=api	Flying Whenever this creature deals combat damage to a creature, tap that creature. That creature doesn't untap during its controller's next untap step.
scg	Scourge	2003-05-26	40	Metamorphose	77d6c141-5670-4120-9346-dc2fdcb66e50	covered		removal, tempo_removal			Covered by SCG role audit.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/scg/40/metamorphose?utm_source=api	Put target permanent an opponent controls on top of its owner's library. That opponent may put an artifact, creature, enchantment, or land card from their hand onto the battlefield.
scg	Scourge	2003-05-26	41	Mind's Desire	b3739b5a-5731-4c64-a244-815a363b0d5c	covered		card_selection, direct_draw, draw, selection	false		Covered by PRM role audit.	Sorcery	{4}{U}{U}	6	U	U	Storm		already reviewed	https://scryfall.com/card/scg/41/minds-desire?utm_source=api	Shuffle your library. Then exile the top card of your library. Until end of turn, you may play that card without paying its mana cost. Storm (When you cast this spell, copy it for each spell cast before it this turn.)
scg	Scourge	2003-05-26	42	Mischievous Quanar	30e3e48c-98dc-4d27-b7ea-e81d39f7d24e	covered		combat_body, copy_support, face_down_support			Covered by SCG role audit.	Creature — Beast	{4}{U}	5	U	U	Morph		verify analyzer roles	https://scryfall.com/card/scg/42/mischievous-quanar?utm_source=api	{3}{U}{U}: Turn this creature face down. Morph {1}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, copy target instant or sorcery spell. You may choose new targets for that copy.
scg	Scourge	2003-05-26	43	Mistform Warchief	97f1ac0d-a3a6-46d8-ae99-b17b636fe47c	covered		combat_body, cost_reduction, ramp			Covered by SCG role audit.	Creature — Illusion	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/scg/43/mistform-warchief?utm_source=api	Creature spells you cast that share a creature type with this creature cost {1} less to cast. {T}: This creature becomes the creature type of your choice until end of turn.
scg	Scourge	2003-05-26	44	Parallel Thoughts	2daee7cb-6736-4aa6-9921-0371c1abe69f	covered		direct_tutor, face_down_support, replacement_engine, tutor			Covered by SCG role audit.	Enchantment	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/scg/44/parallel-thoughts?utm_source=api	When this enchantment enters, search your library for seven cards, exile them in a face-down pile, and shuffle that pile. Then shuffle your library. If you would draw a card, you may instead put the top card of the pile you exiled into your hand.
scg	Scourge	2003-05-26	45	Pemmin's Aura	ada2f380-bca7-4d64-9587-bab11c776ba8	covered		combat_support, self_protection			Covered by SCG role audit.	Enchantment — Aura	{1}{U}{U}	3	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/scg/45/pemmins-aura?utm_source=api	Enchant creature {U}: Untap enchanted creature. {U}: Enchanted creature gains flying until end of turn. {U}: Enchanted creature gains shroud until end of turn. (It can't be the target of spells or abilities.) {1}: Enchanted creature gets +1/-1 or -1/+1 until end of turn.
scg	Scourge	2003-05-26	46	Raven Guild Initiate	67a1529f-aa37-4df8-97e3-5b1d8c03a76f	covered		combat_body, face_down_support			Covered by SCG role audit.	Creature — Human Wizard	{2}{U}	3	U	U	Morph		verify analyzer roles	https://scryfall.com/card/scg/46/raven-guild-initiate?utm_source=api	Morph—Return a Bird you control to its owner's hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
scg	Scourge	2003-05-26	47	Raven Guild Master	1dfaa773-7cd5-4489-9790-661cef4ed6f3	covered		combat_body, combat_support, face_down_support			Covered by SCG role audit.	Creature — Human Wizard Mutant	{1}{U}{U}	3	U	U	Morph		verify analyzer roles	https://scryfall.com/card/scg/47/raven-guild-master?utm_source=api	Whenever this creature deals combat damage to a player, that player exiles the top ten cards of their library. Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
scg	Scourge	2003-05-26	48	Riptide Survivor	10a64ae9-919f-4c04-8c8a-cce12554502c	covered		card_draw, card_selection, combat_body, direct_draw, draw, face_down_support, selection			Covered by SCG role audit.	Creature — Human Wizard	{2}{U}	3	U	U	Morph		verify analyzer roles	https://scryfall.com/card/scg/48/riptide-survivor?utm_source=api	Morph {1}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, discard two cards, then draw three cards.
scg	Scourge	2003-05-26	49	Rush of Knowledge	34282c99-68ef-4855-b683-7bb205fa6374	covered		card_draw, direct_draw, draw			Covered by SCG role audit.	Sorcery	{4}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/scg/49/rush-of-knowledge?utm_source=api	Draw cards equal to the greatest mana value among permanents you control.
scg	Scourge	2003-05-26	50	Scornful Egotist	455cbf35-f340-4f1f-a331-5b082c9034ec	covered		combat_body, face_down_support			Covered by SCG role audit.	Creature — Human Wizard	{7}{U}	8	U	U	Morph		verify analyzer roles	https://scryfall.com/card/scg/50/scornful-egotist?utm_source=api	Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
scg	Scourge	2003-05-26	51	Shoreline Ranger	606fbf99-d3e3-4131-b991-3cb71c003834	covered		card_selection, combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, selection, tutor			Covered by SCG role audit.	Creature — Bird Soldier Ranger	{5}{U}	6	U	U	Flying, Islandcycling, Landcycling, Typecycling, Cycling		verify analyzer roles	https://scryfall.com/card/scg/51/shoreline-ranger?utm_source=api	Flying Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)
scg	Scourge	2003-05-26	52	Stifle	b3b00911-ece7-4484-bc36-f211ce72b6cc	covered		broad_stack, stack	false		Covered by PRM role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/scg/52/stifle?utm_source=api	Counter target activated or triggered ability. (Mana abilities can't be targeted.)
scg	Scourge	2003-05-26	53	Temporal Fissure	8a9525f4-74a6-44f0-a1b1-d57937d7783b	covered		removal, tempo_removal			Covered by SCG role audit.	Sorcery	{4}{U}	5	U	U	Storm		verify analyzer roles	https://scryfall.com/card/scg/53/temporal-fissure?utm_source=api	Return target permanent to its owner's hand. Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)
scg	Scourge	2003-05-26	54	Thundercloud Elemental	24b44a35-496a-48e9-91ee-98b327d867e4	covered		combat_body, combat_support, combat_threat			Covered by SCG role audit.	Creature — Elemental	{5}{U}{U}	7	U	U	Flying		verify analyzer roles	https://scryfall.com/card/scg/54/thundercloud-elemental?utm_source=api	Flying {3}{U}: Tap all creatures with toughness 2 or less. {3}{U}: All other creatures lose flying until end of turn.
scg	Scourge	2003-05-26	55	Bladewing's Thrall	f068a0f3-48bc-4d5d-be79-c23c0be11c27	covered		battlefield_recursion, card_selection, combat_body, combat_support			Covered by SCG role audit.	Creature — Zombie	{2}{B}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/scg/55/bladewings-thrall?utm_source=api	This creature has flying as long as you control a Dragon. When a Dragon enters, you may return this card from your graveyard to the battlefield.
scg	Scourge	2003-05-26	56	Cabal Conditioning	37a04d5a-9272-42bd-b448-c658375bbbc3	covered		hand_attack, removal			Covered by SCG role audit.	Sorcery	{6}{B}	7	B	B			verify analyzer roles	https://scryfall.com/card/scg/56/cabal-conditioning?utm_source=api	Any number of target players each discard a number of cards equal to the greatest mana value among permanents you control.
scg	Scourge	2003-05-26	57	Cabal Interrogator	769ae101-73cc-4ac5-8f46-8af8e7de6581	covered		combat_body			Covered by SCG role audit.	Creature — Zombie Wizard	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/scg/57/cabal-interrogator?utm_source=api	{X}{B}, {T}: Target player reveals X cards from their hand and you choose one of them. That player discards that card. Activate only as a sorcery.
scg	Scourge	2003-05-26	58	Call to the Grave	db5a4c25-5ae5-4a04-be79-bdee39b9152c	covered		removal, sacrifice_support, targeted_removal			Covered by SCG role audit.	Enchantment	{4}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/scg/58/call-to-the-grave?utm_source=api	At the beginning of each player's upkeep, that player sacrifices a non-Zombie creature of their choice. At the beginning of the end step, if no creatures are on the battlefield, sacrifice this enchantment.
scg	Scourge	2003-05-26	59	Carrion Feeder	a1cc5e37-b09a-4b7f-afd5-77c1c35aa425	covered		combat_body, combat_support, counter_support, sacrifice_support	false		Covered by PRM role audit.	Creature — Zombie	{B}	1	B	B			already reviewed	https://scryfall.com/card/scg/59/carrion-feeder?utm_source=api	This creature can't block. Sacrifice a creature: Put a +1/+1 counter on this creature.
scg	Scourge	2003-05-26	60	Chill Haunting	ebe61471-e236-4ff8-9416-151970b5efd6	covered		removal, scalable_spell, targeted_removal			Covered by SCG role audit.	Instant	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/scg/60/chill-haunting?utm_source=api	As an additional cost to cast this spell, exile X creature cards from your graveyard. Target creature gets -X/-X until end of turn.
scg	Scourge	2003-05-26	61	Clutch of Undeath	5a68c925-db79-44f2-a5c1-5a607298f6cf	covered		combat_support			Covered by SCG role audit.	Enchantment — Aura	{3}{B}{B}	5	B	B	Enchant		verify analyzer roles	https://scryfall.com/card/scg/61/clutch-of-undeath?utm_source=api	Enchant creature Enchanted creature gets +3/+3 as long as it's a Zombie. Otherwise, it gets -3/-3.
