setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
sir	Shadows over Innistrad Remastered	2023-03-21	1	Abundant Maw	3676b745-001d-46e6-880f-2fe26476a38d			combat_body, lifegain				Creature — Eldrazi Leech	{8}	8		B	Emerge		verify analyzer roles	https://scryfall.com/card/sir/1/abundant-maw?utm_source=api	Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, target opponent loses 3 life and you gain 3 life.
sir	Shadows over Innistrad Remastered	2023-03-21	2	Decimator of the Provinces	7f522ded-09fd-457e-9efe-0a6324925e4c			combat_body, combat_finisher, combat_support, combat_threat, finisher				Creature — Eldrazi Boar	{10}	10		G	Emerge, Haste, Trample		verify analyzer roles	https://scryfall.com/card/sir/2/decimator-of-the-provinces?utm_source=api	Emerge {6}{G}{G}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, creatures you control get +2/+2 and gain trample until end of turn. Trample, haste
sir	Shadows over Innistrad Remastered	2023-03-21	3	Distended Mindbender	36d32194-d547-4e2d-894f-f4bf13cf7da6			combat_body, hand_attack				Creature — Eldrazi Insect	{8}	8		B	Emerge		verify analyzer roles	https://scryfall.com/card/sir/3/distended-mindbender?utm_source=api	Emerge {5}{B}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, target opponent reveals their hand. You choose from it a nonland card with mana value 3 or less and a card with mana value 4 or greater. That player discards those cards.
sir	Shadows over Innistrad Remastered	2023-03-21	4	Drownyard Behemoth	bfe1a52a-f2f8-4c62-8502-037f2d1395b2			combat_body, replacement_engine, self_protection, tempo_support				Creature — Eldrazi Crab	{9}	9		U	Emerge, Flash		verify analyzer roles	https://scryfall.com/card/sir/4/drownyard-behemoth?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Emerge {7}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) This creature has hexproof as long as it entered this turn.
sir	Shadows over Innistrad Remastered	2023-03-21	5	Elder Deep-Fiend	4eafe717-4ba4-4901-8c67-11757230eb54			combat_body, removal, tempo_removal				Creature — Eldrazi Octopus	{8}	8		U	Emerge, Flash		verify analyzer roles	https://scryfall.com/card/sir/5/elder-deep-fiend?utm_source=api	Flash Emerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, tap up to four target permanents.
sir	Shadows over Innistrad Remastered	2023-03-21	6	Emrakul, the Promised End	4e7a8817-1a66-45c3-ade9-eac79b40b89f			combat_body, combat_threat, extra_turn, finisher, self_protection, theft_support				Legendary Creature — Eldrazi	{13}	13			Flying, Protection, Trample		verify analyzer roles	https://scryfall.com/card/sir/6/emrakul-the-promised-end?utm_source=api	This spell costs {1} less to cast for each card type among cards in your graveyard. When you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn. Flying, trample, protection from instants
sir	Shadows over Innistrad Remastered	2023-03-21	7	Eternal Scourge	c8b0436e-16d2-4d48-a894-454d69a3743b			card_selection, combat_body, repeatable_advantage				Creature — Eldrazi Horror	{3}	3					verify analyzer roles	https://scryfall.com/card/sir/7/eternal-scourge?utm_source=api	You may cast this card from exile. When this creature becomes the target of a spell or ability an opponent controls, exile this creature.
sir	Shadows over Innistrad Remastered	2023-03-21	8	Mockery of Nature	5da5240e-5d87-494f-aec9-64b7a3f0d935			combat_body, removal, targeted_removal				Creature — Eldrazi Beast	{9}	9		G	Emerge		verify analyzer roles	https://scryfall.com/card/sir/8/mockery-of-nature?utm_source=api	Emerge {7}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, you may destroy target artifact or enchantment.
sir	Shadows over Innistrad Remastered	2023-03-21	9	Wretched Gryff	83d0c4bc-aab9-4c14-a7dc-a344fcce4fea			card_draw, combat_body, combat_threat, direct_draw, draw				Creature — Eldrazi Hippogriff	{7}	7		U	Flying, Emerge		verify analyzer roles	https://scryfall.com/card/sir/9/wretched-gryff?utm_source=api	Emerge {5}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, draw a card. Flying
sir	Shadows over Innistrad Remastered	2023-03-21	10	Always Watching	c2153115-bc12-458d-baeb-538ec61e1242			combat_support				Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/sir/10/always-watching?utm_source=api	Nontoken creatures you control get +1/+1 and have vigilance.
