setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
sis	Shadows of the Past	2023-03-21	1	Angel of Flight Alabaster	9b6a74fb-c48f-4d85-b4b3-96eb80b9efc7	covered	card_selection, combat_body, combat_threat, hand_recursion, recursion, repeatable_advantage	card_selection, combat_body, combat_threat, hand_recursion, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{4}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/sis/1/angel-of-flight-alabaster?utm_source=api	Flying At the beginning of your upkeep, return target Spirit card from your graveyard to your hand.
sis	Shadows of the Past	2023-03-21	2	Avacyn, Angel of Hope	216cb26e-8da9-478b-bfbc-8030f7adee72	covered		broad_protection, combat_body, combat_threat, self_protection	false		Covered by PRM role audit.	Legendary Creature — Angel	{5}{W}{W}{W}	8	W	W	Flying, Indestructible, Vigilance		already reviewed	https://scryfall.com/card/sis/2/avacyn-angel-of-hope?utm_source=api	Flying, vigilance, indestructible Other permanents you control have indestructible.
sis	Shadows of the Past	2023-03-21	3	Bonds of Faith	79af045e-2c73-4003-8f62-b8611a225f08	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/sis/3/bonds-of-faith?utm_source=api	Enchant creature Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.
sis	Shadows of the Past	2023-03-21	4	Divine Reckoning	15d8b339-7520-43c9-b2dc-4a936357042b	covered	graveyard_support, removal, targeted_removal	graveyard_support, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{W}{W}	4	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/sis/4/divine-reckoning?utm_source=api	Each player chooses a creature they control. Destroy the rest. Flashback {5}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
sis	Shadows of the Past	2023-03-21	5	Doomed Traveler	a30907c0-fbde-4fd3-a8c7-f304305fcea7	covered	combat_body, sacrifice_support, token_support	combat_body, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/sis/5/doomed-traveler?utm_source=api	When this creature dies, create a 1/1 white Spirit creature token with flying.
sis	Shadows of the Past	2023-03-21	6	Elder Cathar	ba9ac0a9-735d-4bca-9d24-586aca963872	covered	combat_body, counter_support, sacrifice_support	combat_body, counter_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/sis/6/elder-cathar?utm_source=api	When this creature dies, put a +1/+1 counter on target creature you control. If that creature is a Human, put two +1/+1 counters on it instead.
sis	Shadows of the Past	2023-03-21	7	Feeling of Dread	269208e1-353c-4334-941a-2177f6665fba	covered	graveyard_support, removal, tempo_removal	graveyard_support, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	UW	Flashback		verify analyzer roles	https://scryfall.com/card/sis/7/feeling-of-dread?utm_source=api	Tap up to two target creatures. Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
sis	Shadows of the Past	2023-03-21	8	Fiend Hunter	cb9d557a-fc06-428c-8be6-7d28add33028	covered	combat_body, targeted_removal	combat_body, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/sis/8/fiend-hunter?utm_source=api	When this creature enters, you may exile another target creature. When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
sis	Shadows of the Past	2023-03-21	9	Lingering Souls	0b8c3337-04dd-4798-8203-6d8b8cfb936b	covered		graveyard_support, token_support	false		Covered by PRM role audit.	Sorcery	{2}{W}	3	W	BW	Flashback		already reviewed	https://scryfall.com/card/sis/9/lingering-souls?utm_source=api	Create two 1/1 white Spirit creature tokens with flying. Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
sis	Shadows of the Past	2023-03-21	10	Rally the Peasants	3f0a0a15-613a-4864-9309-a340dc4cf94d	covered	combat_support, graveyard_support	combat_support, graveyard_support	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	RW	Flashback		verify analyzer roles	https://scryfall.com/card/sis/10/rally-the-peasants?utm_source=api	Creatures you control get +2/+0 until end of turn. Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
sis	Shadows of the Past	2023-03-21	11	Requiem Angel	59f10ddb-8287-4d2c-8c60-1080b108fa78	covered	combat_body, combat_threat, sacrifice_support, token_support	combat_body, combat_threat, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{5}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/sis/11/requiem-angel?utm_source=api	Flying Whenever another non-Spirit creature you control dies, create a 1/1 white Spirit creature token with flying.
sis	Shadows of the Past	2023-03-21	12	Séance	a375b935-c02b-44bc-a942-37c5de58b1e4	covered	copy_support, removal, targeted_removal, token_support	copy_support, removal, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/sis/12/s%C3%A9ance?utm_source=api	At the beginning of each upkeep, you may exile target creature card from your graveyard. If you do, create a token that's a copy of that card, except it's a Spirit in addition to its other types. Exile it at the beginning of the next end step.
sis	Shadows of the Past	2023-03-21	13	Battleground Geist	2450d35b-7d87-4885-b396-f8e1d3ac0b22	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{4}{U}	5	U	U	Flying		verify analyzer roles	https://scryfall.com/card/sis/13/battleground-geist?utm_source=api	Flying Other Spirit creatures you control get +1/+0.
