setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
sld	Secret Lair Drop	2019-12-02	SCTLR	Counterspell	cc187110-1148-4090-bbb8-e205694a39f5	covered	hard_stack, stack	hard_stack, stack	false		Covered by Ice Age role audit.	Instant	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/sld/SCTLR/counterspell?utm_source=api	Counter target spell.
sld	Secret Lair Drop	2019-12-02	VS	Viscera Seer	f82a4e85-526d-4456-b700-7760043a31be	covered		card_selection, combat_body, sacrifice_support, selection	false		Covered by PRM role audit.	Creature — Vampire Wizard	{B}	1	B	B	Scry		already reviewed	https://scryfall.com/card/sld/VS/viscera-seer?utm_source=api	Sacrifice a creature: Scry 1. (Look at the top card of your library. You may put that card on the bottom.)
sld	Secret Lair Drop	2019-12-02	1	Snow-Covered Plains	ac8cc74d-e43b-4118-bba0-dfa8b9c04d45	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by Ice Age role audit.	Basic Snow Land — Plains		0		W			already reviewed	https://scryfall.com/card/sld/1/snow-covered-plains?utm_source=api	({T}: Add {W}.)
sld	Secret Lair Drop	2019-12-02	IFIYW-1	Deadly Dispute	457af74a-02b3-4659-846d-63e482667f34	covered	burst_ramp, card_draw, direct_draw, draw, mana_fixing, ramp, sacrifice_support, token_support	burst_ramp, card_draw, direct_draw, draw, mana_fixing, ramp, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{B}	2	B	B	Treasure		verify analyzer roles	https://scryfall.com/card/sld/IFIYW-1/deadly-dispute?utm_source=api	As an additional cost to cast this spell, sacrifice an artifact or creature. Draw two cards and create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
sld	Secret Lair Drop	2019-12-02	2	Snow-Covered Island	5b2460a5-6ae5-4cad-ba94-1a9e98e6e4c0	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by Ice Age role audit.	Basic Snow Land — Island		0		U			already reviewed	https://scryfall.com/card/sld/2/snow-covered-island?utm_source=api	({T}: Add {U}.)
sld	Secret Lair Drop	2019-12-02	IFIYW-2	Lightning Bolt	4457ed35-7c10-48c8-9776-456485fdf070	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by ATH role audit.	Instant	{R}	1	R	R			already reviewed	https://scryfall.com/card/sld/IFIYW-2/lightning-bolt?utm_source=api	Lightning Bolt deals 3 damage to any target.
sld	Secret Lair Drop	2019-12-02	3	Snow-Covered Swamp	d8239a86-7184-4005-ba1e-2dddcd756c47	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by Ice Age role audit.	Basic Snow Land — Swamp		0		B			already reviewed	https://scryfall.com/card/sld/3/snow-covered-swamp?utm_source=api	({T}: Add {B}.)
sld	Secret Lair Drop	2019-12-02	IFIYW-3	Thrill of Possibility	1cb0610b-a731-42c2-b93f-0a29f63cebf4	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/sld/IFIYW-3/thrill-of-possibility?utm_source=api	As an additional cost to cast this spell, discard a card. Draw two cards.
sld	Secret Lair Drop	2019-12-02	4	Snow-Covered Mountain	ca9f660b-e07d-4f42-a46e-abd0ca72510c	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by Ice Age role audit.	Basic Snow Land — Mountain		0		R			already reviewed	https://scryfall.com/card/sld/4/snow-covered-mountain?utm_source=api	({T}: Add {R}.)
sld	Secret Lair Drop	2019-12-02	IFIYW-4	Lightning Greaves	ca204b66-8d0c-431a-8d34-282f7c2d17da	covered		artifact_support, combat_support, equipment_protection, protection, self_protection	false		Covered by PRM role audit.	Artifact — Equipment	{2}	2			Equip		already reviewed	https://scryfall.com/card/sld/IFIYW-4/lightning-greaves?utm_source=api	Equipped creature has haste and shroud. (It can't be the target of spells or abilities.) Equip {0}
sld	Secret Lair Drop	2019-12-02	5	Snow-Covered Forest	5f0d3be8-e63e-4ade-ae58-6b0c14f2ce6d	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by Ice Age role audit.	Basic Snow Land — Forest		0		G			already reviewed	https://scryfall.com/card/sld/5/snow-covered-forest?utm_source=api	({T}: Add {G}.)
sld	Secret Lair Drop	2019-12-02	IFIYW-5	Sol Ring	6ad8011d-3471-4369-9d68-b264cc027487	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{1}	1					already reviewed	https://scryfall.com/card/sld/IFIYW-5/sol-ring?utm_source=api	{T}: Add {C}{C}.
sld	Secret Lair Drop	2019-12-02	6	Bloodghast	e97f9c2b-b41e-4f36-9245-77c0ac125647	covered	battlefield_recursion, card_selection, combat_body, combat_support, repeatable_advantage	battlefield_recursion, card_selection, combat_body, combat_support, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Spirit	{B}{B}	2	B	B	Landfall		verify analyzer roles	https://scryfall.com/card/sld/6/bloodghast?utm_source=api	This creature can't block. This creature has haste as long as an opponent has 10 or less life. Landfall — Whenever a land you control enters, you may return this card from your graveyard to the battlefield.
sld	Secret Lair Drop	2019-12-02	7	Golgari Thug	a426a258-fd8b-489c-8642-9868ee47de85	covered	card_selection, combat_body, hand_recursion, library_recursion, mill_support, recursion, repeatable_advantage, replacement_engine, sacrifice_support	card_selection, combat_body, hand_recursion, library_recursion, mill_support, recursion, repeatable_advantage, replacement_engine, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Warrior	{1}{B}	2	B	B	Dredge, Mill		verify analyzer roles	https://scryfall.com/card/sld/7/golgari-thug?utm_source=api	When this creature dies, put target creature card from your graveyard on top of your library. Dredge 4 (If you would draw a card, you may mill four cards instead. If you do, return this card from your graveyard to your hand.)
