setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
slp	Secret Lair Promo	2023-02-17	1	Brainstorm	36cd2364-d113-47d1-b2c4-b088d9eb88dd	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Covered by Ice Age role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/slp/1/brainstorm?utm_source=api	Draw three cards, then put two cards from your hand on top of your library in any order.
slp	Secret Lair Promo	2023-02-17	2	Ragavan, Nimble Pilferer	37108cd4-bbab-4ce3-9ed6-f60e8422e703	covered		burst_ramp, card_selection, combat_body, combat_support, direct_draw, draw, mana_fixing, ramp, repeatable_advantage, repeatable_draw, selection, token_support	false		Covered by PRM role audit.	Legendary Creature — Monkey Pirate	{R}	1	R	R	Treasure, Dash		already reviewed	https://scryfall.com/card/slp/2/ragavan-nimble-pilferer?utm_source=api	Whenever Ragavan deals combat damage to a player, create a Treasure token and exile the top card of that player's library. Until end of turn, you may cast that card. Dash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)
slp	Secret Lair Promo	2023-02-17	3	Fatal Push	16437a83-be52-44cd-a768-a767c9347eb2	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{B}	1	B	B	Revolt		already reviewed	https://scryfall.com/card/slp/3/fatal-push?utm_source=api	Destroy target creature if it has mana value 2 or less. Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent left the battlefield under your control this turn.
slp	Secret Lair Promo	2023-02-17	4	Unholy Heat	b23cba46-6ed2-442d-bc39-7c4933f6b083	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{R}	1	R	R	Delirium		verify analyzer roles	https://scryfall.com/card/slp/4/unholy-heat?utm_source=api	Unholy Heat deals 2 damage to target creature or planeswalker. Delirium — Unholy Heat deals 6 damage instead if there are four or more card types among cards in your graveyard.
slp	Secret Lair Promo	2023-02-17	5	Eldritch Evolution	0f77c0c9-4dc4-489a-b547-e93287c4d1a5	covered	cheat_into_play, cost_reduction, restricted_tutor, sacrifice_support, scalable_spell, tutor	cheat_into_play, cost_reduction, restricted_tutor, sacrifice_support, scalable_spell, tutor	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{G}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/slp/5/eldritch-evolution?utm_source=api	As an additional cost to cast this spell, sacrifice a creature. Search your library for a creature card with mana value X or less, where X is 2 plus the sacrificed creature's mana value. Put that card onto the battlefield, then shuffle. Exile Eldritch Evolution.
slp	Secret Lair Promo	2023-02-17	6	Ugin, the Spirit Dragon	eecb3047-a563-441a-9175-200421981ac3	covered		card_draw, direct_draw, draw, lifegain, mass_removal, removal, repeatable_advantage, scalable_spell, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Ugin	{8}	8					already reviewed	https://scryfall.com/card/slp/6/ugin-the-spirit-dragon?utm_source=api	+2: Ugin deals 3 damage to any target. −X: Exile each permanent with mana value X or less that's one or more colors. −10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.
slp	Secret Lair Promo	2023-02-17	7	An Offer You Can't Refuse	234a734b-ba28-4f1b-9d01-3c3e7d516590	covered	burst_ramp, hard_stack, mana_fixing, sacrifice_support, stack	burst_ramp, hard_stack, mana_fixing, sacrifice_support, stack	false		Analyzer roles accepted during batch clean pass.	Instant	{U}	1	U	U	Treasure		verify analyzer roles	https://scryfall.com/card/slp/7/an-offer-you-cant-refuse?utm_source=api	Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with "{T}, Sacrifice this token: Add one mana of any color.")
slp	Secret Lair Promo	2023-02-17	8	Death's Shadow	e08722b3-0f79-4c82-b298-603e04a37857	covered	combat_body, scalable_spell	combat_body, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Creature — Avatar	{B}	1	B	B			verify analyzer roles	https://scryfall.com/card/slp/8/deaths-shadow?utm_source=api	This creature gets -X/-X, where X is your life total.
slp	Secret Lair Promo	2023-02-17	9	Dragonlord Silumgar	44581d4f-746b-43b8-a34d-16dc383ab70e	covered	combat_body, combat_threat, donation_support, removal, tempo_removal, theft_support	combat_body, combat_threat, donation_support, removal, tempo_removal, theft_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Elder Dragon	{4}{U}{B}	6	BU	BU	Deathtouch, Flying		verify analyzer roles	https://scryfall.com/card/slp/9/dragonlord-silumgar?utm_source=api	Flying, deathtouch When Dragonlord Silumgar enters, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar.
slp	Secret Lair Promo	2023-02-17	10	Relentless Rats	104ea189-14cd-420f-afdc-57b0f827ab8e	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Rat	{1}{B}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/slp/10/relentless-rats?utm_source=api	This creature gets +1/+1 for each other creature on the battlefield named Relentless Rats. A deck can have any number of cards named Relentless Rats.
slp	Secret Lair Promo	2023-02-17	12	Explore	b8f566ea-8283-4afa-9ac8-737e26419283	covered		card_draw, direct_draw, draw, land_acceleration, ramp	false		Covered by PRM role audit.	Sorcery	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/slp/12/explore?utm_source=api	You may play an additional land this turn. Draw a card.
slp	Secret Lair Promo	2023-02-17	13	Expressive Iteration	c7aecca5-2f67-4245-ab2d-e723d8b23a67	covered		card_selection, restricted_tutor	false		Covered by PRM role audit.	Sorcery	{U}{R}	2	RU	RU			already reviewed	https://scryfall.com/card/slp/13/expressive-iteration?utm_source=api	Look at the top three cards of your library. Put one of them into your hand, put one of them on the bottom of your library, and exile one of them. You may play the exiled card this turn.
slp	Secret Lair Promo	2023-02-17	14	Valakut, the Molten Pinnacle	1bc44216-4e06-4f66-89b7-5c327004604e	covered		land_base, land_slot, mana_source, removal, targeted_removal	false		Covered by PRM role audit.	Land		0		R			already reviewed	https://scryfall.com/card/slp/14/valakut-the-molten-pinnacle?utm_source=api	This land enters tapped. Whenever a Mountain you control enters, if you control at least five other Mountains, you may have this land deal 3 damage to any target. {T}: Add {R}.
slp	Secret Lair Promo	2023-02-17	15	Wrenn and Six	108ae90a-50fa-4cfd-b751-d630e41425fe	covered		card_selection, hand_recursion, recursion, removal, repeatable_advantage, replay_recursion, selection, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Wrenn	{R}{G}	2	GR	GR			already reviewed	https://scryfall.com/card/slp/15/wrenn-and-six?utm_source=api	+1: Return up to one target land card from your graveyard to your hand. −1: Wrenn and Six deals 1 damage to any target. −7: You get an emblem with "Instant and sorcery cards in your graveyard have retrace." (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.)
slp	Secret Lair Promo	2023-02-17	16	Dark Ritual	53f7c868-b03e-4fc2-8dcf-a75bbfa3272b	covered	burst_ramp, ramp	burst_ramp, ramp	false		Covered by Ice Age role audit.	Instant	{B}	1	B	B			already reviewed	https://scryfall.com/card/slp/16/dark-ritual?utm_source=api	Add {B}{B}{B}.
