setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
snc	Streets of New Capenna	2022-04-29	1	Angelic Observer	17df0fda-d726-4c9d-bf44-6f2e3a347117			combat_body, combat_threat				Creature — Angel Advisor	{5}{W}	6	W	W	Flying, Affinity		verify analyzer roles	https://scryfall.com/card/snc/1/angelic-observer?utm_source=api	Affinity for Citizens (This spell costs {1} less to cast for each Citizen you control.) Flying
snc	Streets of New Capenna	2022-04-29	2	Backup Agent	df9a3fe0-aca8-4adb-9ef6-45616025925b			combat_body, counter_support				Creature — Human Citizen	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/snc/2/backup-agent?utm_source=api	When this creature enters, put a +1/+1 counter on target creature.
snc	Streets of New Capenna	2022-04-29	3	Ballroom Brawlers	c87dff29-fa4c-44f4-9de6-d85a347c1720			combat_body, combat_support, lifegain				Creature — Human Warrior	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/snc/3/ballroom-brawlers?utm_source=api	Whenever this creature attacks, this creature and up to one other target creature you control both gain your choice of first strike or lifelink until end of turn.
snc	Streets of New Capenna	2022-04-29	4	Boon of Safety	34f0beae-a8e2-4474-9f7f-4735d3f26863			card_selection, counter_support, replacement_engine, selection				Instant	{W}	1	W	W	Scry		verify analyzer roles	https://scryfall.com/card/snc/4/boon-of-safety?utm_source=api	Put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.) Scry 1.
snc	Streets of New Capenna	2022-04-29	5	Brokers Initiate	9bdf033e-87d4-4bc4-ba08-4b497cc1b559			combat_body				Creature — Cat Citizen	{W}	1	W	GUW			verify analyzer roles	https://scryfall.com/card/snc/5/brokers-initiate?utm_source=api	{4}{G/U}: This creature has base power and toughness 5/5 until end of turn.
snc	Streets of New Capenna	2022-04-29	6	Buy Your Silence	2fd01a30-0c0e-4ac5-b96d-b2a6dad31f0c			burst_ramp, mana_fixing, removal, sacrifice_support, targeted_removal				Sorcery	{4}{W}	5	W	W	Treasure		verify analyzer roles	https://scryfall.com/card/snc/6/buy-your-silence?utm_source=api	Exile target nonland permanent. Its controller creates a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
snc	Streets of New Capenna	2022-04-29	A-6	A-Buy Your Silence	cdf8d38c-8c80-483d-92be-7d35fcd0f2e5			burst_ramp, mana_fixing, removal, sacrifice_support, targeted_removal				Instant	{4}{W}	5	W	W	Treasure		verify analyzer roles	https://scryfall.com/card/snc/A-6/a-buy-your-silence?utm_source=api	Exile target nonland permanent. Its controller creates a Treasure token. (It's an artifact with "{T}, Sacrifice this artifact: Add one mana of any color.")
snc	Streets of New Capenna	2022-04-29	7	Celebrity Fencer	39f7e59e-28dd-477e-be38-3fa515838ca4			combat_body, counter_support				Creature — Elf Druid	{3}{W}	4	W	W	Alliance		verify analyzer roles	https://scryfall.com/card/snc/7/celebrity-fencer?utm_source=api	Alliance — Whenever another creature you control enters, put a +1/+1 counter on this creature.
snc	Streets of New Capenna	2022-04-29	A-7	A-Celebrity Fencer	60ae87f0-807f-47a9-b1b0-6cea4e68973d			combat_body, counter_support				Creature — Elf Druid	{3}{W}	4	W	W	Alliance		verify analyzer roles	https://scryfall.com/card/snc/A-7/a-celebrity-fencer?utm_source=api	Alliance — Whenever another creature enters under your control, put a +1/+1 counter on Celebrity Fencer.
snc	Streets of New Capenna	2022-04-29	8	Citizen's Crowbar	64c7e03d-ba38-4979-8889-9bf0e7b8c66e			artifact_support, combat_support, sacrifice_support, token_support				Artifact — Equipment	{1}{W}	2	W	W	Equip		verify analyzer roles	https://scryfall.com/card/snc/8/citizens-crowbar?utm_source=api	When this Equipment enters, create a 1/1 green and white Citizen creature token, then attach this Equipment to it. Equipped creature gets +1/+1 and has "{W}, {T}, Sacrifice Citizen's Crowbar: Destroy target artifact or enchantment." Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
snc	Streets of New Capenna	2022-04-29	9	Dapper Shieldmate	3cdd795b-13b8-4812-89ee-d248368f915b			combat_body, combat_support, counter_support, replacement_engine				Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/snc/9/dapper-shieldmate?utm_source=api	This creature enters with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.) During your turn, this creature gets +2/+0.
