setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
sth	Stronghold	1998-03-02	1	Bandage	c664df64-0103-462b-a0f8-c483b152974a	covered	card_draw, direct_draw, draw, protection, targeted_protection	card_draw, direct_draw, draw, protection, targeted_protection	false		Covered by Stronghold role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/sth/1/bandage?utm_source=api	Prevent the next 1 damage that would be dealt to any target this turn. Draw a card.
sth	Stronghold	1998-03-02	2	Calming Licid	93d20859-249f-47ae-8f6d-095228e7b6e9	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Stronghold role audit.	Creature — Licid	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/sth/2/calming-licid?utm_source=api	{W}, {T}: This creature loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {W} to end this effect. Enchanted creature can't attack.
sth	Stronghold	1998-03-02	3	Change of Heart	a8c0b41b-916c-4da9-9c39-a058c91a78f4	covered	combat_support	combat_support	false		Covered by Stronghold role audit.	Instant	{W}	1	W	W	Buyback		verify analyzer roles	https://scryfall.com/card/sth/3/change-of-heart?utm_source=api	Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.) Target creature can't attack this turn.
sth	Stronghold	1998-03-02	4	Contemplation	fa7efcef-a688-4e25-a823-4d53b2e96508	covered	lifegain	lifegain	false		Covered by Stronghold role audit.	Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/sth/4/contemplation?utm_source=api	Whenever you cast a spell, you gain 1 life.
sth	Stronghold	1998-03-02	5	Conviction	4374b6b1-e691-4823-802d-8de8530aa461	covered	combat_support	combat_support	false		Covered by Stronghold role audit.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/sth/5/conviction?utm_source=api	Enchant creature Enchanted creature gets +1/+3. {W}: Return this Aura to its owner's hand.
sth	Stronghold	1998-03-02	6	Hidden Retreat	a116329a-343e-4f10-a122-38bf8b5ac2c8	covered	broad_protection, protection	broad_protection, protection	false		Covered by Stronghold role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/sth/6/hidden-retreat?utm_source=api	Put a card from your hand on top of your library: Prevent all damage that would be dealt by target instant or sorcery spell this turn.
sth	Stronghold	1998-03-02	7	Honor Guard	4ba82d8e-1857-40a9-8b42-5d8348c68859	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Stronghold role audit.	Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/sth/7/honor-guard?utm_source=api	{W}: This creature gets +0/+1 until end of turn.
sth	Stronghold	1998-03-02	8	Lancers en-Kor	ef49dc78-9fd9-4cf8-af10-5a6b8ef7fc57	covered	combat_body, combat_threat, protection, targeted_protection	combat_body, combat_threat, protection, targeted_protection	false		Covered by Stronghold role audit.	Creature — Kor Soldier	{3}{W}{W}	5	W	W	Trample		verify analyzer roles	https://scryfall.com/card/sth/8/lancers-en-kor?utm_source=api	Trample {0}: The next 1 damage that would be dealt to this creature this turn is dealt to target creature you control instead.
sth	Stronghold	1998-03-02	9	Nomads en-Kor	b8d395a3-0bfe-45c3-bb3a-820d4f235b88	covered	combat_body, protection, targeted_protection	combat_body, protection, targeted_protection	false		Covered by Stronghold role audit.	Creature — Kor Nomad Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/sth/9/nomads-en-kor?utm_source=api	{0}: The next 1 damage that would be dealt to this creature this turn is dealt to target creature you control instead.
sth	Stronghold	1998-03-02	10	Pursuit of Knowledge	7f5124a4-9ffd-475a-8b77-3ff59a9871a1	covered	card_draw, counter_support, replacement_engine, sacrifice_support	card_draw, counter_support, replacement_engine, sacrifice_support	false		Covered by Stronghold role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/sth/10/pursuit-of-knowledge?utm_source=api	If you would draw a card, you may put a study counter on this enchantment instead. Remove three study counters from this enchantment, Sacrifice this enchantment: Draw seven cards.
