setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
sunf	Unfinity Sticker Sheets	2022-10-07	1	Eldrazi Guacamole Tightrope	6614c21f-080e-441c-9ebb-c7369c1f52e1							Stickers		0			Haste		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/sunf/1/eldrazi-guacamole-tightrope?utm_source=api	{TK}{TK} — Haste {TK}{TK}{TK}{TK}{TK} — You may cast this card from your graveyard by paying 2 life in addition to paying its other costs. {TK}{TK} — 1/4 {TK}{TK}{TK} — 5/3
sunf	Unfinity Sticker Sheets	2022-10-07	2	Trendy Circus Pirate	eb980d94-2860-4fe5-85e0-2757985721f1			combat_support, token_support				Stickers		0			Deathtouch		verify analyzer roles	https://scryfall.com/card/sunf/2/trendy-circus-pirate?utm_source=api	{TK}{TK} — Deathtouch {TK}{TK}{TK}{TK}{TK} — Whenever this creature deals combat damage to a player, create that many 1/1 green Squirrel creature tokens. {TK}{TK} — 5/1 {TK}{TK}{TK} — 3/6
sunf	Unfinity Sticker Sheets	2022-10-07	3	Night Brushwagg Ringmaster	1436370f-baf0-4659-804e-90aad871b05b			counter_support, sacrifice_support				Stickers		0			Persist, Menace		verify analyzer roles	https://scryfall.com/card/sunf/3/night-brushwagg-ringmaster?utm_source=api	{TK}{TK} — Menace {TK}{TK}{TK} — Persist (When this permanent dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.) {TK}{TK} — 2/3 {TK}{TK}{TK}{TK}{TK}{TK} — 10/10
sunf	Unfinity Sticker Sheets	2022-10-07	4	Urza's Dark Cannonball	7abe9119-cc5d-4004-8a46-4a3153ead570			combat_support				Stickers		0			Shadow, Exalted		verify analyzer roles	https://scryfall.com/card/sunf/4/urzas-dark-cannonball?utm_source=api	{TK}{TK} — Exalted, exalted (Whenever a creature you control attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents you control.) {TK}{TK}{TK} — Shadow (This creature can block or be blocked only by creatures with shadow.) {TK}{TK} — 1/5 {TK}{TK}{TK}{TK} — 7/4
sunf	Unfinity Sticker Sheets	2022-10-07	5	Misunderstood Trapeze Elf	658252ed-7f52-4a31-834b-c39cee1d5e00			combat_support, scalable_spell, self_protection				Stickers		0			Hexproof		verify analyzer roles	https://scryfall.com/card/sunf/5/misunderstood-trapeze-elf?utm_source=api	{TK}{TK} — Whenever you cast a spell, this creature gets +X/+X until end of turn, where X is the amount of generic mana in that spell's mana cost. {TK}{TK}{TK} — Hexproof {TK}{TK} — 4/2 {TK}{TK}{TK}{TK} — 6/6
sunf	Unfinity Sticker Sheets	2022-10-07	6	Zombie Cheese Magician	786bdf20-b1f1-40f7-acd0-8dcb46da2bb0			card_draw, combat_support				Stickers		0			First strike		verify analyzer roles	https://scryfall.com/card/sunf/6/zombie-cheese-magician?utm_source=api	{TK}{TK} — First strike {TK}{TK}{TK}{TK} — Whenever this creature deals combat damage to a player, draw that many cards. {TK}{TK} — 3/3 {TK}{TK}{TK} — 6/2
sunf	Unfinity Sticker Sheets	2022-10-07	7	Carnival Elephant Meteor	7e06b7b4-22c1-4e5b-81ee-54ab5ac756eb			card_draw, combat_support, counter_support, direct_draw, draw, sacrifice_support				Stickers		0			Proliferate		verify analyzer roles	https://scryfall.com/card/sunf/7/carnival-elephant-meteor?utm_source=api	{TK}{TK} — Sacrifice this permanent: Draw two cards. {TK}{TK}{TK} — Whenever this creature attacks, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.) {TK}{TK} — 4/1 {TK}{TK}{TK}{TK}{TK} — 8/7
sunf	Unfinity Sticker Sheets	2022-10-07	8	Happy Dead Squirrel	c3e5d355-fbfb-4489-aeea-8b0ea5de6fcd			alternate_finisher, burst_ramp, finisher, ramp				Stickers		0			Infect		verify analyzer roles	https://scryfall.com/card/sunf/8/happy-dead-squirrel?utm_source=api	{TK}{TK} — {T}: Add {C}{C}. Spend this mana only to cast noncreature spells. {TK}{TK}{TK} — Infect (This permanent deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {TK}{TK} — 3/2 {TK}{TK}{TK}{TK} — 4/7
sunf	Unfinity Sticker Sheets	2022-10-07	9	Slimy Burrito Illusion	2d13d399-7198-4cab-b564-dfe0e09425a3			combat_support				Stickers		0			Bushido, Double strike		verify analyzer roles	https://scryfall.com/card/sunf/9/slimy-burrito-illusion?utm_source=api	{TK}{TK} — Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.) {TK}{TK}{TK} — Double strike {TK}{TK} — 2/4 {TK}{TK}{TK}{TK} — 5/6
sunf	Unfinity Sticker Sheets	2022-10-07	10	Spooky Clown Mox	785e6563-51c4-4063-9ad9-0392954e135e			removal, tempo_removal				Stickers		0			Vigilance		verify analyzer roles	https://scryfall.com/card/sunf/10/spooky-clown-mox?utm_source=api	{TK}{TK} — Vigilance {TK}{TK}{TK}{TK} — {1}, {T}: Tap target creature. {TK}{TK} — 1/5 {TK}{TK}{TK} — 5/4
sunf	Unfinity Sticker Sheets	2022-10-07	11	Mystic Doom Sandwich	c490157a-cff5-417b-8f83-15f84398e34f			combat_support, lifegain				Stickers		0			Lifelink		verify analyzer roles	https://scryfall.com/card/sunf/11/mystic-doom-sandwich?utm_source=api	{TK}{TK} — Lifelink {TK}{TK}{TK} — This creature must be blocked if able. Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it. {TK}{TK} — 1/4 {TK}{TK}{TK}{TK}{TK} — 6/8
sunf	Unfinity Sticker Sheets	2022-10-07	12	Narrow-Minded Baloney Fireworks	366e0a62-ff95-48d1-bc63-7995a393bc34			combat_support, lifegain				Stickers		0			Reach, Vigilance		verify analyzer roles	https://scryfall.com/card/sunf/12/narrow-minded-baloney-fireworks?utm_source=api	{TK}{TK} — Whenever this creature attacks, you gain 2 life. {TK}{TK}{TK} — Vigilance, reach {TK}{TK} — 2/4 {TK}{TK}{TK}{TK}{TK} — 7/7
sunf	Unfinity Sticker Sheets	2022-10-07	13	Unsanctioned Ancient Juggler	4413cb03-d6e9-4e6c-b5fe-9240ca0ebd13			combat_support, counter_support, self_protection				Stickers		0			Indestructible, Bolster		verify analyzer roles	https://scryfall.com/card/sunf/13/unsanctioned-ancient-juggler?utm_source=api	{TK}{TK} — Whenever this creature attacks, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.) {TK}{TK}{TK}{TK} — Indestructible {TK}{TK} — 3/2 {TK}{TK}{TK} — 5/4
sunf	Unfinity Sticker Sheets	2022-10-07	14	Deep-Fried Plague Myr	43f5ce56-6ad1-4a42-b1d7-26f1c7933693			card_selection, combat_support, removal, selection, targeted_removal				Stickers		0			Scry		verify analyzer roles	https://scryfall.com/card/sunf/14/deep-fried-plague-myr?utm_source=api	{TK}{TK} — Whenever this creature attacks, scry 1. {TK}{TK}{TK} — Whenever this permanent leaves the battlefield, you may destroy target artifact or enchantment. {TK}{TK}{TK} — 4/5 {TK}{TK}{TK}{TK} — 8/4
sunf	Unfinity Sticker Sheets	2022-10-07	15	Contortionist Otter Storm	67624a72-aa18-4b0c-a2cb-77e56499944a			combat_support, lifegain				Stickers		0			Lifelink, Deathtouch		verify analyzer roles	https://scryfall.com/card/sunf/15/contortionist-otter-storm?utm_source=api	{TK}{TK} — {T}: Target creature gains haste until end of turn. {TK}{TK}{TK}{TK} — Deathtouch, lifelink {TK}{TK} — 5/1 {TK}{TK}{TK} — 3/5
sunf	Unfinity Sticker Sheets	2022-10-07	16	Sticky Kavu Daredevil	3def54bf-2640-47de-84e8-7a9406df007e			combat_support, removal, sacrifice_support, tempo_removal				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/16/sticky-kavu-daredevil?utm_source=api	{TK}{TK} — Whenever this permanent dies, you may return target creature to its owner's hand. {TK}{TK}{TK}{TK} — Whenever this creature attacks, creatures you control get +1/+1 until end of turn. {TK}{TK} — 3/3 {TK}{TK}{TK} — 2/6
sunf	Unfinity Sticker Sheets	2022-10-07	17	Goblin Coward Parade	7cad08c1-4bd9-4d9f-85d2-fb3ab718fbb8			combat_support, counter_support, removal, targeted_removal				Stickers		0			Mentor		verify analyzer roles	https://scryfall.com/card/sunf/17/goblin-coward-parade?utm_source=api	{TK}{TK} — Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) {TK}{TK}{TK} — When this permanent leaves the battlefield, you may destroy target creature with power 4 or greater. {TK}{TK} — 2/3 {TK}{TK}{TK}{TK} — 8/4
sunf	Unfinity Sticker Sheets	2022-10-07	18	Phyrexian Midway Bamboozle	dde09abb-e3d3-4c76-b7e8-812949dd67f3			combat_support, counter_support, sacrifice_support				Stickers		0			Undying		verify analyzer roles	https://scryfall.com/card/sunf/18/phyrexian-midway-bamboozle?utm_source=api	{TK}{TK} — Whenever this creature attacks, you get {TK}. {TK}{TK}{TK} — Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.) {TK}{TK} — 4/2 {TK}{TK}{TK}{TK}{TK} — 6/9
sunf	Unfinity Sticker Sheets	2022-10-07	19	Eternal Acrobat Toast	60a69ddc-3289-4786-944d-27a82c5f0dc8			combat_support, flicker, protection, rescue_protection				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/19/eternal-acrobat-toast?utm_source=api	{TK}{TK} — Whenever this creature deals combat damage to a player, exile target creature you control, then return it to the battlefield under its owner's control. {TK}{TK}{TK} — {T}: Untap another target permanent. {TK}{TK}{TK} — 4/4 {TK}{TK}{TK}{TK}{TK} — 7/8
sunf	Unfinity Sticker Sheets	2022-10-07	20	Jetpack Death Seltzer	fe37c718-b3fb-4e95-a547-dd741b70421c			combat_support, counter_support				Stickers		0			Trample, Monstrosity		verify analyzer roles	https://scryfall.com/card/sunf/20/jetpack-death-seltzer?utm_source=api	{TK}{TK} — Trample {TK}{TK}{TK} — {3}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.) {TK}{TK}{TK} — 2/7 {TK}{TK}{TK}{TK} — 6/5
sunf	Unfinity Sticker Sheets	2022-10-07	21	Demonic Tourist Laser	13d9822f-0398-4915-818b-b9fbaf63b93c			counter_support, sacrifice_support				Stickers		0			Outlast		verify analyzer roles	https://scryfall.com/card/sunf/21/demonic-tourist-laser?utm_source=api	{TK}{TK} — Outlast {1} ({1}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) {TK}{TK}{TK} — When this permanent dies, you get seven {TK}. {TK}{TK} — 1/4 {TK}{TK}{TK}{TK}{TK} — 9/6
sunf	Unfinity Sticker Sheets	2022-10-07	22	Cursed Firebreathing Yogurt	535fd365-19f4-4861-8f86-d814650355e9			combat_support, removal, targeted_removal				Stickers		0			Prowess		verify analyzer roles	https://scryfall.com/card/sunf/22/cursed-firebreathing-yogurt?utm_source=api	{TK}{TK} — Prowess, prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn twice.) {TK}{TK}{TK}{TK}{TK} — {2}, {T}: This permanent deals 2 damage to any target. {TK}{TK} — 4/2 {TK}{TK}{TK}{TK} — 4/8
sunf	Unfinity Sticker Sheets	2022-10-07	23	Ancestral Hot Dog Minotaur	481c3bfe-2293-447d-aa03-3ea6ed9321aa							Stickers		0			Flying, Afflict		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/sunf/23/ancestral-hot-dog-minotaur?utm_source=api	{TK}{TK} — Afflict 2 (Whenever this creature becomes blocked, defending player loses 2 life.) {TK}{TK}{TK} — Flying {TK}{TK} — 1/4 {TK}{TK}{TK}{TK}{TK} — 8/6
sunf	Unfinity Sticker Sheets	2022-10-07	24	Familiar Beeble Mascot	41c0e1f1-8ebe-4cd2-96fe-e4bb625fe6ee			combat_support, tap_untap, tempo_support				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/24/familiar-beeble-mascot?utm_source=api	{TK}{TK} — Whenever this creature attacks, untap target permanent. {TK}{TK}{TK}{TK} — Whenever a creature enters under your control, creatures you control get +1/+1 until end of turn. {TK}{TK} — 2/3 {TK}{TK}{TK} — 5/3
sunf	Unfinity Sticker Sheets	2022-10-07	25	Giant Mana Cake	26f6170a-34dc-41c8-b3b1-20377f131e6e			lifegain, removal, sacrifice_support, targeted_removal, token_support				Stickers		0			Food		verify analyzer roles	https://scryfall.com/card/sunf/25/giant-mana-cake?utm_source=api	{TK}{TK} — When this permanent leaves the battlefield, create two Food tokens. (They're artifacts with "{2}, {T}, Sacrifice this artifact: You gain 3 life.") {TK}{TK}{TK}{TK} — When this permanent dies, destroy target nonland permanent. {TK}{TK} — 3/3 {TK}{TK}{TK} — 6/2
sunf	Unfinity Sticker Sheets	2022-10-07	26	Snazzy Aether Homunculus	3e5ac76b-08bd-4232-9290-49742b0ff603			card_draw, direct_draw, draw, kindred_support				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/26/snazzy-aether-homunculus?utm_source=api	{TK}{TK} — {1}: Target creature gains all creature types until end of turn. {TK}{TK}{TK} — Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card. {TK}{TK} — 2/4 {TK}{TK}{TK}{TK}{TK} — 8/7
sunf	Unfinity Sticker Sheets	2022-10-07	27	Squid Fire Knight	5bd19c93-4b1b-45d7-9764-1327fffe94ca			dice_support, self_protection				Stickers		0			Protection		verify analyzer roles	https://scryfall.com/card/sunf/27/squid-fire-knight?utm_source=api	{TK}{TK} — {T}: The next time target player would roll one or more dice this turn, instead they roll that many dice plus one, then you choose one of those rolls to ignore. {TK}{TK}{TK} — Protection from odd mana values {TK}{TK} — 4/1 {TK}{TK}{TK}{TK} — 6/6
sunf	Unfinity Sticker Sheets	2022-10-07	28	Cool Fluffy Loxodon	ba2bb276-b7ef-46ec-9618-2cf4d60c70a6			card_draw, direct_draw, draw				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/28/cool-fluffy-loxodon?utm_source=api	{TK}{TK} — When this permanent leaves the battlefield, draw a card. {TK}{TK}{TK}{TK}{TK} — Whenever a creature enters under your control, this permanent becomes a 13/13 Eldrazi creature in addition to its other types until end of turn. {TK}{TK} — 4/2 {TK}{TK}{TK}{TK} — 5/6
sunf	Unfinity Sticker Sheets	2022-10-07	29	Space Fungus Snickerdoodle	fd29fdbd-b4c5-4d23-9388-df0a798fbbba			combat_support				Stickers		0			Skulk, Battle Cry		verify analyzer roles	https://scryfall.com/card/sunf/29/space-fungus-snickerdoodle?utm_source=api	{TK}{TK} — Skulk (This creature can't be blocked by creatures with greater power.) {TK}{TK}{TK} — Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.) {TK}{TK} — 3/2 {TK}{TK}{TK}{TK}{TK} — 6/8
sunf	Unfinity Sticker Sheets	2022-10-07	30	Playable Delusionary Hydra	065cdf8d-6874-4ab6-a08e-79bd88b245bd			card_draw, card_selection, combat_support, direct_draw, draw, lifegain, selection				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/30/playable-delusionary-hydra?utm_source=api	{TK}{TK} — {T}: Draw a card, then discard a card. {TK}{TK}{TK}{TK} — Whenever this creature attacks, you gain 3 life and draw a card. {TK}{TK} — 1/5 {TK}{TK}{TK} — 4/4
sunf	Unfinity Sticker Sheets	2022-10-07	31	Wrinkly Monkey Shenanigans	f7016cec-bb17-4f56-bf8e-3d8c83e6e41b			card_draw, combat_support, counter_support, direct_draw, draw				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/31/wrinkly-monkey-shenanigans?utm_source=api	{TK}{TK} — {1}: Target creature can't block this creature this turn. {TK}{TK}{TK}{TK} — Morbid — At the beginning of each end step, if a creature died this turn and this permanent is a creature, put a -1/-1 counter on this permanent and draw a card. {TK}{TK} — 2/4 {TK}{TK}{TK} — 7/2
sunf	Unfinity Sticker Sheets	2022-10-07	32	Geek Lotus Warrior	c0a448ee-e5f9-4e57-85b0-f6d401018170			combat_support, targeted_removal				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/32/geek-lotus-warrior?utm_source=api	{TK}{TK} — {2}: This creature gets +2/+0 until end of turn. {TK}{TK}{TK}{TK} — Whenever a creature enters under your control, this permanent deals 2 damage to target player. {TK}{TK} — 4/1 {TK}{TK}{TK} — 3/6
sunf	Unfinity Sticker Sheets	2022-10-07	33	Primal Elder Kitty	a7a00246-54e7-4213-b95b-907ab9015e53			combat_support, counter_support, sacrifice_support, scalable_spell				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/33/primal-elder-kitty?utm_source=api	{TK}{TK} — {1}: This creature gets +1/-1 until end of turn. {TK}{TK}{TK} — When this creature dies, you may put X +1/+1 counters on target creature, where X is this creature's power. {TK}{TK} — 5/1 {TK}{TK}{TK}{TK} — 4/7
sunf	Unfinity Sticker Sheets	2022-10-07	34	Sassy Gremlin Blood	16663933-c8e2-4411-8eed-673c52fa3ecb			burst_ramp, combat_support, mana_fixing, ramp, token_support				Stickers		0			Treasure		verify analyzer roles	https://scryfall.com/card/sunf/34/sassy-gremlin-blood?utm_source=api	{TK}{TK} — Whenever this creature attacks, create a Treasure token. {TK}{TK}{TK}{TK}{TK} — {3}: Target creature gains flying until end of turn. {TK}{TK} — 3/2 {TK}{TK}{TK}{TK}{TK}{TK} — 10/10
sunf	Unfinity Sticker Sheets	2022-10-07	35	Yawgmoth Merfolk Soul	4c02ee30-8681-45ed-adb5-edf06409eee4			hand_attack, removal, token_support				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/35/yawgmoth-merfolk-soul?utm_source=api	{TK}{TK} — When this permanent leaves the battlefield, target player discards a card. {TK}{TK}{TK}{TK}{TK} — When this permanent leaves the battlefield, create five 1/1 white Clown Robot artifact creature tokens. {TK}{TK} — 3/3 {TK}{TK}{TK}{TK} — 6/5
sunf	Unfinity Sticker Sheets	2022-10-07	36	Unassuming Gelatinous Serpent	6ad4d181-21ce-47f3-9c00-2aa8c307e7fe			card_selection, combat_support, hand_recursion, mill_support, multiplier_support, recursion, replacement_engine, sacrifice_support				Stickers		0			Mill		verify analyzer roles	https://scryfall.com/card/sunf/36/unassuming-gelatinous-serpent?utm_source=api	{TK}{TK} — When this permanent dies, return target noncreature, nonland card from your graveyard to your hand. {TK}{TK}{TK}{TK} — Whenever this creature deals combat damage to a player, that player mills twice that many cards. {TK}{TK} — 2/3 {TK}{TK}{TK} — 7/2
sunf	Unfinity Sticker Sheets	2022-10-07	37	Squishy Sphinx Ninja	d198b39d-2c5f-4150-8c54-a00d33d74a28			combat_support, self_protection				Stickers		0			Provoke, Ward		verify analyzer roles	https://scryfall.com/card/sunf/37/squishy-sphinx-ninja?utm_source=api	{TK}{TK} — Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.) {TK}{TK}{TK}{TK} — Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.) {TK}{TK}{TK} — 5/3 {TK}{TK}{TK}{TK}{TK} — 7/7
sunf	Unfinity Sticker Sheets	2022-10-07	38	Unique Charmed Pants	989346e5-3e76-40ce-8295-d267929d4fd5			combat_support, mana_fixing, scalable_spell				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/38/unique-charmed-pants?utm_source=api	{TK}{TK} — {T}: Add one mana of any color. {TK}{TK}{TK} — Whenever this creature attacks, if it's not a Brushwagg, it gets +X/+0 until end of turn, where X is the number of supertypes, card types, and subtypes it has. {TK}{TK} — 5/1 {TK}{TK}{TK}{TK} — 4/8
sunf	Unfinity Sticker Sheets	2022-10-07	39	Unhinged Beast Hunt	ea1fb0c3-d52c-4435-af2c-4b74f31189f7			combat_support, lifegain				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/39/unhinged-beast-hunt?utm_source=api	{TK}{TK} — {T}: You gain 1 life. {TK}{TK}{TK}{TK} — Whenever this creature attacks, tap each creature an opponent controls with the same power and/or same toughness as this creature. {TK}{TK} — 4/1 {TK}{TK}{TK} — 2/6
sunf	Unfinity Sticker Sheets	2022-10-07	40	Wild Ogre Bupkis	578c23d2-225f-4488-be7f-4abe38297bde			combat_support, counter_support, self_protection				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/40/wild-ogre-bupkis?utm_source=api	{TK}{TK} — Whenever this creature attacks, put a +1/+1 counter on it. {TK}{TK}{TK} — Metalcraft — This permanent has protection from noncreature permanents as long as you control three or more artifacts. {TK}{TK} — 5/1 {TK}{TK}{TK}{TK} — 7/4
sunf	Unfinity Sticker Sheets	2022-10-07	41	Notorious Sliver War	06f8efdd-4e8e-4524-859b-71f2f1732ad5			combat_support, self_protection				Stickers		0			Protection		verify analyzer roles	https://scryfall.com/card/sunf/41/notorious-sliver-war?utm_source=api	{TK}{TK} — {5}: Creatures you control get +1/+1 until end of turn. {TK}{TK}{TK} — Protection from creatures with two or more creature types {TK}{TK} — 3/3 {TK}{TK}{TK}{TK}{TK} — 9/6
sunf	Unfinity Sticker Sheets	2022-10-07	42	Weird Angel Flame	2c925531-63f8-4a6b-bfe0-bb8cd5d0d63d			counter_support, self_protection				Stickers		0			Protection		verify analyzer roles	https://scryfall.com/card/sunf/42/weird-angel-flame?utm_source=api	{TK}{TK} — Heroic — Whenever you cast a spell that targets this permanent, put two +1/+1 counters on it. {TK}{TK}{TK} — Protection from even mana values {TK}{TK} — 2/3 {TK}{TK}{TK}{TK}{TK} — 7/8
sunf	Unfinity Sticker Sheets	2022-10-07	43	Vampire Champion Fury	be19d5ef-15ed-422d-8799-63eabfdbaae3			combat_support, removal, sacrifice_support, scalable_spell, targeted_removal				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/43/vampire-champion-fury?utm_source=api	{TK}{TK} — Hellbent — This creature gets +3/+3 as long as you have no cards in hand. {TK}{TK}{TK}{TK} — {2}, Sacrifice this creature: It deals X damage divided as you choose among any number of target creatures, where X is its power. {TK}{TK} — 1/5 {TK}{TK}{TK} — 6/3
sunf	Unfinity Sticker Sheets	2022-10-07	44	Trained Blessed Mind	7a1ff7f3-0b3e-47fe-9e89-522c04f53869			combat_support, graveyard_hate				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/44/trained-blessed-mind?utm_source=api	{TK}{TK} — {T}: Exile target card from a graveyard. {TK}{TK}{TK} — Threshold — As long as seven or more cards are in your graveyard, this creature gets +4/+0 and has trample. {TK}{TK} — 4/2 {TK}{TK}{TK}{TK}{TK} — 6/9
sunf	Unfinity Sticker Sheets	2022-10-07	45	Unglued Pea-Brained Dinosaur	eb1c4f0a-b993-4aa1-8b13-1695b5f63653			artifact_support				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/45/unglued-pea-brained-dinosaur?utm_source=api	{TK}{TK} — {T}: Add {2}. Spend this mana only to cast creature spells. {TK}{TK}{TK}{TK} — At the beginning of combat on your turn, target noncreature artifact you control becomes a 4/4 artifact creature with flying until end of turn. {TK}{TK} — 2/4 {TK}{TK}{TK}{TK}{TK} — 8/6
sunf	Unfinity Sticker Sheets	2022-10-07	46	Elemental Time Flamingo	5829ac8e-bd1c-4065-b30a-5307ab11ae79			card_selection, direct_finisher, finisher, lifegain, recursion, replay_recursion, sacrifice_support, selection				Stickers		0					verify analyzer roles	https://scryfall.com/card/sunf/46/elemental-time-flamingo?utm_source=api	{TK}{TK} — Exile this permanent: You may cast target nonland card from your graveyard this turn. {TK}{TK}{TK}{TK} — Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life. {TK}{TK} — 1/5 {TK}{TK}{TK} — 5/4
