setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
t2xm	Double Masters Tokens	2020-08-07	1	Eldrazi Spawn	3aaf906a-e749-4e86-ac79-97650b92f271			burst_ramp, combat_body, ramp, sacrifice_support				Token Creature — Eldrazi Spawn		0					verify analyzer roles	https://scryfall.com/card/t2xm/1/eldrazi-spawn?utm_source=api	Sacrifice this creature: Add {C}.
t2xm	Double Masters Tokens	2020-08-07	2	Shapeshifter	fe8478ec-2af9-472b-b104-a71521a3559f			combat_body, kindred_support				Token Creature — Shapeshifter		0			Changeling		verify analyzer roles	https://scryfall.com/card/t2xm/2/shapeshifter?utm_source=api	Changeling
t2xm	Double Masters Tokens	2020-08-07	3	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/t2xm/3/angel?utm_source=api	Flying
t2xm	Double Masters Tokens	2020-08-07	4	Cat	6788478d-e157-4483-be09-9edb3f841431			combat_body				Token Creature — Cat		0	W	W			verify analyzer roles	https://scryfall.com/card/t2xm/4/cat?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	5	Human Soldier	a4095286-d51b-4527-b6ce-23aa539fc23a			combat_body				Token Creature — Human Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/t2xm/5/human-soldier?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	6	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/t2xm/6/soldier?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	7	Myr	21711b3c-2f1e-47b6-9d9b-979be78df2eb			combat_body				Token Artifact Creature — Myr		0	U	U			verify analyzer roles	https://scryfall.com/card/t2xm/7/myr?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	8	Thopter	e3c8482e-ce21-43f8-ac07-c26c01941a4d			combat_body, combat_threat				Token Artifact Creature — Thopter		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/t2xm/8/thopter?utm_source=api	Flying
t2xm	Double Masters Tokens	2020-08-07	9	Demon	0045c5fa-3229-4050-b139-5712fa24b308			combat_body, combat_threat				Token Creature — Demon		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/t2xm/9/demon?utm_source=api	Flying
t2xm	Double Masters Tokens	2020-08-07	10	Germ	bb549594-35f6-4ac6-9f1f-cfb35784d99e			combat_body				Token Creature — Germ		0	B	B			verify analyzer roles	https://scryfall.com/card/t2xm/10/germ?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	11	Marit Lage	48e9147e-59f7-4693-83d7-7f514be871bc			combat_body, combat_threat, self_protection				Token Legendary Creature — Avatar		0	B	B	Flying, Indestructible		verify analyzer roles	https://scryfall.com/card/t2xm/11/marit-lage?utm_source=api	Flying, indestructible
t2xm	Double Masters Tokens	2020-08-07	12	Ape	6736e171-ed7d-4259-8a42-f5936ebad532			combat_body				Token Creature — Ape		0	G	G			verify analyzer roles	https://scryfall.com/card/t2xm/12/ape?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	13	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920			combat_body				Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/t2xm/13/beast?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	14	Elephant	079c46cc-feb0-4998-8593-c8b739afdb82	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Elephant		0	G	G			already reviewed	https://scryfall.com/card/t2xm/14/elephant?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	15	Ooze	bb3da6d2-aed7-4057-b94b-6882fb45cc89			combat_body				Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/t2xm/15/ooze?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	16	Plant	bcd346a7-4d96-4a0c-9725-fb740e32b730			combat_body				Token Creature — Plant		0	G	G			verify analyzer roles	https://scryfall.com/card/t2xm/16/plant?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	17	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/t2xm/17/saproling?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	18	Squirrel	67f21c0c-2083-4eda-9dc3-cc8aee42289f	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Squirrel		0	G	G			already reviewed	https://scryfall.com/card/t2xm/18/squirrel?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	19	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b			combat_body				Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/t2xm/19/wolf?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	20	Elemental	9f790267-5be9-41aa-be69-f87a8ce5a29e			combat_body, combat_support				Token Creature — Elemental		0	GW	GW			verify analyzer roles	https://scryfall.com/card/t2xm/20/elemental?utm_source=api	This creature's power and toughness are each equal to the number of creatures you control.
t2xm	Double Masters Tokens	2020-08-07	21	Elf Warrior	86f88b6a-762c-4cbd-8ea2-d30ee16c7f99			combat_body				Token Creature — Elf Warrior		0	GW	GW			verify analyzer roles	https://scryfall.com/card/t2xm/21/elf-warrior?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	22	Clue	496e1083-c792-40a4-adf4-fec1d559cd5e			card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support				Token Artifact — Clue		0					verify analyzer roles	https://scryfall.com/card/t2xm/22/clue?utm_source=api	{2}, Sacrifice this token: Draw a card.
t2xm	Double Masters Tokens	2020-08-07	23	Golem	9859c54d-695b-4bb1-940e-cfd1c3301e89			combat_body				Token Artifact Creature — Golem		0					verify analyzer roles	https://scryfall.com/card/t2xm/23/golem?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	24	Myr	bf690282-125f-431c-a363-39f6772324c8			combat_body				Token Artifact Creature — Myr		0					verify analyzer roles	https://scryfall.com/card/t2xm/24/myr?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	25	Servo	b6ca7bd1-d72e-4260-8b52-997ee1377279			combat_body				Token Artifact Creature — Servo		0					verify analyzer roles	https://scryfall.com/card/t2xm/25/servo?utm_source=api	
t2xm	Double Masters Tokens	2020-08-07	26	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f			combat_body, combat_threat				Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/t2xm/26/thopter?utm_source=api	Flying
t2xm	Double Masters Tokens	2020-08-07	27	Treasure	3c549374-6c37-42e0-8d88-a8555d46732d			burst_ramp, mana_fixing, sacrifice_support				Token Artifact — Treasure		0					verify analyzer roles	https://scryfall.com/card/t2xm/27/treasure?utm_source=api	{T}, Sacrifice this token: Add one mana of any color.
t2xm	Double Masters Tokens	2020-08-07	28	Tuktuk the Returned	9ccb2b2a-23a9-42c4-947f-47c7eafdb018			combat_body				Token Artifact Creature — Goblin Golem		0					verify analyzer roles	https://scryfall.com/card/t2xm/28/tuktuk-the-returned?utm_source=api	Tuktuk the Returned is legendary.
t2xm	Double Masters Tokens	2020-08-07	29	Wurm	5e3f41f7-9b42-437a-a9f9-f09250b083db			combat_body, combat_threat				Token Artifact Creature — Wurm		0			Deathtouch		verify analyzer roles	https://scryfall.com/card/t2xm/29/wurm?utm_source=api	Deathtouch
t2xm	Double Masters Tokens	2020-08-07	30	Wurm	1b9ccdd7-4935-45e2-bb16-b09870dd965d			combat_body, combat_threat, lifegain				Token Artifact Creature — Wurm		0			Lifelink		verify analyzer roles	https://scryfall.com/card/t2xm/30/wurm?utm_source=api	Lifelink
t2xm	Double Masters Tokens	2020-08-07	31	Copy	88c78601-87f0-45e7-b2e0-e7ffcfb1cb70			copy_support				Token		0					verify analyzer roles	https://scryfall.com/card/t2xm/31/copy?utm_source=api	(This token can be used to represent a token that's a copy of a permanent.)
