setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
t30a	30th Anniversary Tokens	2022-11-28	1	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a			combat_body				Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/t30a/1/human?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	2	Human Warrior	8791f524-43b8-4258-9d13-e5e30705280f			combat_body				Token Creature — Human Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/t30a/2/human-warrior?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/t30a/3/soldier?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	4	Bird	39593ebf-49ee-4a74-8498-952b43fa5127	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Bird		0	U	U	Flying		already reviewed	https://scryfall.com/card/t30a/4/bird?utm_source=api	Flying
t30a	30th Anniversary Tokens	2022-11-28	5	Human Wizard	9a84c6f8-537c-430d-95b6-f19a86f74f45			combat_body				Token Creature — Human Wizard		0	U	U			verify analyzer roles	https://scryfall.com/card/t30a/5/human-wizard?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	6	Demon	0045c5fa-3229-4050-b139-5712fa24b308			combat_body, combat_threat				Token Creature — Demon		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/t30a/6/demon?utm_source=api	Flying
t30a	30th Anniversary Tokens	2022-11-28	7	Skeleton	8556740e-653e-4866-9e57-5e8da844113f			combat_body				Token Creature — Skeleton		0	B	B			verify analyzer roles	https://scryfall.com/card/t30a/7/skeleton?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	8	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920			combat_body				Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/t30a/8/beast?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	9	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b			combat_body				Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/t30a/9/wolf?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	10	Human Cleric	e649b92c-a1ef-4c72-8f1f-6ac775957294			combat_body				Token Creature — Human Cleric		0	BW	BW			verify analyzer roles	https://scryfall.com/card/t30a/10/human-cleric?utm_source=api	
t30a	30th Anniversary Tokens	2022-11-28	11	Clue	496e1083-c792-40a4-adf4-fec1d559cd5e			card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support				Token Artifact — Clue		0					verify analyzer roles	https://scryfall.com/card/t30a/11/clue?utm_source=api	{2}, Sacrifice this token: Draw a card.
t30a	30th Anniversary Tokens	2022-11-28	13	Treasure	3c549374-6c37-42e0-8d88-a8555d46732d			burst_ramp, mana_fixing, sacrifice_support				Token Artifact — Treasure		0					verify analyzer roles	https://scryfall.com/card/t30a/13/treasure?utm_source=api	{T}, Sacrifice this token: Add one mana of any color.
t30a	30th Anniversary Tokens	2022-11-28	16	Wasp	e0a4cf18-57ca-47e5-b7b0-c26975601660			combat_body, combat_threat				Token Artifact Creature — Insect		0			Flying		verify analyzer roles	https://scryfall.com/card/t30a/16/wasp?utm_source=api	Flying
