setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ta25	Masters 25 Tokens	2018-03-16	1	Spirit	6a7a9dff-ff9e-4005-a17f-6ea0c11c1d5a			combat_body				Token Creature — Spirit		0					verify analyzer roles	https://scryfall.com/card/ta25/1/spirit?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	2	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ta25/2/angel?utm_source=api	Flying
ta25	Masters 25 Tokens	2018-03-16	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/ta25/3/soldier?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	4	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/ta25/4/spirit?utm_source=api	Flying
ta25	Masters 25 Tokens	2018-03-16	5	Fish	9c035738-c8a9-4418-9aaa-7d7d494226e1			combat_body, sacrifice_support, token_support				Token Creature — Fish		0	U	U			verify analyzer roles	https://scryfall.com/card/ta25/5/fish?utm_source=api	When this creature dies, create a 6/6 blue Whale creature token with "When this creature dies, create a 9/9 blue Kraken creature token."
ta25	Masters 25 Tokens	2018-03-16	5★	Fish // Kraken	86429128-235d-4c27-9529-7921d4315eba			combat_body, sacrifice_support, token_support				Token Creature — Fish // Token Creature — Kraken		0		U			verify analyzer roles	https://scryfall.com/card/ta25/5%E2%98%85/fish-kraken?utm_source=api	Fish: When this creature dies, create a 6/6 blue Whale creature token with "When this creature dies, create a 9/9 blue Kraken creature token." // Kraken:
ta25	Masters 25 Tokens	2018-03-16	6	Kraken	cd0f813b-1f9f-484d-adab-bc8d16d2b867			combat_body				Token Creature — Kraken		0	U	U			verify analyzer roles	https://scryfall.com/card/ta25/6/kraken?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	7	Whale	55ba83ae-9158-4c92-8bca-6dd96b517836			combat_body, sacrifice_support, token_support				Token Creature — Whale		0	U	U			verify analyzer roles	https://scryfall.com/card/ta25/7/whale?utm_source=api	When this creature dies, create a 9/9 blue Kraken creature token.
ta25	Masters 25 Tokens	2018-03-16	8	Skeleton	9174887a-5990-49c8-ae95-83d830f9d4f3			combat_body, protection, regeneration_protection, targeted_protection				Token Creature — Skeleton		0	B	B	Regenerate		verify analyzer roles	https://scryfall.com/card/ta25/8/skeleton?utm_source=api	{B}: Regenerate this creature.
ta25	Masters 25 Tokens	2018-03-16	9	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/ta25/9/goblin?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	10	Kobolds of Kher Keep	6790eb4e-f6ed-44f5-85f1-bd7e167b828c			combat_body				Token Creature — Kobold		0	R	R			verify analyzer roles	https://scryfall.com/card/ta25/10/kobolds-of-kher-keep?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	11	Elf Warrior	dac8a765-6845-4b57-bb79-4ec463436f92			combat_body				Token Creature — Elf Warrior		0	G	G			verify analyzer roles	https://scryfall.com/card/ta25/11/elf-warrior?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	12	Insect	c39cd31f-c4a2-4ca8-b4f9-b2e6289743bc	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Insect		0	G	G			already reviewed	https://scryfall.com/card/ta25/12/insect?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	13	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b			combat_body				Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/ta25/13/wolf?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	14	Stangg Twin	48419100-a3d7-44c1-95cc-486a4ef066af			combat_body				Token Legendary Creature — Human Warrior		0	GR	GR			verify analyzer roles	https://scryfall.com/card/ta25/14/stangg-twin?utm_source=api	
ta25	Masters 25 Tokens	2018-03-16	15	Morph	8f92f8d7-ec89-426f-86dc-fbc259eb5559			combat_body, face_down_support				Creature		0					verify analyzer roles	https://scryfall.com/card/ta25/15/morph?utm_source=api	(You can cover a face-down creature with this reminder card. A card with morph can be turned face up any time for its morph cost.)
