setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	1	Angel	263fd9ed-d3dc-4a96-b731-dd8f4bb0f95a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tafr/1/angel?utm_source=api	Flying
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	2	Icingdeath, Frost Tongue	9920ae3f-268c-4ec5-a87f-7301bbcf8df4	covered	artifact_support, combat_support, removal, tempo_removal	artifact_support, combat_support, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Token Legendary Artifact — Equipment		0	W	W	Equip		verify analyzer roles	https://scryfall.com/card/tafr/2/icingdeath-frost-tongue?utm_source=api	Equipped creature gets +2/+0. Whenever equipped creature attacks, tap target creature defending player controls. Equip {2}
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	3	Dog Illusion	64a7afcd-6df7-45ee-8b4f-7d1690acf5c6	covered	combat_body, combat_support, multiplier_support, replacement_engine	combat_body, combat_support, multiplier_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dog Illusion		0	U	U			verify analyzer roles	https://scryfall.com/card/tafr/3/dog-illusion?utm_source=api	This creature's power and toughness are each equal to twice the number of cards in your hand.
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	4	Faerie Dragon	3f0617a7-60e7-4a59-91da-ed6da7e7f4d5	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Faerie Dragon		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tafr/4/faerie-dragon?utm_source=api	Flying
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	5	The Atropal	37ad0793-3b77-4da5-a9b3-9186204c627b	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — God Horror		0	B	B	Deathtouch		verify analyzer roles	https://scryfall.com/card/tafr/5/the-atropal?utm_source=api	Deathtouch
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	6	Skeleton	8556740e-653e-4866-9e57-5e8da844113f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Skeleton		0	B	B			verify analyzer roles	https://scryfall.com/card/tafr/6/skeleton?utm_source=api	
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	7	Spider	3e6a1c13-16f0-4256-b468-1f537de78629	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spider		0	B	B	Reach, Menace		verify analyzer roles	https://scryfall.com/card/tafr/7/spider?utm_source=api	Menace, reach
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	8	Vecna	aeeba0a5-46c0-4637-8761-45be738a18a3	covered	combat_body, self_protection	combat_body, self_protection	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Zombie God		0	B	B	Indestructible		verify analyzer roles	https://scryfall.com/card/tafr/8/vecna?utm_source=api	Indestructible
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	9	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tafr/9/zombie?utm_source=api	
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	10	Boo	53c0975a-a240-4889-a7cb-8bca6dfe5a1b	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Hamster		0	R	R	Haste, Trample		verify analyzer roles	https://scryfall.com/card/tafr/10/boo?utm_source=api	Trample, haste
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	11	Devil	02d1dc2f-625e-4be3-9daf-e48c44bc9bf7	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Creature — Devil		0	R	R			verify analyzer roles	https://scryfall.com/card/tafr/11/devil?utm_source=api	When this creature dies, it deals 1 damage to any target.
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	12	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tafr/12/goblin?utm_source=api	
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	13	Guenhwyvar	3006ece2-fae0-43ee-9ee1-781d9b2d2689	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Cat		0	G	G	Trample		verify analyzer roles	https://scryfall.com/card/tafr/13/guenhwyvar?utm_source=api	Trample
tafr	Adventures in the Forgotten Realms Tokens	2021-07-23	14	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/tafr/14/wolf?utm_source=api	
