setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
takh	Amonkhet Tokens	2017-04-28	1	Angel of Sanctions	19b90e71-c37a-4b61-bb46-9a4a19b6ea8d	covered	combat_body, combat_threat, removal, targeted_removal	combat_body, combat_threat, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/takh/1/angel-of-sanctions?utm_source=api	Flying When Angel of Sanctions enters the battlefield, you may exile target nonland permanent an opponent controls until Angel of Sanctions leaves the battlefield.
takh	Amonkhet Tokens	2017-04-28	2	Anointer Priest	e07e4e79-9c4f-4ea0-a366-9193dea74114	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Human Cleric		0	W	W			verify analyzer roles	https://scryfall.com/card/takh/2/anointer-priest?utm_source=api	Whenever a creature token enters the battlefield under your control, you gain 1 life.
takh	Amonkhet Tokens	2017-04-28	3	Aven Initiate	76a82a10-643d-441c-9895-70004cc56487	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Bird Warrior		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/takh/3/aven-initiate?utm_source=api	Flying
takh	Amonkhet Tokens	2017-04-28	4	Aven Wind Guide	57a8745a-5dd3-45f5-9f22-3b68d8d60618	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Bird Warrior		0	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/takh/4/aven-wind-guide?utm_source=api	Flying, vigilance Creature tokens you control have flying and vigilance.
takh	Amonkhet Tokens	2017-04-28	5	Glyph Keeper	9eddc428-e7bb-462b-9c50-abc3b499bf83	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Sphinx		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/takh/5/glyph-keeper?utm_source=api	Flying Whenever Glyph Keeper becomes the target of a spell or ability for the first time each turn, counter that spell or ability.
takh	Amonkhet Tokens	2017-04-28	6	Heart-Piercer Manticore	7cdd9a3c-0142-4442-83c5-63f5c69b0c48	covered	combat_body, direct_finisher, finisher, removal, sacrifice_support, targeted_removal	combat_body, direct_finisher, finisher, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Manticore		0	W	W			verify analyzer roles	https://scryfall.com/card/takh/6/heart-piercer-manticore?utm_source=api	When Heart-Piercer Manticore enters the battlefield, you may sacrifice another creature. When you do, Heart-Piercer Manticore deals damage equal to that creature's power to any target.
takh	Amonkhet Tokens	2017-04-28	7	Honored Hydra	837de914-29a6-452f-b185-d2d92629f020	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Snake Hydra		0	W	W	Trample		verify analyzer roles	https://scryfall.com/card/takh/7/honored-hydra?utm_source=api	Trample
takh	Amonkhet Tokens	2017-04-28	8	Labyrinth Guardian	01deda1e-01f2-495f-992a-ca2e8b0a1111	covered	combat_body, sacrifice_support	combat_body, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Illusion Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/takh/8/labyrinth-guardian?utm_source=api	When Labyrinth Guardian becomes the target of a spell, sacrifice it.
takh	Amonkhet Tokens	2017-04-28	9	Oketra's Attendant	422b060d-eb90-4406-97b7-28943a426c83	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Bird Soldier		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/takh/9/oketras-attendant?utm_source=api	Flying
takh	Amonkhet Tokens	2017-04-28	10	Sacred Cat	34170487-e16d-4460-a4c4-2cddefc9715f	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Cat		0	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/takh/10/sacred-cat?utm_source=api	Lifelink
