setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tala	Shards of Alara Tokens	2008-10-03	1	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tala/1/soldier?utm_source=api	
tala	Shards of Alara Tokens	2008-10-03	2	Homunculus	9249c5ac-e870-4df3-8854-12f4aff4aa5c	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Homunculus		0	U	U			verify analyzer roles	https://scryfall.com/card/tala/2/homunculus?utm_source=api	
tala	Shards of Alara Tokens	2008-10-03	3	Thopter	e3c8482e-ce21-43f8-ac07-c26c01941a4d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Thopter		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tala/3/thopter?utm_source=api	Flying
tala	Shards of Alara Tokens	2008-10-03	4	Skeleton	9174887a-5990-49c8-ae95-83d830f9d4f3	covered	combat_body, protection, regeneration_protection, targeted_protection	combat_body, protection, regeneration_protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Token Creature — Skeleton		0	B	B	Regenerate		verify analyzer roles	https://scryfall.com/card/tala/4/skeleton?utm_source=api	{B}: Regenerate this creature.
tala	Shards of Alara Tokens	2008-10-03	5	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tala/5/zombie?utm_source=api	
tala	Shards of Alara Tokens	2008-10-03	6	Dragon	c8790543-9399-4312-9b15-aa8a45c8fec7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/tala/6/dragon?utm_source=api	Flying
tala	Shards of Alara Tokens	2008-10-03	7	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tala/7/goblin?utm_source=api	
tala	Shards of Alara Tokens	2008-10-03	8	Ooze	bb3da6d2-aed7-4057-b94b-6882fb45cc89	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/tala/8/ooze?utm_source=api	
tala	Shards of Alara Tokens	2008-10-03	9	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/tala/9/saproling?utm_source=api	
tala	Shards of Alara Tokens	2008-10-03	10	Beast	caf35bcc-02af-4cef-a1ae-2d4d235e4a79	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Beast		0	GRW	GRW			verify analyzer roles	https://scryfall.com/card/tala/10/beast?utm_source=api	
