setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tbng	Born of the Gods Tokens	2014-02-07	1	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tbng/1/bird?utm_source=api	Flying
tbng	Born of the Gods Tokens	2014-02-07	2	Cat Soldier	53c009a1-b9b6-43d6-8543-77688fedf8ae	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Cat Soldier		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tbng/2/cat-soldier?utm_source=api	Vigilance
tbng	Born of the Gods Tokens	2014-02-07	3	Soldier	cca22679-fb67-4a43-b824-0f8faac0f319	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Enchantment Creature — Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tbng/3/soldier?utm_source=api	
tbng	Born of the Gods Tokens	2014-02-07	4	Bird	ed1eaac2-79f7-4d4f-a0c5-f87a4cf6042c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Enchantment Creature — Bird		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tbng/4/bird?utm_source=api	Flying
tbng	Born of the Gods Tokens	2014-02-07	5	Kraken	cd0f813b-1f9f-484d-adab-bc8d16d2b867	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Kraken		0	U	U			verify analyzer roles	https://scryfall.com/card/tbng/5/kraken?utm_source=api	
tbng	Born of the Gods Tokens	2014-02-07	6	Zombie	7cd97599-7858-4fba-8ccc-06aed3246380	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Enchantment Creature — Zombie		0	B	B			verify analyzer roles	https://scryfall.com/card/tbng/6/zombie?utm_source=api	
tbng	Born of the Gods Tokens	2014-02-07	7	Elemental	e43cada0-1ed7-4246-ae53-c34a0e91a012	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Enchantment Creature — Elemental		0	R	R			verify analyzer roles	https://scryfall.com/card/tbng/7/elemental?utm_source=api	
tbng	Born of the Gods Tokens	2014-02-07	8	Centaur	d3988ada-5df2-4055-be63-30db40ad3992	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Enchantment Creature — Centaur		0	G	G			verify analyzer roles	https://scryfall.com/card/tbng/8/centaur?utm_source=api	
tbng	Born of the Gods Tokens	2014-02-07	9	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/tbng/9/wolf?utm_source=api	
tbng	Born of the Gods Tokens	2014-02-07	10	Gold	5aa757d8-db7a-4a60-b63e-c9777c141953	covered	burst_ramp, sacrifice_support	burst_ramp, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Gold		0					verify analyzer roles	https://scryfall.com/card/tbng/10/gold?utm_source=api	Sacrifice this token: Add one mana of any color.
tbng	Born of the Gods Tokens	2014-02-07	11	Kiora, the Crashing Wave Emblem	1a7523ff-8683-4187-bea7-edee70392791	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Emblem — Kiora		0					verify analyzer roles	https://scryfall.com/card/tbng/11/kiora-the-crashing-wave-emblem?utm_source=api	At the beginning of your end step, create a 9/9 blue Kraken creature token.
