setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tbth	Battle the Horde	2014-03-01	1	Minotaur Goreseeker	284bf910-6cf2-4fcc-b2fd-07a1ef086e88	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Minotaur		0			Haste		verify analyzer roles	https://scryfall.com/card/tbth/1/minotaur-goreseeker?utm_source=api	Haste Minotaur Goreseeker attacks each turn if able.
tbth	Battle the Horde	2014-03-01	2	Minotaur Younghorn	90ec6e07-11ea-4fe8-a595-6aa01e599891	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Minotaur		0			Haste		verify analyzer roles	https://scryfall.com/card/tbth/2/minotaur-younghorn?utm_source=api	Haste Minotaur Younghorn attacks each turn if able.
tbth	Battle the Horde	2014-03-01	3	Mogis's Chosen	20ef6f1e-7fb0-4555-98d1-cc6a19b0fab9	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Minotaur		0					verify analyzer roles	https://scryfall.com/card/tbth/3/mogiss-chosen?utm_source=api	Mogis's Chosen enters the battlefield tapped. Mogis's Chosen attacks each turn if able.
tbth	Battle the Horde	2014-03-01	4	Phoberos Reaver	c9e82cbe-bc36-4d96-8f15-58154c6ab354	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Minotaur		0			Haste		verify analyzer roles	https://scryfall.com/card/tbth/4/phoberos-reaver?utm_source=api	Haste Phoberos Reaver attacks each turn if able.
tbth	Battle the Horde	2014-03-01	5	Reckless Minotaur	c200addc-b28f-4a76-bc4d-c448e6180ef2	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Minotaur		0			Haste		verify analyzer roles	https://scryfall.com/card/tbth/5/reckless-minotaur?utm_source=api	Haste Reckless Minotaur attacks each turn if able. At the beginning of the end step, destroy Reckless Minotaur.
tbth	Battle the Horde	2014-03-01	6	Consuming Rage	be836ed0-fe0e-40a0-a7f2-cad50d36cee8	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Sorcery		0					verify analyzer roles	https://scryfall.com/card/tbth/6/consuming-rage?utm_source=api	Whenever a Minotaur attacks this turn, it gets +2/+0 until end of turn. Destroy that creature at end of combat.
tbth	Battle the Horde	2014-03-01	7	Descend on the Prey	b0cb91a3-b38b-4afc-b873-17717e53e3ce	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Sorcery		0					verify analyzer roles	https://scryfall.com/card/tbth/7/descend-on-the-prey?utm_source=api	Whenever a Minotaur attacks this turn, it gains first strike until end of turn and must be blocked this turn if able.
tbth	Battle the Horde	2014-03-01	8	Intervention of Keranos	bb2abcbf-2c80-4920-9420-205e16c5c0e8	covered	mass_removal, removal	mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Sorcery		0					verify analyzer roles	https://scryfall.com/card/tbth/8/intervention-of-keranos?utm_source=api	At the beginning of combat this turn, Intervention of Keranos deals 3 damage to each creature.
tbth	Battle the Horde	2014-03-01	9	Touch of the Horned God	aff2baa7-e129-4579-9022-59d8fbee4d63	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Sorcery		0					verify analyzer roles	https://scryfall.com/card/tbth/9/touch-of-the-horned-god?utm_source=api	Whenever a Minotaur attacks this turn, it gains deathtouch until end of turn.
tbth	Battle the Horde	2014-03-01	10	Unquenchable Fury	8caab5e1-4195-4c2c-97f7-813db3fbe2a3	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Sorcery		0					verify analyzer roles	https://scryfall.com/card/tbth/10/unquenchable-fury?utm_source=api	Each Minotaur can't be blocked this turn except by two or more creatures.
tbth	Battle the Horde	2014-03-01	11	Altar of Mogis	136bce30-d1bf-4e54-93f6-6c74f6fa6567	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Artifact		0			Hero's Reward		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/tbth/11/altar-of-mogis?utm_source=api	At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card. Hero's Reward — When Altar of Mogis is put into a graveyard from anywhere, the Horde sacrifices two Minotaurs.
tbth	Battle the Horde	2014-03-01	12	Massacre Totem	d0f600b1-9f43-4054-b93c-be7cceb9c6dd	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Artifact		0			Hero's Reward		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/tbth/12/massacre-totem?utm_source=api	At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card. Hero's Reward — When Massacre Totem is put into a graveyard from anywhere, put the top seven cards of the Horde's library into its graveyard.
tbth	Battle the Horde	2014-03-01	13	Plundered Statue	ffbd4683-219e-401c-852d-f5f1809d5063	covered	card_draw	card_draw	false		Analyzer roles accepted during batch clean pass.	Artifact		0			Hero's Reward		verify analyzer roles	https://scryfall.com/card/tbth/13/plundered-statue?utm_source=api	At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card. Hero's Reward — When Plundered Statue is put into a graveyard from anywhere, each player draws a card.
tbth	Battle the Horde	2014-03-01	14	Refreshing Elixir	c1bf4f41-1afa-467d-96f0-a7b610907d2d	covered	lifegain	lifegain	false		Analyzer roles accepted during batch clean pass.	Artifact		0			Hero's Reward		verify analyzer roles	https://scryfall.com/card/tbth/14/refreshing-elixir?utm_source=api	At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card. Hero's Reward — When Refreshing Elixir is put into a graveyard from anywhere, each player gains 5 life.
tbth	Battle the Horde	2014-03-01	15	Vitality Salve	d13c60f7-5517-4421-8326-6fd86f59ec98	covered	battlefield_recursion, mass_recursion	battlefield_recursion, mass_recursion	false		Analyzer roles accepted during batch clean pass.	Artifact		0			Hero's Reward		verify analyzer roles	https://scryfall.com/card/tbth/15/vitality-salve?utm_source=api	At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card. Hero's Reward — When Vitality Salve is put into a graveyard from anywhere, each player returns a creature card from their graveyard to the battlefield.
