setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tc15	Commander 2015 Tokens	2015-11-13	0	Experience	36403fd7-dad1-4c98-b52b-1150d9d566e5	unsupported			false		Excluded from deck role audit: token card, not a deck slot.	Card		0					manual review	https://scryfall.com/card/tc15/0/experience?utm_source=api	(Place your experience counters here.)
tc15	Commander 2015 Tokens	2015-11-13	1	Shapeshifter	fe8478ec-2af9-472b-b104-a71521a3559f	covered	combat_body, kindred_support	combat_body, kindred_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Shapeshifter		0			Changeling		verify analyzer roles	https://scryfall.com/card/tc15/1/shapeshifter?utm_source=api	Changeling
tc15	Commander 2015 Tokens	2015-11-13	2	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tc15/2/angel?utm_source=api	Flying
tc15	Commander 2015 Tokens	2015-11-13	3	Cat	6788478d-e157-4483-be09-9edb3f841431	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Cat		0	W	W			verify analyzer roles	https://scryfall.com/card/tc15/3/cat?utm_source=api	
tc15	Commander 2015 Tokens	2015-11-13	4	Knight	100435fe-ae77-4644-8b4a-4c941bb2067f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Knight		0	W	W	First strike		verify analyzer roles	https://scryfall.com/card/tc15/4/knight?utm_source=api	First strike
tc15	Commander 2015 Tokens	2015-11-13	5	Knight	340aaeb6-cd18-4908-9729-8c53ab02c6f8	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Knight		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tc15/5/knight?utm_source=api	Vigilance
tc15	Commander 2015 Tokens	2015-11-13	6	Drake	9e266374-80f1-458a-9417-16220d2a013a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Drake		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tc15/6/drake?utm_source=api	Flying
tc15	Commander 2015 Tokens	2015-11-13	7	Germ	bb549594-35f6-4ac6-9f1f-cfb35784d99e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Germ		0	B	B			verify analyzer roles	https://scryfall.com/card/tc15/7/germ?utm_source=api	
tc15	Commander 2015 Tokens	2015-11-13	8	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tc15/8/zombie?utm_source=api	
tc15	Commander 2015 Tokens	2015-11-13	9	Dragon	60fe4897-6760-4c5a-8074-c92bd64df52b	covered		combat_body, combat_threat	false		Covered by PR2 role audit.	Token Creature — Dragon		0	R	R	Flying		already reviewed	https://scryfall.com/card/tc15/9/dragon?utm_source=api	Flying
