setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tcm2	Commander Anthology Volume II Tokens	2018-06-08	1	Shapeshifter	fe8478ec-2af9-472b-b104-a71521a3559f			combat_body, kindred_support				Token Creature — Shapeshifter		0			Changeling		verify analyzer roles	https://scryfall.com/card/tcm2/1/shapeshifter?utm_source=api	Changeling
tcm2	Commander Anthology Volume II Tokens	2018-06-08	2	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297			combat_body, combat_threat				Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tcm2/2/bird?utm_source=api	Flying
tcm2	Commander Anthology Volume II Tokens	2018-06-08	3	Goat	f62b776a-d4de-455a-ae5a-ca07982974db			combat_body				Token Creature — Goat		0	W	W			verify analyzer roles	https://scryfall.com/card/tcm2/3/goat?utm_source=api	
tcm2	Commander Anthology Volume II Tokens	2018-06-08	4	Knight	100435fe-ae77-4644-8b4a-4c941bb2067f			combat_body, combat_threat				Token Creature — Knight		0	W	W	First strike		verify analyzer roles	https://scryfall.com/card/tcm2/4/knight?utm_source=api	First strike
tcm2	Commander Anthology Volume II Tokens	2018-06-08	5	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tcm2/5/spirit?utm_source=api	Flying
tcm2	Commander Anthology Volume II Tokens	2018-06-08	6	Germ	bb549594-35f6-4ac6-9f1f-cfb35784d99e			combat_body				Token Creature — Germ		0	B	B			verify analyzer roles	https://scryfall.com/card/tcm2/6/germ?utm_source=api	
tcm2	Commander Anthology Volume II Tokens	2018-06-08	7	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tcm2/7/zombie?utm_source=api	
tcm2	Commander Anthology Volume II Tokens	2018-06-08	8	Elemental Shaman	a44da885-2d0f-4e16-ba68-ec80640e819f			combat_body				Token Creature — Elemental Shaman		0	R	R			verify analyzer roles	https://scryfall.com/card/tcm2/8/elemental-shaman?utm_source=api	
tcm2	Commander Anthology Volume II Tokens	2018-06-08	9	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tcm2/9/goblin?utm_source=api	
tcm2	Commander Anthology Volume II Tokens	2018-06-08	10	Lightning Rager	5bb0c2ce-429c-4188-8d5a-7183dc104590			combat_body, combat_threat, sacrifice_support				Token Creature — Elemental		0	R	R	Haste, Trample		verify analyzer roles	https://scryfall.com/card/tcm2/10/lightning-rager?utm_source=api	Trample, haste At the beginning of the end step, sacrifice this creature.
tcm2	Commander Anthology Volume II Tokens	2018-06-08	11	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/tcm2/11/saproling?utm_source=api	
tcm2	Commander Anthology Volume II Tokens	2018-06-08	12	Myr	bf690282-125f-431c-a363-39f6772324c8			combat_body				Token Artifact Creature — Myr		0					verify analyzer roles	https://scryfall.com/card/tcm2/12/myr?utm_source=api	
tcm2	Commander Anthology Volume II Tokens	2018-06-08	13	Pentavite	c9e57f97-be25-4ab6-9158-d2677d7742f7			combat_body, combat_threat				Token Artifact Creature — Pentavite		0			Flying		verify analyzer roles	https://scryfall.com/card/tcm2/13/pentavite?utm_source=api	Flying
tcm2	Commander Anthology Volume II Tokens	2018-06-08	14	Triskelavite	80e72f55-b718-4442-93ee-f9175a739975			combat_body, combat_threat				Token Artifact Creature — Triskelavite		0			Flying		verify analyzer roles	https://scryfall.com/card/tcm2/14/triskelavite?utm_source=api	Flying
tcm2	Commander Anthology Volume II Tokens	2018-06-08	15	Tuktuk the Returned	9ccb2b2a-23a9-42c4-947f-47c7eafdb018			combat_body				Token Artifact Creature — Goblin Golem		0					verify analyzer roles	https://scryfall.com/card/tcm2/15/tuktuk-the-returned?utm_source=api	Tuktuk the Returned is legendary.
tcm2	Commander Anthology Volume II Tokens	2018-06-08	16	Wurm	5e3f41f7-9b42-437a-a9f9-f09250b083db			combat_body, combat_threat				Token Artifact Creature — Wurm		0			Deathtouch		verify analyzer roles	https://scryfall.com/card/tcm2/16/wurm?utm_source=api	Deathtouch
tcm2	Commander Anthology Volume II Tokens	2018-06-08	17	Wurm	1b9ccdd7-4935-45e2-bb16-b09870dd965d			combat_body, combat_threat, lifegain				Token Artifact Creature — Wurm		0			Lifelink		verify analyzer roles	https://scryfall.com/card/tcm2/17/wurm?utm_source=api	Lifelink
tcm2	Commander Anthology Volume II Tokens	2018-06-08	18	Daretti, Scrap Savant Emblem	a7fcd41f-1e83-4a50-b102-3331d6d834c0							Emblem — Daretti		0					manual review	https://scryfall.com/card/tcm2/18/daretti-scrap-savant-emblem?utm_source=api	Whenever an artifact is put into your graveyard from the battlefield, return that card to the battlefield at the beginning of the next end step.
tcm2	Commander Anthology Volume II Tokens	2018-06-08	19	Experience	36403fd7-dad1-4c98-b52b-1150d9d566e5							Card		0					manual review	https://scryfall.com/card/tcm2/19/experience?utm_source=api	(Place your experience counters here.)
