setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tcmr	Commander Legends Tokens	2020-11-20	1	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tcmr/1/angel?utm_source=api	Flying
tcmr	Commander Legends Tokens	2020-11-20	2	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tcmr/2/soldier?utm_source=api	
tcmr	Commander Legends Tokens	2020-11-20	3	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tcmr/3/spirit?utm_source=api	Flying
tcmr	Commander Legends Tokens	2020-11-20	4	Salamander Warrior	0e23b3a3-e210-439b-a4f1-3bc880b4b39e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Salamander Warrior		0	U	U			verify analyzer roles	https://scryfall.com/card/tcmr/4/salamander-warrior?utm_source=api	
tcmr	Commander Legends Tokens	2020-11-20	5	Thrull	3c8dd2e4-a808-4313-8463-f5cef7bb077e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Thrull		0	B	B			verify analyzer roles	https://scryfall.com/card/tcmr/5/thrull?utm_source=api	
tcmr	Commander Legends Tokens	2020-11-20	6	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tcmr/6/zombie?utm_source=api	
tcmr	Commander Legends Tokens	2020-11-20	7	Dragon	ec6df381-5ea7-4c68-8416-093b107f0784	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/tcmr/7/dragon?utm_source=api	Flying {R}: This creature gets +1/+0 until end of turn.
tcmr	Commander Legends Tokens	2020-11-20	8	Elf Warrior	dac8a765-6845-4b57-bb79-4ec463436f92	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elf Warrior		0	G	G			verify analyzer roles	https://scryfall.com/card/tcmr/8/elf-warrior?utm_source=api	
tcmr	Commander Legends Tokens	2020-11-20	9	Golem	9859c54d-695b-4bb1-940e-cfd1c3301e89	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Golem		0					verify analyzer roles	https://scryfall.com/card/tcmr/9/golem?utm_source=api	
tcmr	Commander Legends Tokens	2020-11-20	10	Horror	7f03946b-e602-4624-bf1e-ed240b883fca	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Horror		0					verify analyzer roles	https://scryfall.com/card/tcmr/10/horror?utm_source=api	
tcmr	Commander Legends Tokens	2020-11-20	11	Rock	300757bc-5dbf-4d1e-a225-fe3b6e0c9ef4	covered	artifact_support, removal, sacrifice_support, targeted_removal	artifact_support, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Equipment		0			Equip		verify analyzer roles	https://scryfall.com/card/tcmr/11/rock?utm_source=api	Equipped creature has "{1}, {T}, Sacrifice Rock: This creature deals 2 damage to any target." Equip {1}
