setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	1	The Monarch	7c934091-1bc7-4458-acef-fdac62ec3df1			card_draw, combat_support, direct_draw, draw				Card		0					verify analyzer roles	https://scryfall.com/card/tcn2/1/the-monarch?utm_source=api	At the beginning of your end step, draw a card. Whenever a creature deals combat damage to you, its controller becomes the monarch.
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	2	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tcn2/2/soldier?utm_source=api	
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	3	Soldier	0911902a-82f0-4887-994a-5158f5467a26			combat_body				Token Creature — Soldier		0	W	W	Defender		verify analyzer roles	https://scryfall.com/card/tcn2/3/soldier?utm_source=api	Defender
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	4	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tcn2/4/spirit?utm_source=api	Flying
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	5	Assassin	6fb42b86-70bf-4c3e-af02-f861434ca424			combat_body, combat_threat				Token Creature — Assassin		0	B	B	Haste, Deathtouch		verify analyzer roles	https://scryfall.com/card/tcn2/5/assassin?utm_source=api	Deathtouch, haste
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	6	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tcn2/6/zombie?utm_source=api	
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	7	Dragon	60fe4897-6760-4c5a-8074-c92bd64df52b	covered		combat_body, combat_threat	false		Covered by PR2 role audit.	Token Creature — Dragon		0	R	R	Flying		already reviewed	https://scryfall.com/card/tcn2/7/dragon?utm_source=api	Flying
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	8	Goblin	0de5cdb7-b534-4ba5-b10b-b70fd247b5d8			combat_body, combat_support				Token Creature — Goblin		0	R	R			verify analyzer roles	https://scryfall.com/card/tcn2/8/goblin?utm_source=api	This creature can't block.
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	9	Lizard	49db8af8-de3b-4503-acc6-04cac2f87a2e			combat_body				Token Creature — Lizard		0	R	R			verify analyzer roles	https://scryfall.com/card/tcn2/9/lizard?utm_source=api	
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	10	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920			combat_body				Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/tcn2/10/beast?utm_source=api	
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	11	Insect	c39cd31f-c4a2-4ca8-b4f9-b2e6289743bc	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Insect		0	G	G			already reviewed	https://scryfall.com/card/tcn2/11/insect?utm_source=api	
tcn2	Conspiracy: Take the Crown Tokens	2016-08-26	12	Construct	ebddf9b8-fd1a-4a6b-bec8-3a63485e36c0			combat_body				Token Artifact Creature — Construct		0			Defender		verify analyzer roles	https://scryfall.com/card/tcn2/12/construct?utm_source=api	Defender
