setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
td0	Magic Online Theme Decks	2010-11-08	A1	Auramancer	bd5eb181-6a69-4dc2-93a0-fa000291bc3d	covered		card_selection, combat_body, hand_recursion, recursion	false		Covered by ODY role audit.	Creature — Human Wizard	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/td0/A1/auramancer?utm_source=api	When this creature enters, you may return target enchantment card from your graveyard to your hand.
td0	Magic Online Theme Decks	2010-11-08	B1	Aura of Silence	e7faf8eb-e829-4109-8dfe-42865a23ba86	covered	removal, sacrifice_support, stax_piece, targeted_removal	removal, sacrifice_support, stax_piece, targeted_removal	false		Covered by Weatherlight role audit.	Enchantment	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/td0/B1/aura-of-silence?utm_source=api	Artifact and enchantment spells your opponents cast cost {2} more to cast. Sacrifice this enchantment: Destroy target artifact or enchantment.
td0	Magic Online Theme Decks	2010-11-08	A2	Condemn	377d31b5-0a48-4d5b-91bd-b5a62d4f7899	covered		removal, tempo_removal	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/td0/A2/condemn?utm_source=api	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
td0	Magic Online Theme Decks	2010-11-08	B2	Benevolent Bodyguard	c8c38570-0b42-4bfc-896f-f57f9a11ba9d	covered		combat_body, protection, sacrifice_support, self_protection, targeted_protection	false		Covered by JUD role audit.	Creature — Human Cleric	{W}	1	W	W			already reviewed	https://scryfall.com/card/td0/B2/benevolent-bodyguard?utm_source=api	Sacrifice this creature: Target creature you control gains protection from the color of your choice until end of turn.
td0	Magic Online Theme Decks	2010-11-08	A3	Decree of Justice	67a98359-6f02-4556-ad47-c01b643686d6	covered		card_draw, combat_support, direct_draw, draw, mana_sink, scalable_spell, selection, token_support	false		Covered by PRM role audit.	Sorcery	{X}{X}{2}{W}{W}	4	W	W	Cycling		already reviewed	https://scryfall.com/card/td0/A3/decree-of-justice?utm_source=api	Create X 4/4 white Angel creature tokens with flying. Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.) When you cycle this card, you may pay {X}. If you do, create X 1/1 white Soldier creature tokens.
td0	Magic Online Theme Decks	2010-11-08	B3	Ethersworn Canonist	ec3471ad-b65c-4e35-a7d1-68da9555a9ec			combat_body, hate_piece, stax_piece				Artifact Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/td0/B3/ethersworn-canonist?utm_source=api	Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.
td0	Magic Online Theme Decks	2010-11-08	A4	Dismantling Blow	300cba5a-adbb-4852-be06-ac00d9d6fd37	covered		card_draw, direct_draw, draw, removal, targeted_removal	false		Covered by INV role audit.	Instant	{2}{W}	3	W	UW	Kicker		already reviewed	https://scryfall.com/card/td0/A4/dismantling-blow?utm_source=api	Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.) Destroy target artifact or enchantment. If this spell was kicked, draw two cards.
td0	Magic Online Theme Decks	2010-11-08	B4	Flickerwisp	b23a3d30-6b8e-4aad-890f-db0c3af43ace	covered		combat_body, combat_threat, targeted_removal	false		Covered by PRM role audit.	Creature — Elemental	{1}{W}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/td0/B4/flickerwisp?utm_source=api	Flying When this creature enters, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.
td0	Magic Online Theme Decks	2010-11-08	A5	Empyrial Armor	ec9e8611-e785-4d5d-b6e1-bf63daf408df	covered	combat_support	combat_support	false		Covered by Weatherlight role audit.	Enchantment — Aura	{1}{W}{W}	3	W	W	Enchant		already reviewed	https://scryfall.com/card/td0/A5/empyrial-armor?utm_source=api	Enchant creature Enchanted creature gets +1/+1 for each card in your hand.
td0	Magic Online Theme Decks	2010-11-08	B5	Jötun Grunt	43fbfeec-bcaf-48b8-befe-b7346fec5a3a			combat_body, counter_support				Creature — Giant Soldier	{1}{W}	2	W	W	Cumulative upkeep		verify analyzer roles	https://scryfall.com/card/td0/B5/j%C3%B6tun-grunt?utm_source=api	Cumulative upkeep—Put two cards from a single graveyard on the bottom of their owner's library. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
