setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tdmc	Dominaria United Commander Tokens	2022-09-09	1	Griffin	3d395892-ef4e-41ea-a66b-99dc3affe51a			combat_body, combat_threat				Token Creature — Griffin		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tdmc/1/griffin?utm_source=api	Flying
tdmc	Dominaria United Commander Tokens	2022-09-09	2	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a			combat_body				Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/tdmc/2/human?utm_source=api	
tdmc	Dominaria United Commander Tokens	2022-09-09	3	Knight	340aaeb6-cd18-4908-9729-8c53ab02c6f8			combat_body, combat_threat				Token Creature — Knight		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tdmc/3/knight?utm_source=api	Vigilance
tdmc	Dominaria United Commander Tokens	2022-09-09	4	Warrior	4bd91cb2-be86-4950-8b84-7b330a8a61b9			combat_body, combat_threat				Token Creature — Warrior		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tdmc/4/warrior?utm_source=api	Vigilance
tdmc	Dominaria United Commander Tokens	2022-09-09	5	Zombie Knight	68a1cfb5-89d8-478c-b6e8-0706677f3217			combat_body, combat_support, combat_threat				Token Creature — Zombie Knight		0	B	B	Menace		verify analyzer roles	https://scryfall.com/card/tdmc/5/zombie-knight?utm_source=api	Menace (This creature can't be blocked except by two or more creatures.)
tdmc	Dominaria United Commander Tokens	2022-09-09	6	Ragavan	e2a98673-a9c2-4579-b962-080405bbb661			combat_body				Token Legendary Creature — Monkey		0	R	R			verify analyzer roles	https://scryfall.com/card/tdmc/6/ragavan?utm_source=api	
tdmc	Dominaria United Commander Tokens	2022-09-09	7	Bear	a62a374d-ccdd-418d-9bcd-5ca8bf9b05e8	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Bear		0	G	G			already reviewed	https://scryfall.com/card/tdmc/7/bear?utm_source=api	
tdmc	Dominaria United Commander Tokens	2022-09-09	8	Egg	3d4ebac1-6151-4c6f-93ae-7110e54af786			combat_body				Token Creature — Egg		0	G	G	Defender		verify analyzer roles	https://scryfall.com/card/tdmc/8/egg?utm_source=api	Defender
tdmc	Dominaria United Commander Tokens	2022-09-09	9	Elephant	079c46cc-feb0-4998-8593-c8b739afdb82	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Elephant		0	G	G			already reviewed	https://scryfall.com/card/tdmc/9/elephant?utm_source=api	
tdmc	Dominaria United Commander Tokens	2022-09-09	10	Hydra	1c6bd4f3-5505-4f6c-97b3-3b726a355f01			combat_body				Token Creature — Hydra		0	G	G			verify analyzer roles	https://scryfall.com/card/tdmc/10/hydra?utm_source=api	
tdmc	Dominaria United Commander Tokens	2022-09-09	11	Snake	9ecd83ce-f866-4cbe-9712-c44aabe979c6			combat_body				Token Creature — Snake		0	G	G			verify analyzer roles	https://scryfall.com/card/tdmc/11/snake?utm_source=api	
tdmc	Dominaria United Commander Tokens	2022-09-09	12	Kavu	9fef9902-0fbb-4015-922e-ad1ddc771da1			combat_body, combat_threat				Token Creature — Kavu		0	BGRUW	BGRUW	Trample		verify analyzer roles	https://scryfall.com/card/tdmc/12/kavu?utm_source=api	This creature is all colors. Trample
