setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tdmu	Dominaria United Tokens	2022-09-09	1	Angel	29ff8699-53d8-413b-8a3c-0e3ea1e13ff0			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/tdmu/1/angel?utm_source=api	Flying, vigilance
tdmu	Dominaria United Tokens	2022-09-09	2	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297			combat_body, combat_threat				Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tdmu/2/bird?utm_source=api	Flying
tdmu	Dominaria United Tokens	2022-09-09	3	Knight	c20063be-7f7a-4c5d-9a21-431906e62e68			combat_body, self_protection				Token Creature — Knight		0	W	W	Protection		verify analyzer roles	https://scryfall.com/card/tdmu/3/knight?utm_source=api	Protection from red
tdmu	Dominaria United Tokens	2022-09-09	4	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tdmu/4/soldier?utm_source=api	
tdmu	Dominaria United Tokens	2022-09-09	5	Merfolk	4998e2fe-1537-40bb-a4d7-f668a5b8975f			combat_body				Token Creature — Merfolk		0	U	U			verify analyzer roles	https://scryfall.com/card/tdmu/5/merfolk?utm_source=api	
tdmu	Dominaria United Tokens	2022-09-09	6	Bird	77d80292-3745-4622-ab8f-9a7a49f18cbe			combat_body, combat_support, combat_threat				Token Creature — Bird		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tdmu/6/bird?utm_source=api	Flying This creature can't block.
tdmu	Dominaria United Tokens	2022-09-09	7	Insect	b9f1e3ec-dffa-442b-a38a-1e76e59ee146			combat_body, combat_threat				Token Creature — Insect		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tdmu/7/insect?utm_source=api	Flying
tdmu	Dominaria United Tokens	2022-09-09	8	Phyrexian	b4cc16ae-8fec-40c1-9440-2339eb229eef			combat_body				Token Creature — Phyrexian		0	B	B			verify analyzer roles	https://scryfall.com/card/tdmu/8/phyrexian?utm_source=api	
tdmu	Dominaria United Tokens	2022-09-09	9	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tdmu/9/zombie?utm_source=api	
tdmu	Dominaria United Tokens	2022-09-09	10	Dragon	c8790543-9399-4312-9b15-aa8a45c8fec7			combat_body, combat_threat				Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/tdmu/10/dragon?utm_source=api	Flying
