setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	1	Copy	88c78601-87f0-45e7-b2e0-e7ffcfb1cb70	covered	copy_support	copy_support	false		Analyzer roles accepted during batch clean pass.	Token		0					verify analyzer roles	https://scryfall.com/card/tdsk/1/copy?utm_source=api	(This token can be used to represent a token that's a copy of a permanent.)
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	2	Shard	08734dc6-71d9-46c1-a116-187a92ce3867	covered	card_draw, card_selection, direct_draw, draw, repeatable_advantage, sacrifice_support, selection	card_draw, card_selection, direct_draw, draw, repeatable_advantage, sacrifice_support, selection	false		Analyzer roles accepted during batch clean pass.	Token Enchantment — Shard		0			Scry		verify analyzer roles	https://scryfall.com/card/tdsk/2/shard?utm_source=api	{2}, Sacrifice this enchantment: Scry 1, then draw a card.
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	3	Beast	d2f35b1a-1eba-4007-8f27-737d26b7a6a2	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Beast		0	W	W			verify analyzer roles	https://scryfall.com/card/tdsk/3/beast?utm_source=api	This creature can't attack or block alone.
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	4	Glimmer	c18a5b24-7458-43c9-9a1f-186eb282c82e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Enchantment Creature — Glimmer		0	W	W			verify analyzer roles	https://scryfall.com/card/tdsk/4/glimmer?utm_source=api	
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	5	Insect	9e8fc105-68f6-4fd6-b760-a77a61793d06	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Insect		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tdsk/5/insect?utm_source=api	Flying
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	6	Spirit	19b91a3f-d886-4df0-9069-27cc3e1e9bf5	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tdsk/6/spirit?utm_source=api	Flying
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	7	Toy	0c597b2e-4e2b-4240-843f-9ed8fc2bda9d	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Toy		0	W	W			verify analyzer roles	https://scryfall.com/card/tdsk/7/toy?utm_source=api	
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	8	Spirit	5d1db6b0-0a95-4de8-9d47-ce2e6fc3d6cc	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tdsk/8/spirit?utm_source=api	Flying
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	9	Demon	20f3d81f-e0cc-472c-bbd2-4a2f380a5dee	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Demon		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tdsk/9/demon?utm_source=api	Flying
tdsk	Duskmourn: House of Horror Tokens	2024-09-27	10	Horror	a9085214-f501-4c11-98ba-4846c519558a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Enchantment Creature — Horror		0	B	B			verify analyzer roles	https://scryfall.com/card/tdsk/10/horror?utm_source=api	
