setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tecl	Lorwyn Eclipsed Tokens	2026-01-23	1	Shapeshifter	fe8478ec-2af9-472b-b104-a71521a3559f	covered	combat_body, kindred_support	combat_body, kindred_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Shapeshifter		0			Changeling		verify analyzer roles	https://scryfall.com/card/tecl/1/shapeshifter?utm_source=api	Changeling
tecl	Lorwyn Eclipsed Tokens	2026-01-23	2	Elk	7bdd50bf-55fb-4fe7-9510-b0d8adf2bae9	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elk		0	G	G			verify analyzer roles	https://scryfall.com/card/tecl/2/elk?utm_source=api	
tecl	Lorwyn Eclipsed Tokens	2026-01-23	3	Treefolk	5d403f89-6862-4ed9-ba39-890c90ff487c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Treefolk		0	G		Reach		verify analyzer roles	https://scryfall.com/card/tecl/3/treefolk?utm_source=api	Reach
tecl	Lorwyn Eclipsed Tokens	2026-01-23	4	Elf	c52d1bba-36d5-4ecc-bea2-847285e0cb71	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elf		0	BG				verify analyzer roles	https://scryfall.com/card/tecl/4/elf?utm_source=api	
tecl	Lorwyn Eclipsed Tokens	2026-01-23	5	Faerie	521939c6-cf5a-4b92-874f-11f2889061d7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Faerie		0	BU		Flying		verify analyzer roles	https://scryfall.com/card/tecl/5/faerie?utm_source=api	Flying
tecl	Lorwyn Eclipsed Tokens	2026-01-23	6	Goblin	3914728b-8a25-4af0-b569-5f177f77290e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goblin		0	BR				verify analyzer roles	https://scryfall.com/card/tecl/6/goblin?utm_source=api	
tecl	Lorwyn Eclipsed Tokens	2026-01-23	7	Kithkin	199a2ccc-f3e3-405e-a0eb-a97b964918d2	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Kithkin		0	GW				verify analyzer roles	https://scryfall.com/card/tecl/7/kithkin?utm_source=api	
tecl	Lorwyn Eclipsed Tokens	2026-01-23	8	Merfolk	23f86e93-0203-4222-b78a-8f1c9fa16394	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Merfolk		0	UW				verify analyzer roles	https://scryfall.com/card/tecl/8/merfolk?utm_source=api	
tecl	Lorwyn Eclipsed Tokens	2026-01-23	9	Worm	318d6000-b6e0-4ef0-ad58-d470f4a271e6	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Worm		0	BG	BG			verify analyzer roles	https://scryfall.com/card/tecl/9/worm?utm_source=api	
tecl	Lorwyn Eclipsed Tokens	2026-01-23	10	Treasure	3c549374-6c37-42e0-8d88-a8555d46732d	covered	burst_ramp, mana_fixing, sacrifice_support	burst_ramp, mana_fixing, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Treasure		0					verify analyzer roles	https://scryfall.com/card/tecl/10/treasure?utm_source=api	{T}, Sacrifice this token: Add one mana of any color.
tecl	Lorwyn Eclipsed Tokens	2026-01-23	11	Mutavault	b68394ee-e6d7-4db9-8b1e-d8f1fa71ea47	covered	burst_ramp, land_base, land_slot, mana_source, ramp	burst_ramp, land_base, land_slot, mana_source, ramp	false		Analyzer roles accepted during batch clean pass.	Token Land		0					verify analyzer roles	https://scryfall.com/card/tecl/11/mutavault?utm_source=api	{T}: Add {C}. {1}: This token becomes a 2/2 creature with all creature types until end of turn. It's still a land.
tecl	Lorwyn Eclipsed Tokens	2026-01-23	12	Oko, Shadowmoor Scion Emblem	a0864e2f-7cb7-4a57-a0de-90c7acaf4822	covered	combat_support, self_protection	combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Emblem		0					verify analyzer roles	https://scryfall.com/card/tecl/12/oko-shadowmoor-scion-emblem?utm_source=api	Creatures you control of the chosen type get +3/+3 and have vigilance and hexproof.
tecl	Lorwyn Eclipsed Tokens	2026-01-23	13	Punchcard // Punchcard	96247b92-0c7a-4410-85a4-598916541b1d	unsupported			false		Excluded from deck role audit: token card, not a deck slot.	Card // Card		0					manual review	https://scryfall.com/card/tecl/13/punchcard-punchcard?utm_source=api	Punchcard:  // Punchcard:
