setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
teld	Throne of Eldraine Tokens	2019-10-04	1	Goat	f62b776a-d4de-455a-ae5a-ca07982974db	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goat		0	W	W			verify analyzer roles	https://scryfall.com/card/teld/1/goat?utm_source=api	
teld	Throne of Eldraine Tokens	2019-10-04	2	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/teld/2/human?utm_source=api	
teld	Throne of Eldraine Tokens	2019-10-04	3	Knight	340aaeb6-cd18-4908-9729-8c53ab02c6f8	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Knight		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/teld/3/knight?utm_source=api	Vigilance
teld	Throne of Eldraine Tokens	2019-10-04	4	Mouse	94bc231d-49a3-44e0-b797-81a6e6961bbd	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Mouse		0	W	W			verify analyzer roles	https://scryfall.com/card/teld/4/mouse?utm_source=api	
teld	Throne of Eldraine Tokens	2019-10-04	5	Faerie	03fc0cae-a6d3-4fae-995d-038eb32c48ac	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Faerie		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/teld/5/faerie?utm_source=api	Flying
teld	Throne of Eldraine Tokens	2019-10-04	6	Rat	7c753b68-b519-43ba-9c58-4902f4850626	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Rat		0	B	B			verify analyzer roles	https://scryfall.com/card/teld/6/rat?utm_source=api	
teld	Throne of Eldraine Tokens	2019-10-04	7	Dwarf	1c65717f-09ac-46f3-b480-19c2cafe9fe9	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dwarf		0	R	R			verify analyzer roles	https://scryfall.com/card/teld/7/dwarf?utm_source=api	
teld	Throne of Eldraine Tokens	2019-10-04	8	Bear	a62a374d-ccdd-418d-9bcd-5ca8bf9b05e8	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Bear		0	G	G			already reviewed	https://scryfall.com/card/teld/8/bear?utm_source=api	
teld	Throne of Eldraine Tokens	2019-10-04	9	Boar	a6f7f5c7-8832-40f8-803e-f181571422f8	covered	combat_body, sacrifice_support, token_support	combat_body, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Boar		0	G	G	Food		verify analyzer roles	https://scryfall.com/card/teld/9/boar?utm_source=api	When this creature dies, create a Food token.
teld	Throne of Eldraine Tokens	2019-10-04	10	Giant	33ec3894-6ec2-4038-bed4-85e5b9cfe182	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Giant		0	G	G			verify analyzer roles	https://scryfall.com/card/teld/10/giant?utm_source=api	
teld	Throne of Eldraine Tokens	2019-10-04	11	Human Cleric	e9cdb69a-68e7-43f0-bf50-3a765a4c783b	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human Cleric		0	RW	RW	Lifelink, Haste		verify analyzer roles	https://scryfall.com/card/teld/11/human-cleric?utm_source=api	Lifelink, haste
teld	Throne of Eldraine Tokens	2019-10-04	12	Human Rogue	ec8af1ca-a66b-46b6-86f3-1977be4475b1	covered	combat_body, combat_threat, removal, targeted_removal	combat_body, combat_threat, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human Rogue		0	RW	RW	Haste		verify analyzer roles	https://scryfall.com/card/teld/12/human-rogue?utm_source=api	Haste When this creature enters the battlefield, it deals 1 damage to any target.
