setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tgk1	GRN Guild Kit Tokens	2018-11-02	1	Copy // Horror	307fef57-1d3f-4904-8fc2-089b4149779e	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token // Token Creature — Horror		0		BU	Flying		verify analyzer roles	https://scryfall.com/card/tgk1/1/copy-horror?utm_source=api	Copy:  // Horror: Flying
tgk1	GRN Guild Kit Tokens	2018-11-02	2	Soldier // Soldier	0688fa0d-1991-4c8d-843d-4c5cae048f05	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Soldier // Token Creature — Soldier		0		RW	Lifelink		verify analyzer roles	https://scryfall.com/card/tgk1/2/soldier-soldier?utm_source=api	Soldier: Lifelink // Soldier:
tgk1	GRN Guild Kit Tokens	2018-11-02	3	Weird // Goblin	9c56763e-4603-4290-9e9f-25f5eea8f4a5	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Weird // Token Creature — Goblin		0		RU	Flying, Defender		verify analyzer roles	https://scryfall.com/card/tgk1/3/weird-goblin?utm_source=api	Weird: Defender, flying // Goblin:
tgk1	GRN Guild Kit Tokens	2018-11-02	4	Goblin // Soldier	0823fbf2-7b39-4869-b3f0-091b7d7d0a5d	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goblin // Token Creature — Soldier		0		RW	Lifelink		verify analyzer roles	https://scryfall.com/card/tgk1/4/goblin-soldier?utm_source=api	Goblin:  // Soldier: Lifelink
tgk1	GRN Guild Kit Tokens	2018-11-02	5	Saproling // Insect	56c41ded-9e15-471d-ade2-1420a0607403	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Saproling // Token Creature — Insect		0		BG			verify analyzer roles	https://scryfall.com/card/tgk1/5/saproling-insect?utm_source=api	Saproling:  // Insect:
tgk1	GRN Guild Kit Tokens	2018-11-02	6	Soldier // Goblin	b973cb86-3a1b-42de-83ae-74dffa5bcb8a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Soldier // Token Creature — Goblin		0		RW			verify analyzer roles	https://scryfall.com/card/tgk1/6/soldier-goblin?utm_source=api	Soldier:  // Goblin:
tgk1	GRN Guild Kit Tokens	2018-11-02	8	Saproling // Elf Knight	ca06046f-1267-47c9-9d9f-9d9f19ff2aac	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Saproling // Token Creature — Elf Knight		0		GW	Vigilance		verify analyzer roles	https://scryfall.com/card/tgk1/8/saproling-elf-knight?utm_source=api	Saproling:  // Elf Knight: Vigilance
tgk1	GRN Guild Kit Tokens	2018-11-02	9	Wurm // Saproling	2c0800af-ecb3-4b50-833b-2632b9bdffd8	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wurm // Token Creature — Saproling		0		G	Trample		verify analyzer roles	https://scryfall.com/card/tgk1/9/wurm-saproling?utm_source=api	Wurm: Trample // Saproling:
tgk1	GRN Guild Kit Tokens	2018-11-02	10	Elemental // Centaur	7c7539c0-95f6-4715-aee9-c443cdd45f7f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental // Token Creature — Centaur		0		GW	Vigilance		verify analyzer roles	https://scryfall.com/card/tgk1/10/elemental-centaur?utm_source=api	Elemental: Vigilance // Centaur:
tgk1	GRN Guild Kit Tokens	2018-11-02	11	Voja // Saproling	160abce3-949c-4e17-9db7-06ac4327eec6	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Wolf // Token Creature — Saproling		0		GW			verify analyzer roles	https://scryfall.com/card/tgk1/11/voja-saproling?utm_source=api	Voja:  // Saproling:
