setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
thou	Hour of Devastation Tokens	2017-07-14	1	Adorned Pouncer	28f3c157-e004-4fd3-9302-f18ab0bf18ed			combat_body, combat_threat				Token Creature — Zombie Cat		0	B	B	Double strike		verify analyzer roles	https://scryfall.com/card/thou/1/adorned-pouncer?utm_source=api	Double strike
thou	Hour of Devastation Tokens	2017-07-14	2	Champion of Wits	0ea13867-97bd-4b0b-87dd-02003244f027			card_draw, combat_body, direct_draw, draw				Token Creature — Zombie Naga Wizard		0	B	B			verify analyzer roles	https://scryfall.com/card/thou/2/champion-of-wits?utm_source=api	When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards.
thou	Hour of Devastation Tokens	2017-07-14	3	Dreamstealer	fb13e45e-138f-4507-b6bd-e1c9027d2a7c			combat_body, combat_support, combat_threat				Token Creature — Zombie Human Wizard		0	B	B	Menace		verify analyzer roles	https://scryfall.com/card/thou/3/dreamstealer?utm_source=api	Menace Whenever Dreamstealer deals combat damage to a player, that player discards that many cards.
thou	Hour of Devastation Tokens	2017-07-14	4	Earthshaker Khenra	7c60d7b2-fdc9-4e4f-92e7-9790905cfcb4			combat_body, combat_threat				Token Creature — Zombie Jackal Warrior		0	B	B	Haste		verify analyzer roles	https://scryfall.com/card/thou/4/earthshaker-khenra?utm_source=api	Haste When Earthshaker Khenra enters the battlefield, target creature with power less than or equal to Earthshaker Khenra's power can't block this turn.
thou	Hour of Devastation Tokens	2017-07-14	5	Proven Combatant	1dea6957-aa6b-42b4-be21-8dc5e01d68e2			combat_body				Token Creature — Zombie Human Warrior		0	B	B			verify analyzer roles	https://scryfall.com/card/thou/5/proven-combatant?utm_source=api	
thou	Hour of Devastation Tokens	2017-07-14	6	Resilient Khenra	5bbd780b-cc80-4000-a357-7c341a9d45f1			combat_body, combat_support, scalable_spell				Token Creature — Zombie Jackal Wizard		0	B	B			verify analyzer roles	https://scryfall.com/card/thou/6/resilient-khenra?utm_source=api	When Resilient Khenra enters the battlefield, you may have target creature get +X/+X until end of turn, where X is Resilient Khenra's power.
thou	Hour of Devastation Tokens	2017-07-14	7	Sinuous Striker	e1aad66e-6db6-4032-9c93-0f1db1f14cf2			combat_body				Token Creature — Zombie Naga Warrior		0	B	BU			verify analyzer roles	https://scryfall.com/card/thou/7/sinuous-striker?utm_source=api	{U}: Sinuous Striker gets +1/-1 until end of turn.
thou	Hour of Devastation Tokens	2017-07-14	8	Steadfast Sentinel	bf666b41-603d-4b0f-850d-81d7a4de06e4			combat_body, combat_threat				Token Creature — Zombie Human Cleric		0	B	B	Vigilance		verify analyzer roles	https://scryfall.com/card/thou/8/steadfast-sentinel?utm_source=api	Vigilance
thou	Hour of Devastation Tokens	2017-07-14	9	Sunscourge Champion	caf97aba-584f-436d-9f3e-7aecefc96b89			combat_body, lifegain				Token Creature — Zombie Human Wizard		0	B	B			verify analyzer roles	https://scryfall.com/card/thou/9/sunscourge-champion?utm_source=api	When Sunscourge Champion enters the battlefield, you gain life equal to its power.
thou	Hour of Devastation Tokens	2017-07-14	10	Horse	e8ca1b87-27c4-41a7-ba45-ee1873712019			combat_body				Token Creature — Horse		0	W	W			verify analyzer roles	https://scryfall.com/card/thou/10/horse?utm_source=api	
thou	Hour of Devastation Tokens	2017-07-14	11	Snake	db9b6c56-b4bd-4d6c-abfe-4771e53ce072			combat_body				Token Creature — Snake		0	G	G			verify analyzer roles	https://scryfall.com/card/thou/11/snake?utm_source=api	
thou	Hour of Devastation Tokens	2017-07-14	12	Insect	6f80811b-fdc7-4fb9-ac61-d8b51c28fe7f			combat_body, combat_threat				Token Creature — Insect		0	RU	RU	Flying, Haste		verify analyzer roles	https://scryfall.com/card/thou/12/insect?utm_source=api	Flying, haste
thou	Hour of Devastation Tokens	2017-07-14	13	Punchcard // Punchcard	96247b92-0c7a-4410-85a4-598916541b1d							Card // Card		0					manual review	https://scryfall.com/card/thou/13/punchcard-punchcard?utm_source=api	Punchcard:  // Punchcard:
