setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tktk	Khans of Tarkir Tokens	2014-09-26	1	Bird	c1cb2b2b-b595-4049-bee6-af6aee059743			combat_body, combat_threat				Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tktk/1/bird?utm_source=api	Flying
tktk	Khans of Tarkir Tokens	2014-09-26	2	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tktk/2/spirit?utm_source=api	Flying
tktk	Khans of Tarkir Tokens	2014-09-26	3	Warrior	6a880a0f-0a98-4505-9c27-9821be3e4818			combat_body				Token Creature — Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/tktk/3/warrior?utm_source=api	
tktk	Khans of Tarkir Tokens	2014-09-26	5	Vampire	13a3ac6f-6558-4fb2-99f4-cf7a83c298ad			combat_body, combat_threat				Token Creature — Vampire		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tktk/5/vampire?utm_source=api	Flying
tktk	Khans of Tarkir Tokens	2014-09-26	6	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tktk/6/zombie?utm_source=api	
tktk	Khans of Tarkir Tokens	2014-09-26	7	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tktk/7/goblin?utm_source=api	
tktk	Khans of Tarkir Tokens	2014-09-26	8	Bear	af4bd34a-0a0b-4c53-8f13-579c45ab471a			combat_body				Token Creature — Bear		0	G	G			verify analyzer roles	https://scryfall.com/card/tktk/8/bear?utm_source=api	
tktk	Khans of Tarkir Tokens	2014-09-26	9	Snake	9ecd83ce-f866-4cbe-9712-c44aabe979c6			combat_body				Token Creature — Snake		0	G	G			verify analyzer roles	https://scryfall.com/card/tktk/9/snake?utm_source=api	
tktk	Khans of Tarkir Tokens	2014-09-26	10	Spirit Warrior	9f27e9e7-8063-4c71-ac4a-ba0f24daa384			combat_body				Token Creature — Spirit Warrior		0	BG	BG			verify analyzer roles	https://scryfall.com/card/tktk/10/spirit-warrior?utm_source=api	
tktk	Khans of Tarkir Tokens	2014-09-26	11	Morph	8f92f8d7-ec89-426f-86dc-fbc259eb5559			combat_body, face_down_support				Creature		0					verify analyzer roles	https://scryfall.com/card/tktk/11/morph?utm_source=api	(You can cover a face-down creature with this reminder card. A card with morph can be turned face up any time for its morph cost.)
tktk	Khans of Tarkir Tokens	2014-09-26	12	Sarkhan, the Dragonspeaker Emblem	bcc1ae6f-c00c-4385-8d1f-97fa03c0309c			card_draw, direct_draw, draw				Emblem — Sarkhan		0					verify analyzer roles	https://scryfall.com/card/tktk/12/sarkhan-the-dragonspeaker-emblem?utm_source=api	At the beginning of your draw step, draw two additional cards. At the beginning of your end step, discard your hand.
tktk	Khans of Tarkir Tokens	2014-09-26	13	Sorin, Solemn Visitor Emblem	fd01f885-26b0-4497-960e-5a571881ee28			removal, targeted_removal				Emblem — Sorin		0					verify analyzer roles	https://scryfall.com/card/tktk/13/sorin-solemn-visitor-emblem?utm_source=api	At the beginning of each opponent's upkeep, that player sacrifices a creature.
