setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tla	Avatar: The Last Airbender	2025-11-21	1	Aang's Journey	ddf461b9-a205-4dc7-a9c3-c047b1ff709f			land_acceleration, land_tutor, lifegain, mana_fixing, tutor				Sorcery — Lesson	{2}	2			Kicker		verify analyzer roles	https://scryfall.com/card/tla/1/aangs-journey?utm_source=api	Kicker {2} (You may pay an additional {2} as you cast this spell.) Search your library for a basic land card. If this spell was kicked, instead search your library for a basic land card and a Shrine card. Reveal those cards, put them into your hand, then shuffle. You gain 2 life.
tla	Avatar: The Last Airbender	2025-11-21	2	Energybending	c4c1e49d-5f14-486c-acf2-1952512b12b2			card_draw, direct_draw, draw				Instant — Lesson	{2}	2					verify analyzer roles	https://scryfall.com/card/tla/2/energybending?utm_source=api	Lands you control gain all basic land types until end of turn. Draw a card.
tla	Avatar: The Last Airbender	2025-11-21	3	Zuko's Exile	5cf18398-9552-415e-a61f-2c149e35ec3d			card_draw, direct_draw, draw, removal, sacrifice_support, targeted_removal				Instant — Lesson	{5}	5					verify analyzer roles	https://scryfall.com/card/tla/3/zukos-exile?utm_source=api	Exile target artifact, creature, or enchantment. Its controller creates a Clue token. (It's an artifact with "{2}, Sacrifice this token: Draw a card.")
tla	Avatar: The Last Airbender	2025-11-21	4	Aang, the Last Airbender	70564c3a-858f-498e-8b92-acb3ca54ae7e			combat_body, combat_threat, lifegain				Legendary Creature — Human Avatar Ally	{3}{W}	4	W	W	Flying, Airbend		verify analyzer roles	https://scryfall.com/card/tla/4/aang-the-last-airbender?utm_source=api	Flying When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.) Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.
tla	Avatar: The Last Airbender	2025-11-21	5	Aang's Iceberg	646f9ad8-9d18-4b42-954a-e21a62e9f0e8			card_selection, cost_reduction, removal, sacrifice_support, selection, targeted_removal				Enchantment	{2}{W}	3	W	W	Flash, Waterbend, Scry		verify analyzer roles	https://scryfall.com/card/tla/5/aangs-iceberg?utm_source=api	Flash When this enchantment enters, exile up to one other target nonland permanent until this enchantment leaves the battlefield. Waterbend {3}: Sacrifice this enchantment. If you do, scry 2. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
tla	Avatar: The Last Airbender	2025-11-21	6	Airbender Ascension	c4d2fdf9-637d-4e97-ae33-45f2d27bf8cd			counter_support, flicker, protection, rescue_protection				Enchantment	{1}{W}	2	W	W	Airbend		verify analyzer roles	https://scryfall.com/card/tla/6/airbender-ascension?utm_source=api	When this enchantment enters, airbend up to one target creature. Whenever a creature you control enters, put a quest counter on this enchantment. At the beginning of your end step, if this enchantment has four or more quest counters on it, exile up to one target creature you control, then return it to the battlefield under its owner's control.
tla	Avatar: The Last Airbender	2025-11-21	7	Airbender's Reversal	64e3791b-de99-4eed-af49-cbec218c28aa			targeted_removal				Instant — Lesson	{1}{W}	2	W	W	Airbend		verify analyzer roles	https://scryfall.com/card/tla/7/airbenders-reversal?utm_source=api	Choose one — • Destroy target attacking creature. • Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
tla	Avatar: The Last Airbender	2025-11-21	8	Airbending Lesson	e101b744-9175-4aa5-bf80-d6944359e538			card_draw, direct_draw, draw				Instant — Lesson	{2}{W}	3	W	W	Airbend		verify analyzer roles	https://scryfall.com/card/tla/8/airbending-lesson?utm_source=api	Airbend target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.) Draw a card.
tla	Avatar: The Last Airbender	2025-11-21	9	Appa, Loyal Sky Bison	c6e28cf0-81c7-4f52-a29b-988cc6fd31ee			combat_body, combat_support, combat_threat				Legendary Creature — Bison Ally	{4}{W}{W}	6	W	W	Flying, Airbend		verify analyzer roles	https://scryfall.com/card/tla/9/appa-loyal-sky-bison?utm_source=api	Flying Whenever Appa enters or attacks, choose one — • Target creature you control gains flying until end of turn. • Airbend another target nonland permanent you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
tla	Avatar: The Last Airbender	2025-11-21	10	Appa, Steadfast Guardian	03c141ca-11e4-4927-a6bd-980ee1203c73			combat_body, combat_threat, token_support				Legendary Creature — Bison Ally	{2}{W}{W}	4	W	W	Flying, Airbend, Flash		verify analyzer roles	https://scryfall.com/card/tla/10/appa-steadfast-guardian?utm_source=api	Flash Flying When Appa enters, airbend any number of other target nonland permanents you control. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.) Whenever you cast a spell from exile, create a 1/1 white Ally creature token.
