setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tle	Avatar: The Last Airbender Eternal	2025-11-21	1	Brought Back	f6ed46e2-08f9-4e89-aae3-e5dd7f30f007	covered	recursion, battlefield_recursion	recursion, battlefield_recursion	false		Covered by batch analyzer expansion for remaining role audit cases.	Instant	{W}{W}	2	W	W			manual review	https://scryfall.com/card/tle/1/brought-back?utm_source=api	Choose up to two target permanent cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield tapped.
tle	Avatar: The Last Airbender Eternal	2025-11-21	2	Drannith Magistrate	aadd10d0-6dd0-4bdc-8d93-ff08e29a5863	covered		combat_body, hate_piece, soft_stack, stack, stax_piece	false		Covered by PRM role audit.	Creature — Human Wizard	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/tle/2/drannith-magistrate?utm_source=api	Your opponents can't cast spells from anywhere other than their hands.
tle	Avatar: The Last Airbender Eternal	2025-11-21	3	Empty City Ruse	b0391ea4-e37d-48c9-91df-79aefe376bcc	covered		broad_protection, protection	false		Covered by PTK role audit.	Sorcery	{W}	1	W	W			already reviewed	https://scryfall.com/card/tle/3/empty-city-ruse?utm_source=api	Target opponent skips all combat phases of their next turn.
tle	Avatar: The Last Airbender Eternal	2025-11-21	4	Lita, Mechanical Engineer	715cb547-726f-4bc8-ad46-297d4dccb881	covered	combat_body, combat_threat, token_support	combat_body, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact Creature — Artificer	{2}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tle/4/lita-mechanical-engineer?utm_source=api	Vigilance At the beginning of your end step, untap each other artifact creature you control. {3}{W}, {T}: Create a 5/5 colorless Vehicle artifact token named Zeppelin with flying and crew 3. (It has "Tap any number of creatures you control with total power 3 or more: This token becomes an artifact creature until end of turn.")
tle	Avatar: The Last Airbender Eternal	2025-11-21	5	Release to Memory	3ae456e4-cb35-47be-b654-051e288622fe	covered		token_support	false		Covered by PRM role audit.	Instant	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/tle/5/release-to-memory?utm_source=api	Exile target opponent's graveyard. For each creature card exiled this way, create a 1/1 colorless Spirit creature token.
tle	Avatar: The Last Airbender Eternal	2025-11-21	6	Scout's Warning	f65cba6a-3ef4-4841-b2c1-578b2a2c3300	covered	card_draw, direct_draw, draw, replacement_engine	card_draw, direct_draw, draw, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/tle/6/scouts-warning?utm_source=api	The next creature card you play this turn can be played as though it had flash. Draw a card.
tle	Avatar: The Last Airbender Eternal	2025-11-21	7	Teferi's Protection	0d4ecdb1-ec90-497f-a7a4-1c68092b8757	covered		broad_protection, life_total_protection, protection, replacement_engine, self_protection	false		Covered by PRM role audit.	Instant	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/tle/7/teferis-protection?utm_source=api	Until your next turn, your life total can't change and you gain protection from everything. All permanents you control phase out. (While they're phased out, they're treated as though they don't exist. They phase in before you untap during your untap step.) Exile Teferi's Protection.
tle	Avatar: The Last Airbender Eternal	2025-11-21	8	Three Dreams	b3f9da94-c822-49b8-a1fc-be82189206af	covered	restricted_tutor, tutor	restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/tle/8/three-dreams?utm_source=api	Search your library for up to three Aura cards with different names, reveal them, put them into your hand, then shuffle.
tle	Avatar: The Last Airbender Eternal	2025-11-21	9	Agent of Treachery	4cd82c7a-86df-4d29-b578-c009208c0d4b	covered	card_draw, combat_body, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, tempo_removal, theft_support	card_draw, combat_body, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, tempo_removal, theft_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Rogue	{5}{U}{U}	7	U	U			verify analyzer roles	https://scryfall.com/card/tle/9/agent-of-treachery?utm_source=api	When this creature enters, gain control of target permanent. At the beginning of your end step, if you control three or more permanents you don't own, draw three cards.
tle	Avatar: The Last Airbender Eternal	2025-11-21	10	Bribery	6d194882-ca37-49bb-ac9f-a751c53850a8	covered		theft_support	false		Covered by MMQ role audit.	Sorcery	{3}{U}{U}	5	U	U			already reviewed	https://scryfall.com/card/tle/10/bribery?utm_source=api	Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles.
tle	Avatar: The Last Airbender Eternal	2025-11-21	11	Clone	42226b87-0746-4ebf-9fd0-108d508462af	covered	combat_body, copy_support	combat_body, copy_support	false		Covered by ONS role audit.	Creature — Shapeshifter	{3}{U}	4	U	U			already reviewed	https://scryfall.com/card/tle/11/clone?utm_source=api	You may have this creature enter as a copy of any creature on the battlefield.
tle	Avatar: The Last Airbender Eternal	2025-11-21	12	Clone Legion	690bd111-5b32-4156-b650-9afad3d6ef3d	covered	copy_support, token_support	copy_support, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{7}{U}{U}	9	U	U			verify analyzer roles	https://scryfall.com/card/tle/12/clone-legion?utm_source=api	For each creature target player controls, create a token that's a copy of that creature.
tle	Avatar: The Last Airbender Eternal	2025-11-21	13	Force of Negation	ac2173f9-f223-440a-9231-fd98762bdc6f	covered		hard_stack, stack	false		Covered by PRM role audit.	Instant	{1}{U}{U}	3	U	U			already reviewed	https://scryfall.com/card/tle/13/force-of-negation?utm_source=api	If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost. Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.
tle	Avatar: The Last Airbender Eternal	2025-11-21	14	Imprisoned in the Moon	339a7418-9a29-4eae-a3c2-ea590d175936	covered	burst_ramp, ramp, removal, stable_ramp, targeted_removal	burst_ramp, ramp, removal, stable_ramp, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{2}{U}	3	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/tle/14/imprisoned-in-the-moon?utm_source=api	Enchant creature, land, or planeswalker Enchanted permanent is a colorless land with "{T}: Add {C}" and loses all other card types and abilities.
tle	Avatar: The Last Airbender Eternal	2025-11-21	15	Intruder Alarm	1e943e04-e213-4781-b1a7-935aad8790e1	covered	combat_support, hate_piece, stax_piece, tempo_support	combat_support, hate_piece, stax_piece, tempo_support	false		Covered by Stronghold role audit.	Enchantment	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/tle/15/intruder-alarm?utm_source=api	Creatures don't untap during their controllers' untap steps. Whenever a creature enters, untap all creatures.
