setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tlrw	Lorwyn Tokens	2007-10-12	1	Avatar	6a20eb3c-4ebb-4560-9b77-da35a4c2f207			combat_body, combat_support				Token Creature — Avatar		0	W	W			verify analyzer roles	https://scryfall.com/card/tlrw/1/avatar?utm_source=api	This creature's power and toughness are each equal to your life total.
tlrw	Lorwyn Tokens	2007-10-12	2	Elemental	3b6d8366-9459-43f7-9d3e-371b8398aee2			combat_body, combat_threat				Token Creature — Elemental		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tlrw/2/elemental?utm_source=api	Flying
tlrw	Lorwyn Tokens	2007-10-12	3	Kithkin Soldier	caf4a0d2-64de-42df-a88e-bb0d3f34e207			combat_body				Token Creature — Kithkin Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tlrw/3/kithkin-soldier?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	4	Merfolk Wizard	224debbd-6073-4455-accf-bcf3c9674c72			combat_body				Token Creature — Merfolk Wizard		0	U	U			verify analyzer roles	https://scryfall.com/card/tlrw/4/merfolk-wizard?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	5	Goblin Rogue	a0814e97-bf28-4ffb-b65d-845de3613065			combat_body				Token Creature — Goblin Rogue		0	B	B			verify analyzer roles	https://scryfall.com/card/tlrw/5/goblin-rogue?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	6	Elemental Shaman	a44da885-2d0f-4e16-ba68-ec80640e819f			combat_body				Token Creature — Elemental Shaman		0	R	R			verify analyzer roles	https://scryfall.com/card/tlrw/6/elemental-shaman?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	7	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920			combat_body				Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/tlrw/7/beast?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	8	Elemental	c5a790eb-a3cf-4214-b743-9123ad002ade			combat_body				Token Creature — Elemental		0	G	G			verify analyzer roles	https://scryfall.com/card/tlrw/8/elemental?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	9	Elf Warrior	dac8a765-6845-4b57-bb79-4ec463436f92			combat_body				Token Creature — Elf Warrior		0	G	G			verify analyzer roles	https://scryfall.com/card/tlrw/9/elf-warrior?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	10	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b			combat_body				Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/tlrw/10/wolf?utm_source=api	
tlrw	Lorwyn Tokens	2007-10-12	11	Shapeshifter	fe8478ec-2af9-472b-b104-a71521a3559f			combat_body, kindred_support				Token Creature — Shapeshifter		0			Changeling		verify analyzer roles	https://scryfall.com/card/tlrw/11/shapeshifter?utm_source=api	Changeling
