setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tm19	Core Set 2019 Tokens	2018-07-13	1	Angel	29ff8699-53d8-413b-8a3c-0e3ea1e13ff0			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/tm19/1/angel?utm_source=api	Flying, vigilance
tm19	Core Set 2019 Tokens	2018-07-13	CH1	Core Set 2019 Checklist	b432fa59-484b-43ec-98c2-a2d89c50ca8a							Card		0					manual review	https://scryfall.com/card/tm19/CH1/core-set-2019-checklist?utm_source=api	(Use this card to represent a double-faced Nicol Bolas card in your library or hand.) ☐ Nicol Bolas, the Ravager {1}{U}{B}{R}
tm19	Core Set 2019 Tokens	2018-07-13	2	Avatar	350948bd-71bd-4604-83ec-fa75828cab3a			combat_body, combat_threat				Token Creature — Avatar		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tm19/2/avatar?utm_source=api	Flying
tm19	Core Set 2019 Tokens	2018-07-13	3	Cat	65742c00-2809-4085-a950-8f93845c03d2			combat_body, combat_threat, lifegain				Token Creature — Cat		0	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/tm19/3/cat?utm_source=api	Lifelink (Damage dealt by this creature also causes you to gain that much life.)
tm19	Core Set 2019 Tokens	2018-07-13	4	Knight	340aaeb6-cd18-4908-9729-8c53ab02c6f8			combat_body, combat_threat				Token Creature — Knight		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tm19/4/knight?utm_source=api	Vigilance
tm19	Core Set 2019 Tokens	2018-07-13	5	Ox	bcb63395-fec2-4792-bb4e-2c3e9b4703b4			combat_body				Token Creature — Ox		0	W	W			verify analyzer roles	https://scryfall.com/card/tm19/5/ox?utm_source=api	
tm19	Core Set 2019 Tokens	2018-07-13	6	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tm19/6/soldier?utm_source=api	
tm19	Core Set 2019 Tokens	2018-07-13	7	Bat	ff86d8fc-5242-405e-b5e3-f9ff73296794			combat_body, combat_threat				Token Creature — Bat		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tm19/7/bat?utm_source=api	Flying
tm19	Core Set 2019 Tokens	2018-07-13	8	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tm19/8/zombie?utm_source=api	
tm19	Core Set 2019 Tokens	2018-07-13	9	Dragon	ec6df381-5ea7-4c68-8416-093b107f0784			combat_body, combat_support, combat_threat				Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/tm19/9/dragon?utm_source=api	Flying {R}: This creature gets +1/+0 until end of turn.
tm19	Core Set 2019 Tokens	2018-07-13	10	Dragon	60fe4897-6760-4c5a-8074-c92bd64df52b	covered		combat_body, combat_threat	false		Covered by PR2 role audit.	Token Creature — Dragon		0	R	R	Flying		already reviewed	https://scryfall.com/card/tm19/10/dragon?utm_source=api	Flying
tm19	Core Set 2019 Tokens	2018-07-13	11	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tm19/11/goblin?utm_source=api	
tm19	Core Set 2019 Tokens	2018-07-13	12	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920			combat_body				Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/tm19/12/beast?utm_source=api	
tm19	Core Set 2019 Tokens	2018-07-13	13	Elf Warrior	dac8a765-6845-4b57-bb79-4ec463436f92			combat_body				Token Creature — Elf Warrior		0	G	G			verify analyzer roles	https://scryfall.com/card/tm19/13/elf-warrior?utm_source=api	
tm19	Core Set 2019 Tokens	2018-07-13	14	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f			combat_body, combat_threat				Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/tm19/14/thopter?utm_source=api	Flying
tm19	Core Set 2019 Tokens	2018-07-13	15	Ajani, Adversary of Tyrants Emblem	7c0edef3-5346-4001-87ae-11157be58031			lifegain, token_support				Emblem — Ajani		0					verify analyzer roles	https://scryfall.com/card/tm19/15/ajani-adversary-of-tyrants-emblem?utm_source=api	At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink.
tm19	Core Set 2019 Tokens	2018-07-13	16	Tezzeret, Artifice Master Emblem	94e2a122-19f6-43cf-8b1a-fd773e490a96			cheat_into_play, cost_reduction, restricted_tutor, tutor				Emblem — Tezzeret		0					verify analyzer roles	https://scryfall.com/card/tm19/16/tezzeret-artifice-master-emblem?utm_source=api	At the beginning of your end step, search your library for a permanent card, put it onto the battlefield, then shuffle your library.
tm19	Core Set 2019 Tokens	2018-07-13	17	Vivien Reid Emblem	de4fe6a3-0ea4-4745-9028-59e078331633			combat_finisher, combat_support, finisher, self_protection				Emblem — Vivien		0					verify analyzer roles	https://scryfall.com/card/tm19/17/vivien-reid-emblem?utm_source=api	Creatures you control get +2/+2 and have vigilance, trample, and indestructible.
