setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	1	Leonardo, the Balance	46ea8d02-b087-44f7-8403-93ffc1d3a8ad	covered	combat_body, combat_support, counter_support, lifegain	combat_body, combat_support, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Mutant Ninja Turtle	{3}{W}	4	W	BGRUW	Partner		verify analyzer roles	https://scryfall.com/card/tmc/1/leonardo-the-balance?utm_source=api	Whenever a token you control enters, you may put a +1/+1 counter on each creature you control. Do this only once each turn. {W}{U}{B}{R}{G}: Creatures you control gain menace, trample, and lifelink until end of turn. Partner—Character select (You can have two commanders if both have this ability.)
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	2	Donatello, the Brains	1ba2f763-5895-4663-b38f-95591ebb2ef4	covered	combat_body, replacement_engine	combat_body, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Mutant Ninja Turtle	{2}{U}	3	U	U	Partner		verify analyzer roles	https://scryfall.com/card/tmc/2/donatello-the-brains?utm_source=api	If one or more tokens would be created under your control, those tokens plus a Mutagen token are created instead. Partner—Character select (You can have two commanders if both have this ability.)
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	3	Splinter, the Mentor	fdcb016e-36e7-46b3-9dff-20b9b9cc421d	covered	combat_body, combat_threat, token_support	combat_body, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Mutant Ninja Rat	{1}{B}	2	B	B	Partner, Menace		verify analyzer roles	https://scryfall.com/card/tmc/3/splinter-the-mentor?utm_source=api	Menace Whenever Splinter or another nontoken creature you control leaves the battlefield, create a Mutagen token. Partner—Character select (You can have two commanders if both have this ability.)
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	4	Raphael, the Muscle	22008c3b-6e15-41cc-a15c-7871495191aa	covered	combat_body, counter_support, multiplier_support, replacement_engine, token_support	combat_body, counter_support, multiplier_support, replacement_engine, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Mutant Ninja Turtle	{4}{R}	5	R	R	Partner, Double		verify analyzer roles	https://scryfall.com/card/tmc/4/raphael-the-muscle?utm_source=api	Double all damage that creatures you control with counters on them would deal. When Raphael enters, create a Mutagen token. Partner—Character select (You can have two commanders if both have this ability.)
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	5	Michelangelo, the Heart	f11e914c-16bc-4836-bc14-bc1b5de9cd87	covered	combat_body, combat_threat, counter_support, token_support	combat_body, combat_threat, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Mutant Ninja Turtle	{1}{G}	2	G	G	Food, Partner, Trample		verify analyzer roles	https://scryfall.com/card/tmc/5/michelangelo-the-heart?utm_source=api	Trample Raid (the Fridge) — At the beginning of your second main phase, if you attacked this turn, put a +1/+1 counter on target creature and create a Food token. Partner—Character select (You can have two commanders if both have this ability.)
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	6	Heroes in a Half Shell	9f2f12cc-0adb-482d-bbce-05e4ce8850c4	covered	card_draw, combat_body, combat_support, combat_threat, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_support, combat_threat, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Mutant Ninja Turtle	{W}{U}{B}{R}{G}	5	BGRUW	BGRUW	Vigilance, Haste, Trample, Menace		verify analyzer roles	https://scryfall.com/card/tmc/6/heroes-in-a-half-shell?utm_source=api	Vigilance, menace, trample, haste Whenever one or more Mutants, Ninjas, and/or Turtles you control deal combat damage to a player, put a +1/+1 counter on each of those creatures and draw a card.
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	7	Continue?	175c76c8-f36c-4948-aaa8-0208eac5f0d3	covered	battlefield_recursion, recursion	battlefield_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tmc/7/continue%3F?utm_source=api	Choose up to four target creature cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield.
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	8	Endless Foot Assault	77ccafd9-6d76-4658-81ab-bde0454fcc15	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W	Squad		verify analyzer roles	https://scryfall.com/card/tmc/8/endless-foot-assault?utm_source=api	Squad {1}{W} (As an additional cost to cast this spell, you may pay {1}{W} any number of times. When this enchantment enters, create that many tokens that are copies of it.) Whenever you attack, for each opponent, create a 1/1 black Ninja creature token that's tapped and attacking that player.
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	9	April O'Neil, Live on the Scene	4900c157-8d9f-4f92-aaca-5246b6e2832e	covered	card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support	card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Detective	{1}{U}	2	U	U	Investigate, Partner		verify analyzer roles	https://scryfall.com/card/tmc/9/april-oneil-live-on-the-scene?utm_source=api	Whenever a Mutant, Ninja, or Turtle you control enters, investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.") Partner—Character select
tmc	Teenage Mutant Ninja Turtles Eternal	2026-03-06	10	Baxter, Fly in the Ointment	94551fbd-a72c-4a1f-be01-7ba1c7c03eed	covered	combat_body, combat_support, counter_support	combat_body, combat_support, counter_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Insect Mutant Scientist	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/tmc/10/baxter-fly-in-the-ointment?utm_source=api	Whenever Baxter enters or attacks, each creature you control with a counter on it gains flying until end of turn. Whenever you draw a card, put a +1/+1 counter on Baxter.
