setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmed	Mythic Edition Tokens	2018-10-05	G1	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tmed/G1/soldier?utm_source=api	
tmed	Mythic Edition Tokens	2018-10-05	R1	Construct	ee740c48-59cd-4fcc-b4a5-fe3dde1361d5			artifact_support, combat_body, combat_support				Token Artifact Creature — Construct		0					verify analyzer roles	https://scryfall.com/card/tmed/R1/construct?utm_source=api	This creature gets +1/+1 for each artifact you control.
tmed	Mythic Edition Tokens	2018-10-05	W1	Beast	3c27a325-4490-44e6-aa9a-b591697486c8			combat_body, combat_threat				Token Creature — Beast		0	B	B	Deathtouch		verify analyzer roles	https://scryfall.com/card/tmed/W1/beast?utm_source=api	Deathtouch
tmed	Mythic Edition Tokens	2018-10-05	G2	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tmed/G2/zombie?utm_source=api	
tmed	Mythic Edition Tokens	2018-10-05	R2	Dack Fayden Emblem	6c2c20cb-de02-4557-b718-ee3feea4e5b2			theft_support				Emblem — Dack		0					verify analyzer roles	https://scryfall.com/card/tmed/R2/dack-fayden-emblem?utm_source=api	Whenever you cast a spell that targets one or more permanents, gain control of those permanents.
tmed	Mythic Edition Tokens	2018-10-05	W2	Dragon	c8790543-9399-4312-9b15-aa8a45c8fec7			combat_body, combat_threat				Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/tmed/W2/dragon?utm_source=api	Flying
tmed	Mythic Edition Tokens	2018-10-05	G3	Construct	ebddf9b8-fd1a-4a6b-bec8-3a63485e36c0			combat_body				Token Artifact Creature — Construct		0			Defender		verify analyzer roles	https://scryfall.com/card/tmed/G3/construct?utm_source=api	Defender
tmed	Mythic Edition Tokens	2018-10-05	R3	Domri, Chaos Bringer Emblem	a6696704-ac0f-4319-a3c4-f6739f84d7d1			token_support				Emblem — Domri		0					verify analyzer roles	https://scryfall.com/card/tmed/R3/domri-chaos-bringer-emblem?utm_source=api	At the beginning of each end step, create a 4/4 red and green Beast creature token with trample.
tmed	Mythic Edition Tokens	2018-10-05	W3	Garruk, Apex Predator Emblem	f1df1017-8d03-46c8-a47c-4a301f326550			combat_support				Emblem — Garruk		0					verify analyzer roles	https://scryfall.com/card/tmed/W3/garruk-apex-predator-emblem?utm_source=api	Whenever a creature attacks you, it gets +5/+5 and gains trample until end of turn.
tmed	Mythic Edition Tokens	2018-10-05	G4	Elspeth, Knight-Errant Emblem	17549447-6f19-4d87-8af1-58b6bb387003			combat_support, self_protection				Emblem — Elspeth		0					verify analyzer roles	https://scryfall.com/card/tmed/G4/elspeth-knight-errant-emblem?utm_source=api	Artifacts, creatures, enchantments, and lands you control have indestructible.
tmed	Mythic Edition Tokens	2018-10-05	R4	Jaya Ballard Emblem	82f55659-e4df-485d-a7cf-a11f27d6ae5d			card_selection, recursion, replacement_engine, replay_recursion, selection				Emblem — Jaya		0					verify analyzer roles	https://scryfall.com/card/tmed/R4/jaya-ballard-emblem?utm_source=api	You may cast instant and sorcery spells from your graveyard. If a spell cast this way would be put into your graveyard, exile it instead.
tmed	Mythic Edition Tokens	2018-10-05	G5	Liliana, the Last Hope Emblem	78d9bb73-904b-483e-9279-5f3f43b4bdf3			combat_support, scalable_spell, token_support				Emblem — Liliana		0					verify analyzer roles	https://scryfall.com/card/tmed/G5/liliana-the-last-hope-emblem?utm_source=api	At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.
tmed	Mythic Edition Tokens	2018-10-05	R5	Tamiyo, the Moon Sage Emblem	53bb5d83-f499-44f0-9dce-04a28bd4be4d			hand_size				Emblem — Tamiyo		0					verify analyzer roles	https://scryfall.com/card/tmed/R5/tamiyo-the-moon-sage-emblem?utm_source=api	You have no maximum hand size. Whenever a card is put into your graveyard from anywhere, you may return it to your hand.
tmed	Mythic Edition Tokens	2018-10-05	G6	Ral, Izzet Viceroy Emblem	7306e176-a32f-4d6d-b2cf-483ad508ddc5			card_draw, copy_support, direct_draw, draw, removal, spellslinger, targeted_removal				Emblem — Ral		0					verify analyzer roles	https://scryfall.com/card/tmed/G6/ral-izzet-viceroy-emblem?utm_source=api	Whenever you cast an instant or sorcery spell, this emblem deals 4 damage to any target and you draw two cards.
tmed	Mythic Edition Tokens	2018-10-05	G7	Teferi, Hero of Dominaria Emblem	77f14c9f-cc82-448e-b91b-e5dcc8c63c0a			removal, targeted_removal				Emblem — Teferi		0					verify analyzer roles	https://scryfall.com/card/tmed/G7/teferi-hero-of-dominaria-emblem?utm_source=api	Whenever you draw a card, exile target permanent an opponent controls.
tmed	Mythic Edition Tokens	2018-10-05	G8	Vraska, Golgari Queen Emblem	c43c74a0-8e82-4349-9df9-ffaba2b2bed7			combat_support				Emblem — Vraska		0					verify analyzer roles	https://scryfall.com/card/tmed/G8/vraska-golgari-queen-emblem?utm_source=api	Whenever a creature you control deals combat damage to a player, that player loses the game.
