setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	1	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/tmid/1/human?utm_source=api	
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	2	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tmid/2/spirit?utm_source=api	Flying
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	3	Bird	f50b144c-021a-4025-9dc7-1639fdc65505	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bird		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tmid/3/bird?utm_source=api	Flying This creature can block only creatures with flying.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	4	Bat	ff86d8fc-5242-405e-b5e3-f9ff73296794	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bat		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tmid/4/bat?utm_source=api	Flying
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	5	Zombie	888fef82-b8be-434a-9be2-609e1ded9a5e	covered	combat_body, combat_support, sacrifice_support	combat_body, combat_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie		0	B	B	Decayed		verify analyzer roles	https://scryfall.com/card/tmid/5/zombie?utm_source=api	Decayed (This creature can't block. When it attacks, sacrifice it at end of combat.)
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	6	Devil	02d1dc2f-625e-4be3-9daf-e48c44bc9bf7	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Creature — Devil		0	R	R			verify analyzer roles	https://scryfall.com/card/tmid/6/devil?utm_source=api	When this creature dies, it deals 1 damage to any target.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	7	Elemental	74a3dea1-6a43-4cd2-925e-0abcf076bd02	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	R	R	Trample		verify analyzer roles	https://scryfall.com/card/tmid/7/elemental?utm_source=api	Trample This creature's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards with flashback you own in exile.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	8	Beast	695b14a0-920a-47bd-bd4a-7989862cdd0a	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Beast		0	G	G			already reviewed	https://scryfall.com/card/tmid/8/beast?utm_source=api	
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	9	Insect	02962745-9503-42bb-9a3c-505bf80bab8b	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Insect		0	G	G			verify analyzer roles	https://scryfall.com/card/tmid/9/insect?utm_source=api	
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	10	Ooze	3408bdb0-a0c8-46e2-83ef-aba671107b9a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/tmid/10/ooze?utm_source=api	This creature's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	11	Spider	bd386399-69f0-4653-96a1-fd05b8fd148c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spider		0	G	G	Reach		verify analyzer roles	https://scryfall.com/card/tmid/11/spider?utm_source=api	Reach
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	12	Treefolk	46e30c03-15cd-46ed-a122-c47cbca87368	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Treefolk		0	G	G	Reach		verify analyzer roles	https://scryfall.com/card/tmid/12/treefolk?utm_source=api	Reach This creature's power and toughness are each equal to the number of lands you control.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	13	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/tmid/13/wolf?utm_source=api	
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	14	Vampire	e45c5c4e-2226-4c77-9480-8cc80a47e5a3	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Vampire		0	BR	BR	Lifelink, Haste, Trample		verify analyzer roles	https://scryfall.com/card/tmid/14/vampire?utm_source=api	Trample, lifelink, haste
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	15	Zombie	bb20380c-ede7-445a-a48c-5ccdab535b9a	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie		0	BU	BU	Menace		verify analyzer roles	https://scryfall.com/card/tmid/15/zombie?utm_source=api	Menace (This creature can't be blocked except by two or more creatures.)
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	16	Clue	496e1083-c792-40a4-adf4-fec1d559cd5e	covered	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Clue		0					verify analyzer roles	https://scryfall.com/card/tmid/16/clue?utm_source=api	{2}, Sacrifice this token: Draw a card.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	17	Teferi, Who Slows the Sunset Emblem	3852d640-71bd-4dfa-8cb6-0775841eef32	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Emblem		0					verify analyzer roles	https://scryfall.com/card/tmid/17/teferi-who-slows-the-sunset-emblem?utm_source=api	Untap all permanents you control during each opponent's untap step. You draw a card during each opponent's draw step.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	18	Wrenn and Seven Emblem	74dd4646-4822-45f6-8d2a-573f9edd44b0	covered	hand_size	hand_size	false		Analyzer roles accepted during batch clean pass.	Emblem		0					verify analyzer roles	https://scryfall.com/card/tmid/18/wrenn-and-seven-emblem?utm_source=api	You have no maximum hand size.
tmid	Innistrad: Midnight Hunt Tokens	2021-09-24	19	Day // Night	84142407-ba98-497d-bbc8-39176aa67c02	unsupported			false		Excluded from deck role audit: token card, not a deck slot.	Card // Card		0			Transform		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/tmid/19/day-night?utm_source=api	Day: (If it becomes day or night or if a daybound permanent enters the battlefield, track day/night for the rest of the game.) As it becomes day, transform all nightbound permanents. If a player casts no spells during their own turn, it becomes night next turn. // Night: As it becomes night, transform all daybound permanents. Permanents enter the battlefield nightbound. If a player casts at least two spells during their own turn, it becomes day next turn.
