setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	1	Eldrazi	41014a6a-0f5b-48ae-8cb8-9a89f0f0180f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Eldrazi		0					verify analyzer roles	https://scryfall.com/card/tmkc/1/eldrazi?utm_source=api	
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	2	Human Soldier	a4095286-d51b-4527-b6ce-23aa539fc23a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tmkc/2/human-soldier?utm_source=api	
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tmkc/3/soldier?utm_source=api	
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	4	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tmkc/4/spirit?utm_source=api	Flying
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	5	Vizier of Many Faces	c97e158a-a1be-446c-b9aa-cae931735b9d	covered	combat_body, copy_support	combat_body, copy_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Shapeshifter Cleric		0	W	W			verify analyzer roles	https://scryfall.com/card/tmkc/5/vizier-of-many-faces?utm_source=api	You may have Vizier of Many Faces enter the battlefield as a copy of any creature on the battlefield, except has no mana cost, it's white, and it's a Zombie in addition to its other types.
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	6	Drake	9e266374-80f1-458a-9417-16220d2a013a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Drake		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tmkc/6/drake?utm_source=api	Flying
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	7	Koma's Coil	3e8443aa-7c50-4776-8e8c-eea82c7da0f1	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Serpent		0	U	U			verify analyzer roles	https://scryfall.com/card/tmkc/7/komas-coil?utm_source=api	
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	8	Salamander Warrior	0e23b3a3-e210-439b-a4f1-3bc880b4b39e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Salamander Warrior		0	U	U			verify analyzer roles	https://scryfall.com/card/tmkc/8/salamander-warrior?utm_source=api	
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	9	Tentacle	82adaeee-e011-49db-af53-fda6c2b192d5	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Tentacle		0	U	U			verify analyzer roles	https://scryfall.com/card/tmkc/9/tentacle?utm_source=api	
tmkc	Murders at Karlov Manor Commander Tokens	2024-02-09	10	Phyrexian Germ	a1c2af93-83c0-4974-b4db-abf95981d4e3	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Phyrexian Germ		0	B	B			verify analyzer roles	https://scryfall.com/card/tmkc/10/phyrexian-germ?utm_source=api	
