setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmkm	Murders at Karlov Manor Tokens	2024-02-09	1	Dog	791a992f-6f67-41a0-8100-a4a6401e6148			combat_body				Token Creature — Dog		0	W	W			verify analyzer roles	https://scryfall.com/card/tmkm/1/dog?utm_source=api	
tmkm	Murders at Karlov Manor Tokens	2024-02-09	2	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a			combat_body				Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/tmkm/2/human?utm_source=api	
tmkm	Murders at Karlov Manor Tokens	2024-02-09	3	Merfolk	4998e2fe-1537-40bb-a4d7-f668a5b8975f			combat_body				Token Creature — Merfolk		0	U	U			verify analyzer roles	https://scryfall.com/card/tmkm/3/merfolk?utm_source=api	
tmkm	Murders at Karlov Manor Tokens	2024-02-09	4	Bat	ff86d8fc-5242-405e-b5e3-f9ff73296794			combat_body, combat_threat				Token Creature — Bat		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tmkm/4/bat?utm_source=api	Flying
tmkm	Murders at Karlov Manor Tokens	2024-02-09	5	Skeleton	2ab3cdb7-f4dc-4cd2-809e-32f0f4ace439			combat_body				Token Creature — Skeleton		0	B	B			verify analyzer roles	https://scryfall.com/card/tmkm/5/skeleton?utm_source=api	
tmkm	Murders at Karlov Manor Tokens	2024-02-09	6	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tmkm/6/goblin?utm_source=api	
tmkm	Murders at Karlov Manor Tokens	2024-02-09	7	Imp	0d46eb4f-8cde-4140-a509-86c41acc2ef0			combat_body, direct_finisher, finisher, sacrifice_support				Token Creature — Imp		0	R	R			verify analyzer roles	https://scryfall.com/card/tmkm/7/imp?utm_source=api	When this creature dies, it deals 2 damage to each opponent.
tmkm	Murders at Karlov Manor Tokens	2024-02-09	8	Ooze	6d0b29d4-4d4b-4307-9778-27c7483cbcb8			combat_body, combat_threat				Token Creature — Ooze		0	G	G	Trample		verify analyzer roles	https://scryfall.com/card/tmkm/8/ooze?utm_source=api	Trample
tmkm	Murders at Karlov Manor Tokens	2024-02-09	9	Plant	bcd346a7-4d96-4a0c-9725-fb740e32b730			combat_body				Token Creature — Plant		0	G	G			verify analyzer roles	https://scryfall.com/card/tmkm/9/plant?utm_source=api	
tmkm	Murders at Karlov Manor Tokens	2024-02-09	10	Detective	44f63ae4-6605-49e2-a862-99c1feb3017a			combat_body				Token Creature — Detective		0	UW	UW			verify analyzer roles	https://scryfall.com/card/tmkm/10/detective?utm_source=api	
tmkm	Murders at Karlov Manor Tokens	2024-02-09	11	Spider	2e78052f-0e97-4013-bdd4-12802f8bc758			combat_body, combat_threat				Token Creature — Spider		0	BG	BG	Reach, Menace		verify analyzer roles	https://scryfall.com/card/tmkm/11/spider?utm_source=api	Menace, reach
tmkm	Murders at Karlov Manor Tokens	2024-02-09	12	Spirit	18ef473d-f958-4bff-8045-154f6adc6b04			combat_body, combat_threat				Token Creature — Spirit		0	BW	BW	Flying		verify analyzer roles	https://scryfall.com/card/tmkm/12/spirit?utm_source=api	Flying
tmkm	Murders at Karlov Manor Tokens	2024-02-09	13	Voja Fenstalker	df6dca61-472e-4aa5-8038-3ba5cbb66d23			combat_body, combat_threat				Token Legendary Creature — Wolf		0	GW	GW	Trample		verify analyzer roles	https://scryfall.com/card/tmkm/13/voja-fenstalker?utm_source=api	Trample
tmkm	Murders at Karlov Manor Tokens	2024-02-09	14	Clue	496e1083-c792-40a4-adf4-fec1d559cd5e			card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support				Token Artifact — Clue		0					verify analyzer roles	https://scryfall.com/card/tmkm/14/clue?utm_source=api	{2}, Sacrifice this token: Draw a card.
tmkm	Murders at Karlov Manor Tokens	2024-02-09	19	Thopter	38c563b2-5828-4f92-a520-d642e0de6f1e			combat_body, combat_threat				Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/tmkm/19/thopter?utm_source=api	Flying
tmkm	Murders at Karlov Manor Tokens	2024-02-09	20	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f			combat_body, combat_threat				Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/tmkm/20/thopter?utm_source=api	Flying
tmkm	Murders at Karlov Manor Tokens	2024-02-09	21	A Mysterious Creature	6481a124-6859-4f02-9fd3-b1302528dd2e			combat_body, combat_support, face_down_support, self_protection				Creature		0					verify analyzer roles	https://scryfall.com/card/tmkm/21/a-mysterious-creature?utm_source=api	You can cover a face-down creature with this reminder card. A face-down creature that was cloaked or cast with disguise has ward {2}. (Whenever that creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
tmkm	Murders at Karlov Manor Tokens	2024-02-09	22	Punchcard // Punchcard	96247b92-0c7a-4410-85a4-598916541b1d							Card // Card		0					manual review	https://scryfall.com/card/tmkm/22/punchcard-punchcard?utm_source=api	Punchcard:  // Punchcard:
