setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmm3	Modern Masters 2017 Tokens	2017-03-17	1	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tmm3/1/angel?utm_source=api	Flying
tmm3	Modern Masters 2017 Tokens	2017-03-17	2	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tmm3/2/bird?utm_source=api	Flying
tmm3	Modern Masters 2017 Tokens	2017-03-17	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tmm3/3/soldier?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	4	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tmm3/4/spirit?utm_source=api	Flying
tmm3	Modern Masters 2017 Tokens	2017-03-17	5	Spider	c16b3a1e-0e60-41f2-899e-d22bcf1144ae	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spider		0	B	B	Reach		verify analyzer roles	https://scryfall.com/card/tmm3/5/spider?utm_source=api	Reach
tmm3	Modern Masters 2017 Tokens	2017-03-17	6	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tmm3/6/zombie?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	7	Dragon	c8790543-9399-4312-9b15-aa8a45c8fec7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/tmm3/7/dragon?utm_source=api	Flying
tmm3	Modern Masters 2017 Tokens	2017-03-17	8	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tmm3/8/goblin?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	9	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/tmm3/9/beast?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	10	Beast	695b14a0-920a-47bd-bd4a-7989862cdd0a	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Beast		0	G	G			already reviewed	https://scryfall.com/card/tmm3/10/beast?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	11	Centaur	c41ea1cd-d87a-4e4c-b814-4c24c5bef511	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Centaur		0	G	G			verify analyzer roles	https://scryfall.com/card/tmm3/11/centaur?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	12	Elephant	079c46cc-feb0-4998-8593-c8b739afdb82	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Elephant		0	G	G			already reviewed	https://scryfall.com/card/tmm3/12/elephant?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	13	Ooze	bb3da6d2-aed7-4057-b94b-6882fb45cc89	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/tmm3/13/ooze?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	14	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/tmm3/14/saproling?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	15	Wurm	25be869c-ea45-4fdc-9cff-bde028d5cb66	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wurm		0	G	G	Trample		verify analyzer roles	https://scryfall.com/card/tmm3/15/wurm?utm_source=api	Trample
tmm3	Modern Masters 2017 Tokens	2017-03-17	16	Elemental	9f790267-5be9-41aa-be69-f87a8ce5a29e	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	GW	GW			verify analyzer roles	https://scryfall.com/card/tmm3/16/elemental?utm_source=api	This creature's power and toughness are each equal to the number of creatures you control.
tmm3	Modern Masters 2017 Tokens	2017-03-17	17	Giant Warrior	e067754e-ddd6-44fc-8783-07e98db21c57	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Giant Warrior		0	GR	GR	Haste		verify analyzer roles	https://scryfall.com/card/tmm3/17/giant-warrior?utm_source=api	Haste
tmm3	Modern Masters 2017 Tokens	2017-03-17	18	Goblin Warrior	b96b076f-9815-457e-bbe2-4abf4c8f85cf	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goblin Warrior		0	GR	GR			verify analyzer roles	https://scryfall.com/card/tmm3/18/goblin-warrior?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	19	Soldier	04ba3865-3e4b-4583-b49b-f5433926c29a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Soldier		0	RW	RW			verify analyzer roles	https://scryfall.com/card/tmm3/19/soldier?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	20	Golem	9859c54d-695b-4bb1-940e-cfd1c3301e89	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Golem		0					verify analyzer roles	https://scryfall.com/card/tmm3/20/golem?utm_source=api	
tmm3	Modern Masters 2017 Tokens	2017-03-17	21	Domri Rade Emblem	b7dc9439-d9bb-435a-8d3b-9e92bfae16ef	covered	broad_protection, combat_support, self_protection	broad_protection, combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Emblem — Domri		0					verify analyzer roles	https://scryfall.com/card/tmm3/21/domri-rade-emblem?utm_source=api	Creatures you control have double strike, trample, hexproof, and haste.
