setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmma	Modern Masters Tokens	2013-06-07	1	Giant Warrior	de8fd8a1-561e-4ecc-988f-cdd8d9163349	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Giant Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/tmma/1/giant-warrior?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	2	Kithkin Soldier	caf4a0d2-64de-42df-a88e-bb0d3f34e207	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Kithkin Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tmma/2/kithkin-soldier?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tmma/3/soldier?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	4	Illusion	bd0289dc-f406-4157-9776-401b662df719	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Illusion		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tmma/4/illusion?utm_source=api	Flying
tmma	Modern Masters Tokens	2013-06-07	5	Bat	ff86d8fc-5242-405e-b5e3-f9ff73296794	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bat		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tmma/5/bat?utm_source=api	Flying
tmma	Modern Masters Tokens	2013-06-07	6	Goblin Rogue	a0814e97-bf28-4ffb-b65d-845de3613065	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goblin Rogue		0	B	B			verify analyzer roles	https://scryfall.com/card/tmma/6/goblin-rogue?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	7	Spider	c16b3a1e-0e60-41f2-899e-d22bcf1144ae	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spider		0	B	B	Reach		verify analyzer roles	https://scryfall.com/card/tmma/7/spider?utm_source=api	Reach
tmma	Modern Masters Tokens	2013-06-07	8	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tmma/8/zombie?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	9	Dragon	c8790543-9399-4312-9b15-aa8a45c8fec7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/tmma/9/dragon?utm_source=api	Flying
tmma	Modern Masters Tokens	2013-06-07	10	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tmma/10/goblin?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	11	Elemental	c5a790eb-a3cf-4214-b743-9123ad002ade	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	G	G			verify analyzer roles	https://scryfall.com/card/tmma/11/elemental?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	12	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/tmma/12/saproling?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	13	Treefolk Shaman	36a2a641-862f-43fe-9d45-111eae1430ce	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Treefolk Shaman		0	G	G			verify analyzer roles	https://scryfall.com/card/tmma/13/treefolk-shaman?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	14	Faerie Rogue	759b1cd0-a2d9-46d3-8433-33892abd184c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Faerie Rogue		0	BU	BU	Flying		verify analyzer roles	https://scryfall.com/card/tmma/14/faerie-rogue?utm_source=api	Flying
tmma	Modern Masters Tokens	2013-06-07	15	Worm	318d6000-b6e0-4ef0-ad58-d470f4a271e6	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Worm		0	BG	BG			verify analyzer roles	https://scryfall.com/card/tmma/15/worm?utm_source=api	
tmma	Modern Masters Tokens	2013-06-07	16	Elspeth, Knight-Errant Emblem	17549447-6f19-4d87-8af1-58b6bb387003	covered	combat_support, self_protection	combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Emblem — Elspeth		0					verify analyzer roles	https://scryfall.com/card/tmma/16/elspeth-knight-errant-emblem?utm_source=api	Artifacts, creatures, enchantments, and lands you control have indestructible.
