setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmoc	March of the Machine Commander Tokens	2023-04-21	1	Eldrazi	8ce49358-21b3-4b5c-ad8c-a07ac256dee4			combat_body, combat_support				Token Creature — Eldrazi		0			Annihilator		verify analyzer roles	https://scryfall.com/card/tmoc/1/eldrazi?utm_source=api	Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)
tmoc	March of the Machine Commander Tokens	2023-04-21	2	Sliver	9ac81d75-2bec-46ab-84e1-2fc893d45219	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Sliver		0					already reviewed	https://scryfall.com/card/tmoc/2/sliver?utm_source=api	
tmoc	March of the Machine Commander Tokens	2023-04-21	3	Angel	263fd9ed-d3dc-4a96-b731-dd8f4bb0f95a			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tmoc/3/angel?utm_source=api	Flying
tmoc	March of the Machine Commander Tokens	2023-04-21	4	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tmoc/4/angel?utm_source=api	Flying
tmoc	March of the Machine Commander Tokens	2023-04-21	5	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297			combat_body, combat_threat				Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tmoc/5/bird?utm_source=api	Flying
tmoc	March of the Machine Commander Tokens	2023-04-21	6	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a			combat_body				Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/tmoc/6/human?utm_source=api	
tmoc	March of the Machine Commander Tokens	2023-04-21	7	Knight	340aaeb6-cd18-4908-9729-8c53ab02c6f8			combat_body, combat_threat				Token Creature — Knight		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tmoc/7/knight?utm_source=api	Vigilance
tmoc	March of the Machine Commander Tokens	2023-04-21	8	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tmoc/8/soldier?utm_source=api	
tmoc	March of the Machine Commander Tokens	2023-04-21	9	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tmoc/9/spirit?utm_source=api	Flying
tmoc	March of the Machine Commander Tokens	2023-04-21	10	Warrior	6a880a0f-0a98-4505-9c27-9821be3e4818			combat_body				Token Creature — Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/tmoc/10/warrior?utm_source=api	
tmoc	March of the Machine Commander Tokens	2023-04-21	11	Faerie	03fc0cae-a6d3-4fae-995d-038eb32c48ac			combat_body, combat_threat				Token Creature — Faerie		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tmoc/11/faerie?utm_source=api	Flying
