setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmsh	Marvel Super Heroes Tokens	2026-06-26	1	Wall	6bfd69dd-99e0-4b01-b9ef-a7d3876f2629			combat_body				Token Creature — Wall		0			Defender		verify analyzer roles	https://scryfall.com/card/tmsh/1/wall?utm_source=api	Defender
tmsh	Marvel Super Heroes Tokens	2026-06-26	2	Hero	24141a1f-a678-4daf-b9c6-328504b530f6			combat_body, combat_threat				Token Creature — Hero		0			Vigilance		verify analyzer roles	https://scryfall.com/card/tmsh/2/hero?utm_source=api	Vigilance
tmsh	Marvel Super Heroes Tokens	2026-06-26	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tmsh/3/soldier?utm_source=api	
tmsh	Marvel Super Heroes Tokens	2026-06-26	5	Leviathan	ea3afc88-eb2c-451e-b2c4-d8b1fe3dd428			combat_body, self_protection				Token Creature — Leviathan		0	U	U	Hexproof		verify analyzer roles	https://scryfall.com/card/tmsh/5/leviathan?utm_source=api	Hexproof (This token can't be the target of spells or abilities your opponents control.)
tmsh	Marvel Super Heroes Tokens	2026-06-26	6	Merfolk	4998e2fe-1537-40bb-a4d7-f668a5b8975f			combat_body				Token Creature — Merfolk		0	U	U			verify analyzer roles	https://scryfall.com/card/tmsh/6/merfolk?utm_source=api	
tmsh	Marvel Super Heroes Tokens	2026-06-26	7	Redwing	63fc8035-d673-4ff7-87bf-cc15ffeac693			card_selection, combat_body, combat_support, combat_threat, repeatable_advantage, selection				Token Legendary Creature — Bird Scout		0	U	U	Flying, Surveil		verify analyzer roles	https://scryfall.com/card/tmsh/7/redwing?utm_source=api	Flying Whenever Redwing attacks, surveil 1.
tmsh	Marvel Super Heroes Tokens	2026-06-26	8	Galactus	c1910174-22a1-47b2-9288-db1c3bbf4732			combat_body, combat_support, combat_threat, land_denial, removal, targeted_land_removal, targeted_removal				Token Legendary Creature — Elder Alien		0	B	B	Flying, Trample		verify analyzer roles	https://scryfall.com/card/tmsh/8/galactus?utm_source=api	Flying, trample Whenever Galactus attacks, destroy target land.
tmsh	Marvel Super Heroes Tokens	2026-06-26	9	Villain	4ca04338-08e4-411e-a891-36ab9c320236			combat_body, combat_threat				Token Creature — Villain		0	B	B	Menace		verify analyzer roles	https://scryfall.com/card/tmsh/9/villain?utm_source=api	Menace
tmsh	Marvel Super Heroes Tokens	2026-06-26	10	The Void	043649a9-1e76-48c0-9ba2-e7690d764d62			combat_body, combat_support, combat_threat, self_protection				Token Legendary Creature — Horror Villain		0	B	B	Flying, Indestructible		verify analyzer roles	https://scryfall.com/card/tmsh/10/the-void?utm_source=api	Flying, indestructible The Void attacks each combat if able.
tmsh	Marvel Super Heroes Tokens	2026-06-26	11	Alien	f3d6022e-2859-470a-98c4-2526af81519f			combat_body, combat_support, combat_threat				Token Creature — Alien		0	R	R	Haste		verify analyzer roles	https://scryfall.com/card/tmsh/11/alien?utm_source=api	Haste This token attacks each combat if able.
