setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tncc	New Capenna Commander Tokens	2022-04-29	1	Eldrazi	41014a6a-0f5b-48ae-8cb8-9a89f0f0180f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Eldrazi		0					verify analyzer roles	https://scryfall.com/card/tncc/1/eldrazi?utm_source=api	
tncc	New Capenna Commander Tokens	2022-04-29	2	Eldrazi Spawn	3aaf906a-e749-4e86-ac79-97650b92f271	covered	burst_ramp, combat_body, ramp, sacrifice_support	burst_ramp, combat_body, ramp, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Eldrazi Spawn		0					verify analyzer roles	https://scryfall.com/card/tncc/2/eldrazi-spawn?utm_source=api	Sacrifice this creature: Add {C}.
tncc	New Capenna Commander Tokens	2022-04-29	3	Manifest	f4f184ef-f456-47d8-9012-095629a5ea4d	covered	combat_body, face_down_support	combat_body, face_down_support	false		Analyzer roles accepted during batch clean pass.	Creature		0					verify analyzer roles	https://scryfall.com/card/tncc/3/manifest?utm_source=api	(You can cover a face-down manifested creature with this reminder card. A manifested creature card can be turned face up any time for its mana cost. A face-down card can also be turned face up for its morph cost.)
tncc	New Capenna Commander Tokens	2022-04-29	4	Cat Beast	8050907b-4007-4478-8ebd-25b8b2bf85c3	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Cat Beast		0	W	W			verify analyzer roles	https://scryfall.com/card/tncc/4/cat-beast?utm_source=api	
tncc	New Capenna Commander Tokens	2022-04-29	5	Elemental	3b6d8366-9459-43f7-9d3e-371b8398aee2	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tncc/5/elemental?utm_source=api	Flying
tncc	New Capenna Commander Tokens	2022-04-29	6	Goat	f62b776a-d4de-455a-ae5a-ca07982974db	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goat		0	W	W			verify analyzer roles	https://scryfall.com/card/tncc/6/goat?utm_source=api	
tncc	New Capenna Commander Tokens	2022-04-29	7	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/tncc/7/human?utm_source=api	
tncc	New Capenna Commander Tokens	2022-04-29	8	Human Soldier	a4095286-d51b-4527-b6ce-23aa539fc23a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tncc/8/human-soldier?utm_source=api	
tncc	New Capenna Commander Tokens	2022-04-29	9	Soldier	a5ab7f2d-a434-4342-a178-754bdd0181b6	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Soldier		0	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/tncc/9/soldier?utm_source=api	Lifelink
tncc	New Capenna Commander Tokens	2022-04-29	10	Drake	9e266374-80f1-458a-9417-16220d2a013a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Drake		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tncc/10/drake?utm_source=api	Flying
tncc	New Capenna Commander Tokens	2022-04-29	11	Faerie	03fc0cae-a6d3-4fae-995d-038eb32c48ac	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Faerie		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tncc/11/faerie?utm_source=api	Flying
tncc	New Capenna Commander Tokens	2022-04-29	12	Squid	dd85fcd6-9bfd-4deb-a56a-77c6bca8eb97	covered	combat_body, combat_support, landwalk_support	combat_body, combat_support, landwalk_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Squid		0	U	U	Landwalk, Islandwalk		verify analyzer roles	https://scryfall.com/card/tncc/12/squid?utm_source=api	Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
tncc	New Capenna Commander Tokens	2022-04-29	13	Tentacle	82adaeee-e011-49db-af53-fda6c2b192d5	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Tentacle		0	U	U			verify analyzer roles	https://scryfall.com/card/tncc/13/tentacle?utm_source=api	
