setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tnec	Neon Dynasty Commander Tokens	2022-02-18	1	Shrine	bd176056-cc4b-4de5-a583-c17d80761afc			combat_body				Token Enchantment Creature — Shrine		0					verify analyzer roles	https://scryfall.com/card/tnec/1/shrine?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	2	Angel	29ff8699-53d8-413b-8a3c-0e3ea1e13ff0			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/tnec/2/angel?utm_source=api	Flying, vigilance
tnec	Neon Dynasty Commander Tokens	2022-02-18	3	Phyrexian Germ	a1c2af93-83c0-4974-b4db-abf95981d4e3			combat_body				Token Creature — Phyrexian Germ		0	B	B			verify analyzer roles	https://scryfall.com/card/tnec/3/phyrexian-germ?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	4	Elemental	1a6c2152-71ca-46be-ab83-c84633442257			combat_body				Token Creature — Elemental		0	R	R			verify analyzer roles	https://scryfall.com/card/tnec/4/elemental?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	5	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tnec/5/goblin?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	6	Smoke Blessing	92796d48-fe2a-4b62-9d9c-14b445406261			burst_ramp, mana_fixing, ramp, sacrifice_support, token_support				Token Enchantment — Aura		0	R	R	Treasure, Enchant		verify analyzer roles	https://scryfall.com/card/tnec/6/smoke-blessing?utm_source=api	Enchant creature When enchanted creature dies, it deals 1 damage to its controller and you create a Treasure token.
tnec	Neon Dynasty Commander Tokens	2022-02-18	7	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920			combat_body				Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/tnec/7/beast?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	8	Elephant	079c46cc-feb0-4998-8593-c8b739afdb82	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Elephant		0	G	G			already reviewed	https://scryfall.com/card/tnec/8/elephant?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	9	Plant	bcd346a7-4d96-4a0c-9725-fb740e32b730			combat_body				Token Creature — Plant		0	G	G			verify analyzer roles	https://scryfall.com/card/tnec/9/plant?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	10	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/tnec/10/saproling?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	11	Myr	bf690282-125f-431c-a363-39f6772324c8			combat_body				Token Artifact Creature — Myr		0					verify analyzer roles	https://scryfall.com/card/tnec/11/myr?utm_source=api	
tnec	Neon Dynasty Commander Tokens	2022-02-18	12	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f			combat_body, combat_threat				Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/tnec/12/thopter?utm_source=api	Flying
