setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tori	Magic Origins Tokens	2015-07-17	0	Magic Origins Checklist	516a074e-29d7-4599-a057-f90d88ad0c8f							Card		0					manual review	https://scryfall.com/card/tori/0/magic-origins-checklist?utm_source=api	(You can mark this card to represent a double-faced Planeswalker card in your library or hand.) ☐ Kytheon, Hero of Akros {W} ☐ Jace, Vryn's Prodigy {1}{U} ☐ Liliana, Heretical Healer {1}{B}{B} ☐ Chandra, Fire of Kaladesh {1}{R}{R} ☐ Nissa, Vastwood Seer {2}{G}
tori	Magic Origins Tokens	2015-07-17	1	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tori/1/angel?utm_source=api	Flying
tori	Magic Origins Tokens	2015-07-17	2	Knight	340aaeb6-cd18-4908-9729-8c53ab02c6f8			combat_body, combat_threat				Token Creature — Knight		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tori/2/knight?utm_source=api	Vigilance
tori	Magic Origins Tokens	2015-07-17	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tori/3/soldier?utm_source=api	
tori	Magic Origins Tokens	2015-07-17	4	Demon	0045c5fa-3229-4050-b139-5712fa24b308			combat_body, combat_threat				Token Creature — Demon		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tori/4/demon?utm_source=api	Flying
tori	Magic Origins Tokens	2015-07-17	5	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tori/5/zombie?utm_source=api	
tori	Magic Origins Tokens	2015-07-17	6	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/tori/6/goblin?utm_source=api	
tori	Magic Origins Tokens	2015-07-17	7	Ashaya, the Awoken World	20622bb3-cbb9-4aef-b5bf-3292106cbd8f			combat_body				Token Legendary Creature — Elemental		0	G	G			verify analyzer roles	https://scryfall.com/card/tori/7/ashaya-the-awoken-world?utm_source=api	
tori	Magic Origins Tokens	2015-07-17	8	Elemental	e3c32eb9-508a-41d3-b85f-cb85ab2f2716			combat_body				Token Creature — Elemental		0	G	G			verify analyzer roles	https://scryfall.com/card/tori/8/elemental?utm_source=api	
tori	Magic Origins Tokens	2015-07-17	9	Elf Warrior	dac8a765-6845-4b57-bb79-4ec463436f92			combat_body				Token Creature — Elf Warrior		0	G	G			verify analyzer roles	https://scryfall.com/card/tori/9/elf-warrior?utm_source=api	
tori	Magic Origins Tokens	2015-07-17	10	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f			combat_body, combat_threat				Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/tori/10/thopter?utm_source=api	Flying
tori	Magic Origins Tokens	2015-07-17	12	Jace, Telepath Unbound Emblem	eadc6752-4f92-4e79-bdc7-ecb001f2ea4c							Emblem — Jace		0					manual review	https://scryfall.com/card/tori/12/jace-telepath-unbound-emblem?utm_source=api	Whenever you cast a spell, target opponent puts the top five cards of their library into their graveyard.
tori	Magic Origins Tokens	2015-07-17	13	Liliana, Defiant Necromancer Emblem	3936445b-b05d-445b-983a-1d6b2d79d71c			sacrifice_support				Emblem — Liliana		0					verify analyzer roles	https://scryfall.com/card/tori/13/liliana-defiant-necromancer-emblem?utm_source=api	Whenever a creature dies, return it to the battlefield under your control at the beginning of the next end step.
tori	Magic Origins Tokens	2015-07-17	14	Chandra, Roaring Flame Emblem	64c3e607-4c74-4665-b65c-0c03aac167f8							Emblem — Chandra		0					manual review	https://scryfall.com/card/tori/14/chandra-roaring-flame-emblem?utm_source=api	At the beginning of your upkeep, this emblem deals 3 damage to you.
