setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	1	Eldrazi	41014a6a-0f5b-48ae-8cb8-9a89f0f0180f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Eldrazi		0					verify analyzer roles	https://scryfall.com/card/totc/1/eldrazi?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	2	Eldrazi Scion	0eb3cd4b-c34e-448c-a9ab-e7b0b4524833	covered	burst_ramp, combat_body, ramp, sacrifice_support	burst_ramp, combat_body, ramp, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Eldrazi Scion		0					verify analyzer roles	https://scryfall.com/card/totc/2/eldrazi-scion?utm_source=api	Sacrifice this creature: Add {C}.
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	3	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/totc/3/angel?utm_source=api	Flying
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	4	Bird Illusion	6c29dcc1-d7b6-4ef6-b663-0cc0e4be0529	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bird Illusion		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/totc/4/bird-illusion?utm_source=api	Flying
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	5	Drake	9e266374-80f1-458a-9417-16220d2a013a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Drake		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/totc/5/drake?utm_source=api	Flying
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	6	Shark	9a010305-a9d9-48e5-8e1d-b0a6a7627832	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Shark		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/totc/6/shark?utm_source=api	Flying
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	7	Assassin	6fb42b86-70bf-4c3e-af02-f861434ca424	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Assassin		0	B	B	Haste, Deathtouch		verify analyzer roles	https://scryfall.com/card/totc/7/assassin?utm_source=api	Deathtouch, haste
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	8	Rat	7c753b68-b519-43ba-9c58-4902f4850626	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Rat		0	B	B			verify analyzer roles	https://scryfall.com/card/totc/8/rat?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	9	Rogue	9acbc363-827c-4146-a004-81be179a8c28	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Rogue		0	B	B			verify analyzer roles	https://scryfall.com/card/totc/9/rogue?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	10	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/totc/10/zombie?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	11	Dragon	ec6df381-5ea7-4c68-8416-093b107f0784	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/totc/11/dragon?utm_source=api	Flying {R}: This creature gets +1/+0 until end of turn.
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	12	Dragon Egg	015b712b-3778-449d-9280-f848eef0fd8a	covered	combat_body, combat_support, sacrifice_support, token_support	combat_body, combat_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon Egg		0	R	R	Defender		verify analyzer roles	https://scryfall.com/card/totc/12/dragon-egg?utm_source=api	Defender When this creature dies, create a 2/2 red Dragon creature token with flying and "{R}: This creature gets +1/+0 until end of turn."
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	13	Dragon Elemental	396a7698-cfbf-4655-b0d0-b1265f4093a9	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon Elemental		0	R	R	Flying, Prowess		verify analyzer roles	https://scryfall.com/card/totc/13/dragon-elemental?utm_source=api	Flying Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	14	Elemental	1a6c2152-71ca-46be-ab83-c84633442257	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	R	R			verify analyzer roles	https://scryfall.com/card/totc/14/elemental?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	15	Ape	6736e171-ed7d-4259-8a42-f5936ebad532	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ape		0	G	G			verify analyzer roles	https://scryfall.com/card/totc/15/ape?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	16	Boar	11734409-b03b-4905-af83-261f29a96bc2	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Boar		0	G	G			verify analyzer roles	https://scryfall.com/card/totc/16/boar?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	17	Elemental	12b8b246-e66a-42cd-9439-582b39fd5f2c	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	G	G			verify analyzer roles	https://scryfall.com/card/totc/17/elemental?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	18	Insect	c39cd31f-c4a2-4ca8-b4f9-b2e6289743bc	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Insect		0	G	G			already reviewed	https://scryfall.com/card/totc/18/insect?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	19	Plant	bcd346a7-4d96-4a0c-9725-fb740e32b730	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Plant		0	G	G			verify analyzer roles	https://scryfall.com/card/totc/19/plant?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	20	Plant Warrior	57ed9d67-13f2-4a06-a2d2-4a42289506cc	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Plant Warrior		0	G	G	Reach		verify analyzer roles	https://scryfall.com/card/totc/20/plant-warrior?utm_source=api	Reach
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	21	Elemental	a9ea980e-4734-45e5-b5b7-4ec092db3299	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	GR	GR			verify analyzer roles	https://scryfall.com/card/totc/21/elemental?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	22	Inkling	fbdbff76-c1ea-47ea-bfcc-7c64c23dad70	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Inkling		0	BW	BW	Flying		verify analyzer roles	https://scryfall.com/card/totc/22/inkling?utm_source=api	Flying
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	23	Sand Warrior	7705873e-6fe6-4b25-965d-5f3df1680f66	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Sand Warrior		0	GRW	GRW			verify analyzer roles	https://scryfall.com/card/totc/23/sand-warrior?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	24	Blood	03f45075-9423-454f-a256-94dcafb2a779	covered	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support, selection	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support, selection	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Blood		0					verify analyzer roles	https://scryfall.com/card/totc/24/blood?utm_source=api	{1}, {T}, Discard a card, Sacrifice this token: Draw a card.
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	25	Food	a468338f-635e-4206-89d6-72d723071d45	covered	lifegain, sacrifice_support	lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Food		0					verify analyzer roles	https://scryfall.com/card/totc/25/food?utm_source=api	{2}, {T}, Sacrifice this token: You gain 3 life.
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	26	Soldier	0410f6f6-88f6-48e2-b301-7660c86317a1	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Soldier		0					verify analyzer roles	https://scryfall.com/card/totc/26/soldier?utm_source=api	
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	27	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/totc/27/thopter?utm_source=api	Flying
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	28	Manifest	f4f184ef-f456-47d8-9012-095629a5ea4d	covered	combat_body, face_down_support	combat_body, face_down_support	false		Analyzer roles accepted during batch clean pass.	Creature		0					verify analyzer roles	https://scryfall.com/card/totc/28/manifest?utm_source=api	(You can cover a face-down manifested creature with this reminder card. A manifested creature card can be turned face up any time for its mana cost. A face-down card can also be turned face up for its morph cost.)
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	29	The Monarch	7c934091-1bc7-4458-acef-fdac62ec3df1	covered	card_draw, combat_support, direct_draw, draw	card_draw, combat_support, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Card		0					verify analyzer roles	https://scryfall.com/card/totc/29/the-monarch?utm_source=api	At the beginning of your end step, draw a card. Whenever a creature deals combat damage to you, its controller becomes the monarch.
totc	Outlaws of Thunder Junction Commander Tokens	2024-04-19	30	Bounty: Eriana, Wrecking Ball // Wanted!	a0c9e99d-5b92-4261-851e-d0a206047250	covered	burst_ramp, card_draw, direct_draw, draw, face_down_support, mana_fixing, ramp, token_support	burst_ramp, card_draw, direct_draw, draw, face_down_support, mana_fixing, ramp, token_support	false		Analyzer roles accepted during batch clean pass.	Card // Card		0			Treasure		verify analyzer roles	https://scryfall.com/card/totc/30/bounty:-eriana-wrecking-ball-wanted!?utm_source=api	Bounty: Eriana, Wrecking Ball: At the beginning of your end step, if you committed a crime this turn, collect your reward. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.) // Wanted!: Before the game, shuffle at least 6 unique bounty cards into a face-down pile. As the starting player's third turn begins, reveal the top bounty card. Claim the revealed bounty during your turn and collect your reward! As each turn begins, if no bounty is being offered, reveal the next one. If the pile is empty, shuffle all claimed bounties and restock If the bounty went unclaimed last turn, increase its reward to the next level. Rewards 1 — Create a Treasure token 2 — Create two Treasure tokens 3 — Create two Treasure tokens *or* draw a card 4 — (Max) Create two Treasure tokens *and* draw a card.
