setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
totj	Outlaws of Thunder Junction Tokens	2024-04-19	1	Copy	88c78601-87f0-45e7-b2e0-e7ffcfb1cb70	covered	copy_support	copy_support	false		Analyzer roles accepted during batch clean pass.	Token		0					verify analyzer roles	https://scryfall.com/card/totj/1/copy?utm_source=api	(This token can be used to represent a token that's a copy of a permanent.)
totj	Outlaws of Thunder Junction Tokens	2024-04-19	2	Angel	263fd9ed-d3dc-4a96-b731-dd8f4bb0f95a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/totj/2/angel?utm_source=api	Flying
totj	Outlaws of Thunder Junction Tokens	2024-04-19	3	Ox	d8235699-4c2c-4cf1-815a-d2a1c01b0cae	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ox		0	W	W			verify analyzer roles	https://scryfall.com/card/totj/3/ox?utm_source=api	
totj	Outlaws of Thunder Junction Tokens	2024-04-19	4	Sheep	03ad66cd-51e9-4365-8951-1a913365686b	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Sheep		0	W	W			verify analyzer roles	https://scryfall.com/card/totj/4/sheep?utm_source=api	
totj	Outlaws of Thunder Junction Tokens	2024-04-19	5	Spirit	61e0bc1b-7b2e-41b0-bce8-c97d24089fb5	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/totj/5/spirit?utm_source=api	Flying
totj	Outlaws of Thunder Junction Tokens	2024-04-19	6	Beau	f051ca18-23ff-4f43-b890-77ad3837720c	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Ox		0	U	U			verify analyzer roles	https://scryfall.com/card/totj/6/beau?utm_source=api	This creature's power and toughness are each equal to the number of lands you control.
totj	Outlaws of Thunder Junction Tokens	2024-04-19	7	Bird	39593ebf-49ee-4a74-8498-952b43fa5127	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Bird		0	U	U	Flying		already reviewed	https://scryfall.com/card/totj/7/bird?utm_source=api	Flying
totj	Outlaws of Thunder Junction Tokens	2024-04-19	8	Vampire Rogue	ff1d9260-4486-4780-8bce-91b958f5d883	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Vampire Rogue		0	B	B	Lifelink		verify analyzer roles	https://scryfall.com/card/totj/8/vampire-rogue?utm_source=api	Lifelink
totj	Outlaws of Thunder Junction Tokens	2024-04-19	9	Dinosaur	d6111fe3-07aa-4042-8936-60fc4b2210a3	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dinosaur		0	R	R			verify analyzer roles	https://scryfall.com/card/totj/9/dinosaur?utm_source=api	
totj	Outlaws of Thunder Junction Tokens	2024-04-19	10	Mercenary	e989b4b7-2230-4a6f-bc4f-7c2b54b6d45a	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Mercenary		0	R	R			verify analyzer roles	https://scryfall.com/card/totj/10/mercenary?utm_source=api	{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.
