setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tpip	Fallout Tokens	2024-03-08	1	Copy	88c78601-87f0-45e7-b2e0-e7ffcfb1cb70	covered	copy_support	copy_support	false		Analyzer roles accepted during batch clean pass.	Token		0					verify analyzer roles	https://scryfall.com/card/tpip/1/copy?utm_source=api	(This token can be used to represent a token that's a copy of a permanent.)
tpip	Fallout Tokens	2024-03-08	2	Human Knight	21f78330-6b0a-4c76-974e-c2a1ef0c098d	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human Knight		0	W	W			verify analyzer roles	https://scryfall.com/card/tpip/2/human-knight?utm_source=api	This creature gets +2/+2 as long as an artifact entered the battlefield under your control this turn.
tpip	Fallout Tokens	2024-03-08	3	Human Soldier	a4095286-d51b-4527-b6ce-23aa539fc23a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tpip/3/human-soldier?utm_source=api	
tpip	Fallout Tokens	2024-03-08	4	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tpip/4/soldier?utm_source=api	
tpip	Fallout Tokens	2024-03-08	5	Warrior	6a880a0f-0a98-4505-9c27-9821be3e4818	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/tpip/5/warrior?utm_source=api	
tpip	Fallout Tokens	2024-03-08	6	Alien	a7f1f254-9cae-4662-aeb0-baae43f61953	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Alien		0	U	U			verify analyzer roles	https://scryfall.com/card/tpip/6/alien?utm_source=api	
tpip	Fallout Tokens	2024-03-08	7	Zombie Mutant	dd903bff-d96f-431a-8ff9-88d0ad92f937	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Mutant		0	B	B			verify analyzer roles	https://scryfall.com/card/tpip/7/zombie-mutant?utm_source=api	
tpip	Fallout Tokens	2024-03-08	8	Settlement	bf4696bc-59dc-4a47-8475-f9677681de63	covered	burst_ramp, mana_fixing, ramp, stable_ramp	burst_ramp, mana_fixing, ramp, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Token Enchantment — Aura		0	G	G	Enchant		verify analyzer roles	https://scryfall.com/card/tpip/8/settlement?utm_source=api	Enchant Land Enchanted land has "{T}: Add one mana of any color."
tpip	Fallout Tokens	2024-03-08	9	Squirrel	67f21c0c-2083-4eda-9dc3-cc8aee42289f	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Squirrel		0	G	G			already reviewed	https://scryfall.com/card/tpip/9/squirrel?utm_source=api	
tpip	Fallout Tokens	2024-03-08	10	Soldier	4f9f5491-26d3-4223-b7f7-3e38048e4f09	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Soldier		0	RW	RW	Haste		verify analyzer roles	https://scryfall.com/card/tpip/10/soldier?utm_source=api	Haste
