setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
trna	Ravnica Allegiance Tokens	2019-01-25	1	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/trna/1/human?utm_source=api	
trna	Ravnica Allegiance Tokens	2019-01-25	2	Illusion	349852d6-1697-48cf-86a4-c20a2aabf0fc	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Illusion		0	U	U			verify analyzer roles	https://scryfall.com/card/trna/2/illusion?utm_source=api	Whenever this creature blocks a creature, that creature doesn't untap during its controller's next untap step.
trna	Ravnica Allegiance Tokens	2019-01-25	3	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/trna/3/zombie?utm_source=api	
trna	Ravnica Allegiance Tokens	2019-01-25	4	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/trna/4/goblin?utm_source=api	
trna	Ravnica Allegiance Tokens	2019-01-25	5	Centaur	c41ea1cd-d87a-4e4c-b814-4c24c5bef511	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Centaur		0	G	G			verify analyzer roles	https://scryfall.com/card/trna/5/centaur?utm_source=api	
trna	Ravnica Allegiance Tokens	2019-01-25	6	Frog Lizard	8653c69b-99a9-4881-a14c-68ba928c34d5	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Frog Lizard		0	G	G			verify analyzer roles	https://scryfall.com/card/trna/6/frog-lizard?utm_source=api	
trna	Ravnica Allegiance Tokens	2019-01-25	7	Ooze	48bf9588-91fa-4f4c-a93a-3bef29ac9c27	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/trna/7/ooze?utm_source=api	
trna	Ravnica Allegiance Tokens	2019-01-25	8	Beast	799e1995-cd7e-4147-b26c-7f3d031ed174	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Beast		0	GR	GR	Trample		verify analyzer roles	https://scryfall.com/card/trna/8/beast?utm_source=api	Trample
trna	Ravnica Allegiance Tokens	2019-01-25	9	Sphinx	814c8e0b-694e-4b65-a0b6-518ac005b218	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Sphinx		0	UW	UW	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/trna/9/sphinx?utm_source=api	Flying, vigilance
trna	Ravnica Allegiance Tokens	2019-01-25	10	Spirit	18ef473d-f958-4bff-8045-154f6adc6b04	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit		0	BW	BW	Flying		verify analyzer roles	https://scryfall.com/card/trna/10/spirit?utm_source=api	Flying
trna	Ravnica Allegiance Tokens	2019-01-25	11	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/trna/11/thopter?utm_source=api	Flying
trna	Ravnica Allegiance Tokens	2019-01-25	12	Treasure	3c549374-6c37-42e0-8d88-a8555d46732d	covered	burst_ramp, mana_fixing, sacrifice_support	burst_ramp, mana_fixing, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Treasure		0					verify analyzer roles	https://scryfall.com/card/trna/12/treasure?utm_source=api	{T}, Sacrifice this token: Add one mana of any color.
trna	Ravnica Allegiance Tokens	2019-01-25	13	Domri, Chaos Bringer Emblem	a6696704-ac0f-4319-a3c4-f6739f84d7d1	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Emblem — Domri		0					verify analyzer roles	https://scryfall.com/card/trna/13/domri-chaos-bringer-emblem?utm_source=api	At the beginning of each end step, create a 4/4 red and green Beast creature token with trample.
