setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
trtr	Return to Ravnica Tokens	2012-10-05	1	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297			combat_body, combat_threat				Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/trtr/1/bird?utm_source=api	Flying
trtr	Return to Ravnica Tokens	2012-10-05	2	Knight	340aaeb6-cd18-4908-9729-8c53ab02c6f8			combat_body, combat_threat				Token Creature — Knight		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/trtr/2/knight?utm_source=api	Vigilance
trtr	Return to Ravnica Tokens	2012-10-05	3	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/trtr/3/soldier?utm_source=api	
trtr	Return to Ravnica Tokens	2012-10-05	4	Assassin	d32c3005-d2d9-4863-a4f3-2301b854230c			combat_body, combat_support				Token Creature — Assassin		0	B	B			verify analyzer roles	https://scryfall.com/card/trtr/4/assassin?utm_source=api	Whenever this creature deals combat damage to a player, that player loses the game.
trtr	Return to Ravnica Tokens	2012-10-05	5	Dragon	606c46d7-18a5-4cce-9975-029899b82b34			combat_body, combat_threat				Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/trtr/5/dragon?utm_source=api	Flying
trtr	Return to Ravnica Tokens	2012-10-05	6	Goblin	4465eff4-5851-4721-a248-866c686c2ab8	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Goblin		0	R	R			already reviewed	https://scryfall.com/card/trtr/6/goblin?utm_source=api	
trtr	Return to Ravnica Tokens	2012-10-05	7	Centaur	c41ea1cd-d87a-4e4c-b814-4c24c5bef511			combat_body				Token Creature — Centaur		0	G	G			verify analyzer roles	https://scryfall.com/card/trtr/7/centaur?utm_source=api	
trtr	Return to Ravnica Tokens	2012-10-05	8	Ooze	bb3da6d2-aed7-4057-b94b-6882fb45cc89			combat_body				Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/trtr/8/ooze?utm_source=api	
trtr	Return to Ravnica Tokens	2012-10-05	9	Rhino	a685171a-616f-42e1-9161-4a64fb51a977			combat_body, combat_threat				Token Creature — Rhino		0	G	G	Trample		verify analyzer roles	https://scryfall.com/card/trtr/9/rhino?utm_source=api	Trample
trtr	Return to Ravnica Tokens	2012-10-05	10	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/trtr/10/saproling?utm_source=api	
trtr	Return to Ravnica Tokens	2012-10-05	11	Wurm	25be869c-ea45-4fdc-9cff-bde028d5cb66			combat_body, combat_threat				Token Creature — Wurm		0	G	G	Trample		verify analyzer roles	https://scryfall.com/card/trtr/11/wurm?utm_source=api	Trample
trtr	Return to Ravnica Tokens	2012-10-05	12	Elemental	3edbadbb-2efb-43a9-aad5-8d1019d1ab6e			combat_body, combat_threat				Token Creature — Elemental		0	GW	GW	Vigilance		verify analyzer roles	https://scryfall.com/card/trtr/12/elemental?utm_source=api	Vigilance
