setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tsb	Time Spiral Timeshifted	2006-10-06	1	Akroma, Angel of Wrath	107f204c-9fd3-490d-8887-be63d14fc6a4	covered		combat_body, combat_threat, self_protection	false		Covered by LGN role audit.	Legendary Creature — Angel	{5}{W}{W}{W}	8	W	W	Flying, Vigilance, First strike, Protection, Haste, Trample		already reviewed	https://scryfall.com/card/tsb/1/akroma-angel-of-wrath?utm_source=api	Flying, first strike, vigilance, trample, haste, protection from black and from red
tsb	Time Spiral Timeshifted	2006-10-06	2	Auratog	fe47535e-e50c-49ad-beda-46750d33e6f4	covered	combat_body, combat_support, sacrifice_support	combat_body, combat_support, sacrifice_support	false		Covered by Tempest role audit.	Creature — Atog	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/tsb/2/auratog?utm_source=api	Sacrifice an enchantment: This creature gets +2/+2 until end of turn.
tsb	Time Spiral Timeshifted	2006-10-06	3	Celestial Dawn	b4d27fad-9a94-4760-80a6-6a2948109864	covered	replacement_engine	replacement_engine	false		Covered by Mirage role audit.	Enchantment	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/tsb/3/celestial-dawn?utm_source=api	Lands you control are Plains. Nonland permanents you control are white. The same is true for spells you control and nonland cards you own that aren't on the battlefield. You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.
tsb	Time Spiral Timeshifted	2006-10-06	4	Consecrate Land	4627691c-4ed4-4add-9cc3-2e019be2f9fd	covered	self_protection	self_protection	false			Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/tsb/4/consecrate-land?utm_source=api	Enchant land Enchanted land has indestructible and can't be enchanted by other Auras.
tsb	Time Spiral Timeshifted	2006-10-06	5	Defiant Vanguard	680766e2-637b-40bc-a15f-0b4dc55bd619	covered		cheat_into_play, combat_body, cost_reduction, repeatable_tutor, restricted_tutor, tutor	false		Covered by NEM role audit.	Creature — Human Rebel	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/tsb/5/defiant-vanguard?utm_source=api	When this creature blocks, at end of combat, destroy it and all creatures it blocked this turn. {5}, {T}: Search your library for a Rebel permanent card with mana value 4 or less, put it onto the battlefield, then shuffle.
tsb	Time Spiral Timeshifted	2006-10-06	6	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/tsb/6/disenchant?utm_source=api	Destroy target artifact or enchantment.
tsb	Time Spiral Timeshifted	2006-10-06	7	Enduring Renewal	47a080c4-ff04-4f52-aca0-2b8e4f4d931e	covered	card_draw, replacement_engine	card_draw, replacement_engine	false		Covered by Ice Age role audit.	Enchantment	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/tsb/7/enduring-renewal?utm_source=api	Play with your hand revealed. If you would draw a card, reveal the top card of your library instead. If it's a creature card, put it into your graveyard. Otherwise, draw a card. Whenever a creature is put into your graveyard from the battlefield, return it to your hand.
tsb	Time Spiral Timeshifted	2006-10-06	8	Essence Sliver	1f35f5e3-ddd1-4293-96f8-1181bbda77eb	covered		combat_body	false		Covered by LGN role audit.	Creature — Sliver	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/tsb/8/essence-sliver?utm_source=api	Whenever a Sliver deals damage, its controller gains that much life.
tsb	Time Spiral Timeshifted	2006-10-06	9	Honorable Passage	66805334-1015-4b41-ba9b-116de94b0744	covered	damage_engine, damage_reflection	damage_engine, damage_reflection	false		Covered by Visions role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/tsb/9/honorable-passage?utm_source=api	The next time a source of your choice would deal damage to any target this turn, prevent that damage. If damage from a red source is prevented this way, Honorable Passage deals that much damage to the source's controller.
tsb	Time Spiral Timeshifted	2006-10-06	10	Icatian Javelineers	26112ba7-2859-4af3-93c3-e62c31177216	covered	combat_body, counter_support, removal, targeted_removal	combat_body, counter_support, removal, targeted_removal	false		Covered by Fallen Empires role audit.	Creature — Human Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/tsb/10/icatian-javelineers?utm_source=api	This creature enters with a javelin counter on it. {T}, Remove a javelin counter from this creature: It deals 1 damage to any target.
tsb	Time Spiral Timeshifted	2006-10-06	11	Moorish Cavalry	bccdc42f-9e55-4f8e-a29e-ef39f38add6a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Arabian Nights role audit.	Creature — Human Knight	{2}{W}{W}	4	W	W	Trample		already reviewed	https://scryfall.com/card/tsb/11/moorish-cavalry?utm_source=api	Trample
tsb	Time Spiral Timeshifted	2006-10-06	12	Resurrection	837417d8-8260-486d-a3ed-3b5711eaf34a	covered	battlefield_recursion, card_selection, recursion	battlefield_recursion, card_selection, recursion	false		Covered by PRM role audit.	Sorcery	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/tsb/12/resurrection?utm_source=api	Return target creature card from your graveyard to the battlefield.
tsb	Time Spiral Timeshifted	2006-10-06	13	Sacred Mesa	8776d14f-a5a2-4ef3-98d0-e1148e579e4d	covered	sacrifice_support, token_support	sacrifice_support, token_support	false		Covered by Mirage role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/tsb/13/sacred-mesa?utm_source=api	At the beginning of your upkeep, sacrifice this enchantment unless you sacrifice a Pegasus. {1}{W}: Create a 1/1 white Pegasus creature token with flying.
tsb	Time Spiral Timeshifted	2006-10-06	14	Soltari Priest	f8c9cb9f-3a37-4004-9cde-f51ca5579e1a	covered	combat_body, combat_threat, self_protection	combat_body, combat_threat, self_protection	false		Covered by Tempest role audit.	Creature — Soltari Cleric	{W}{W}	2	W	W	Shadow, Protection		already reviewed	https://scryfall.com/card/tsb/14/soltari-priest?utm_source=api	Protection from red Shadow (This creature can block or be blocked by only creatures with shadow.)
tsb	Time Spiral Timeshifted	2006-10-06	15	Squire	aa6cdcc7-f5ea-47bf-9448-1c63e36b18d1	covered	combat_body	combat_body	false		Covered by The Dark role audit.	Creature — Human Soldier	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/tsb/15/squire?utm_source=api	
tsb	Time Spiral Timeshifted	2006-10-06	16	Valor	b2ac84e3-cc3c-49c6-918b-a407ef1ee06c	covered		combat_body, combat_support, combat_threat	false		Covered by JUD role audit.	Creature — Incarnation	{3}{W}	4	W	W	First strike		already reviewed	https://scryfall.com/card/tsb/16/valor?utm_source=api	First strike As long as this card is in your graveyard and you control a Plains, creatures you control have first strike.
tsb	Time Spiral Timeshifted	2006-10-06	17	Witch Hunter	5fc1f04a-2c39-4b3a-b62e-6e30c3d8a583	covered	combat_body, removal, targeted_removal, tempo_removal	combat_body, removal, targeted_removal, tempo_removal	false		Covered by The Dark role audit.	Creature — Human Cleric	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/tsb/17/witch-hunter?utm_source=api	{T}: This creature deals 1 damage to target player or planeswalker. {1}{W}{W}, {T}: Return target creature an opponent controls to its owner's hand.
tsb	Time Spiral Timeshifted	2006-10-06	18	Zhalfirin Commander	1053a778-da6a-4b8e-81fb-537a355d4bfe	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Mirage role audit.	Creature — Human Knight	{2}{W}	3	W	W	Flanking		already reviewed	https://scryfall.com/card/tsb/18/zhalfirin-commander?utm_source=api	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) {1}{W}{W}: Target Knight creature gets +1/+1 until end of turn.
tsb	Time Spiral Timeshifted	2006-10-06	19	Dandân	88929373-b2c8-4a81-a809-fed87fd5b0d7	covered	combat_body, combat_support, sacrifice_support	combat_body, combat_support, sacrifice_support	false		Covered by Arabian Nights role audit.	Creature — Fish	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/tsb/19/dand%C3%A2n?utm_source=api	This creature can't attack unless defending player controls an Island. When you control no Islands, sacrifice this creature.
tsb	Time Spiral Timeshifted	2006-10-06	20	Flying Men	b5666c68-059d-4e32-9b04-548b3058430d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Arabian Nights role audit.	Creature — Human	{U}	1	U	U	Flying		already reviewed	https://scryfall.com/card/tsb/20/flying-men?utm_source=api	Flying
tsb	Time Spiral Timeshifted	2006-10-06	21	Ghost Ship	09de1136-8a8f-4539-92a2-611dcdd0790b	covered	combat_body, combat_threat, protection, regeneration_protection, targeted_protection	combat_body, combat_threat, protection, regeneration_protection, targeted_protection	false		Covered by The Dark role audit.	Creature — Spirit	{2}{U}{U}	4	U	U	Flying		already reviewed	https://scryfall.com/card/tsb/21/ghost-ship?utm_source=api	Flying {U}{U}{U}: Regenerate this creature.
tsb	Time Spiral Timeshifted	2006-10-06	22	Giant Oyster	062b4d84-5ba3-417b-b8e1-65afce7b05e3	covered	combat_body, counter_support, repeatable_advantage	combat_body, counter_support, repeatable_advantage	false		Covered by Homelands role audit.	Creature — Oyster	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/tsb/22/giant-oyster?utm_source=api	You may choose not to untap this creature during your untap step. {T}: For as long as this creature remains tapped, target tapped creature doesn't untap during its controller's untap step, and at the beginning of each of your draw steps, put a -1/-1 counter on that creature. When this creature leaves the battlefield or becomes untapped, remove all -1/-1 counters from the creature.
tsb	Time Spiral Timeshifted	2006-10-06	23	Leviathan	d8c49932-9b4f-4cb0-a7e9-4b7eb12203ee	covered	combat_body, combat_support, combat_threat, sacrifice_support	combat_body, combat_support, combat_threat, sacrifice_support	false		Covered by The Dark role audit.	Creature — Leviathan	{5}{U}{U}{U}{U}	9	U	U	Trample		already reviewed	https://scryfall.com/card/tsb/23/leviathan?utm_source=api	Trample This creature enters tapped and doesn't untap during your untap step. At the beginning of your upkeep, you may sacrifice two Islands. If you do, untap this creature. This creature can't attack unless you sacrifice two Islands. (This cost is paid as attackers are declared.)
tsb	Time Spiral Timeshifted	2006-10-06	24	Lord of Atlantis	cc7f290f-ca00-4285-9bdb-4b4402444f30	covered	combat_body, combat_support	combat_body, combat_support, landwalk_support	false		Covered by 6ED role audit.	Creature — Merfolk	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/tsb/24/lord-of-atlantis?utm_source=api	Other Merfolk get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.)
tsb	Time Spiral Timeshifted	2006-10-06	25	Merfolk Assassin	7edd536c-c043-4189-aa57-83d22eed3103	covered	combat_body, combat_support, landwalk_support, removal, targeted_removal	combat_body, combat_support, landwalk_support, removal, targeted_removal	false		Covered by The Dark role audit.	Creature — Merfolk Assassin	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/tsb/25/merfolk-assassin?utm_source=api	{T}: Destroy target creature with islandwalk.
