setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tsnc	Streets of New Capenna Tokens	2022-04-29	1	Copy	88c78601-87f0-45e7-b2e0-e7ffcfb1cb70			copy_support				Token		0					verify analyzer roles	https://scryfall.com/card/tsnc/1/copy?utm_source=api	(This token can be used to represent a token that's a copy of a permanent.)
tsnc	Streets of New Capenna Tokens	2022-04-29	2	Angel	263fd9ed-d3dc-4a96-b731-dd8f4bb0f95a			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tsnc/2/angel?utm_source=api	Flying
tsnc	Streets of New Capenna Tokens	2022-04-29	3	Spirit	61e0bc1b-7b2e-41b0-bce8-c97d24089fb5			combat_body, combat_threat				Token Creature — Spirit		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tsnc/3/spirit?utm_source=api	Flying
tsnc	Streets of New Capenna Tokens	2022-04-29	4	Fish	5bef2c1c-7215-4b01-8bb3-426e1c3dd2e0			combat_body, combat_support				Token Creature — Fish		0	U	U			verify analyzer roles	https://scryfall.com/card/tsnc/4/fish?utm_source=api	This creature can't be blocked.
tsnc	Streets of New Capenna Tokens	2022-04-29	5	Wizard	7fb12be3-b0e8-4c5b-8258-076ed8c2aa77			combat_body, sacrifice_support, soft_stack, stack				Token Creature — Wizard		0	U	U			verify analyzer roles	https://scryfall.com/card/tsnc/5/wizard?utm_source=api	{1}, Sacrifice this creature: Counter target noncreature spell unless its controller pays {1}.
tsnc	Streets of New Capenna Tokens	2022-04-29	6	Ogre Warrior	77fc8f50-dcf1-4d60-8fd6-b1c7d58a9724			combat_body				Token Creature — Ogre Warrior		0	B	B			verify analyzer roles	https://scryfall.com/card/tsnc/6/ogre-warrior?utm_source=api	
tsnc	Streets of New Capenna Tokens	2022-04-29	7	Rogue	9acbc363-827c-4146-a004-81be179a8c28			combat_body				Token Creature — Rogue		0	B	B			verify analyzer roles	https://scryfall.com/card/tsnc/7/rogue?utm_source=api	
tsnc	Streets of New Capenna Tokens	2022-04-29	8	Devil	02d1dc2f-625e-4be3-9daf-e48c44bc9bf7			combat_body, removal, sacrifice_support, targeted_removal				Token Creature — Devil		0	R	R			verify analyzer roles	https://scryfall.com/card/tsnc/8/devil?utm_source=api	When this creature dies, it deals 1 damage to any target.
tsnc	Streets of New Capenna Tokens	2022-04-29	9	Cat	f6aa9961-6d5f-4ea6-8db0-4e03ffd8d5ea			combat_body, combat_threat				Token Creature — Cat		0	G	G	Haste		verify analyzer roles	https://scryfall.com/card/tsnc/9/cat?utm_source=api	Haste
tsnc	Streets of New Capenna Tokens	2022-04-29	10	Dog	87d64dcf-bbd9-47ac-ba04-35af18a70987			combat_body, combat_threat				Token Creature — Dog		0	G	G	Vigilance		verify analyzer roles	https://scryfall.com/card/tsnc/10/dog?utm_source=api	Vigilance
tsnc	Streets of New Capenna Tokens	2022-04-29	11	Rhino Warrior	b21d35b6-1250-4716-bc65-817f875caf64			combat_body				Token Creature — Rhino Warrior		0	G	G			verify analyzer roles	https://scryfall.com/card/tsnc/11/rhino-warrior?utm_source=api	
tsnc	Streets of New Capenna Tokens	2022-04-29	12	Citizen	ffbc4833-01db-45f8-b8b4-c2e2c8235d0c			combat_body				Token Creature — Citizen		0	GW	GW			verify analyzer roles	https://scryfall.com/card/tsnc/12/citizen?utm_source=api	
tsnc	Streets of New Capenna Tokens	2022-04-29	13	Treasure	3c549374-6c37-42e0-8d88-a8555d46732d			burst_ramp, mana_fixing, sacrifice_support				Token Artifact — Treasure		0					verify analyzer roles	https://scryfall.com/card/tsnc/13/treasure?utm_source=api	{T}, Sacrifice this token: Add one mana of any color.
tsnc	Streets of New Capenna Tokens	2022-04-29	18	Punchcard // Punchcard	96247b92-0c7a-4410-85a4-598916541b1d							Card // Card		0					manual review	https://scryfall.com/card/tsnc/18/punchcard-punchcard?utm_source=api	Punchcard:  // Punchcard:
