setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tsoi	Shadows over Innistrad Tokens	2016-04-08	1	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f			combat_body, combat_threat				Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tsoi/1/angel?utm_source=api	Flying
tsoi	Shadows over Innistrad Tokens	2016-04-08	CH1	Shadows Over Innistrad Checklist 1	cbf56928-ec9b-4727-adbe-dc41f27cc0f6							Card		0					manual review	https://scryfall.com/card/tsoi/CH1/shadows-over-innistrad-checklist-1?utm_source=api	(You can mark this card to represent a double-faced card in your library or hand.) ☐ Avacynian Missionaries {3}{W} ☐ Pious Evangel {2}{W} ☐ Town Gossipmonger {W} ☐ Aberrant Researcher {3}{U} ☐ Daring Sleuth {1}{U} ☐ Uninvited Geist {2}{U} ☐ Accursed Witch {3}{B} ☐ Heir of Falkenrath {1}{B} ☐ Kindly Stranger {2}{B} ☐ Breakneck Rider {1}{R}{R} ☐ Convicted Killer {2}{R} ☐ Gatstaf Arsonists {4}{R} ☐ Kessig Forgemaster {1}{R} ☐ Skin Invasion {1}{R} ☐ Village Messenger {R} ☐ Autumnal Gloom {2}{G} ☐ Duskwatch Recruiter {1}{G} ☐ Hermit of the Natterknolls {2}{G} ☐ Hinterland Logger {1}{G} ☐ Lambholt Pacifist {1}{G} ☐ Solitary Hunter {3}{G} ☐ Harvest Hand {3} ☐ Neglected Heirloom {1} ☐ Thraben Gargoyle {1}
tsoi	Shadows over Innistrad Tokens	2016-04-08	2	Human Soldier	a4095286-d51b-4527-b6ce-23aa539fc23a			combat_body				Token Creature — Human Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tsoi/2/human-soldier?utm_source=api	
tsoi	Shadows over Innistrad Tokens	2016-04-08	CH2	Shadows Over Innistrad Checklist 2	c082295c-c319-41ae-8c2c-29f55672cd9c							Card		0					manual review	https://scryfall.com/card/tsoi/CH2/shadows-over-innistrad-checklist-2?utm_source=api	(You can mark this card to represent a double-faced card in your library or hand.) ☐ Archangel Avacyn {3}{W}{W} ☐ Hanweir Militia Captain {1}{W} ☐ Startled Awake {2}{U}{U} ☐ Thing in the Ice {1}{U} ☐ Elusive Tormentor {2}{B}{B} ☐ Geier Reach Bandit {2}{R} ☐ Sage of Ancient Lore {4}{G} ☐ Arlinn Kord {2}{R}{G} ☐ Westvale Abbey
tsoi	Shadows over Innistrad Tokens	2016-04-08	3	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tsoi/3/spirit?utm_source=api	Flying
tsoi	Shadows over Innistrad Tokens	2016-04-08	4	Vampire Knight	6c51e34f-6577-4ae9-8e6c-dc1573e1f91a			combat_body, combat_threat, lifegain				Token Creature — Vampire Knight		0	B	B	Lifelink		verify analyzer roles	https://scryfall.com/card/tsoi/4/vampire-knight?utm_source=api	Lifelink
tsoi	Shadows over Innistrad Tokens	2016-04-08	5	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tsoi/5/zombie?utm_source=api	
tsoi	Shadows over Innistrad Tokens	2016-04-08	6	Devil	02d1dc2f-625e-4be3-9daf-e48c44bc9bf7			combat_body, removal, sacrifice_support, targeted_removal				Token Creature — Devil		0	R	R			verify analyzer roles	https://scryfall.com/card/tsoi/6/devil?utm_source=api	When this creature dies, it deals 1 damage to any target.
tsoi	Shadows over Innistrad Tokens	2016-04-08	7	Insect	c39cd31f-c4a2-4ca8-b4f9-b2e6289743bc	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Insect		0	G	G			already reviewed	https://scryfall.com/card/tsoi/7/insect?utm_source=api	
tsoi	Shadows over Innistrad Tokens	2016-04-08	8	Ooze	54a41f40-3409-481f-8ad4-dfb939f6c7a9			combat_body				Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/tsoi/8/ooze?utm_source=api	
