setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tsr	Time Spiral Remastered	2021-03-19	1	Amrou Scout	4c80112a-8ff5-4ca4-8737-b8d499d78982	covered	cheat_into_play, combat_body, cost_reduction, repeatable_tutor, restricted_tutor, tutor	cheat_into_play, combat_body, cost_reduction, repeatable_tutor, restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Kithkin Rebel Scout	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tsr/1/amrou-scout?utm_source=api	{4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.
tsr	Time Spiral Remastered	2021-03-19	2	Amrou Seekers	396efb56-7a54-4d91-b2ce-7f3c62c3238b	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Kithkin Rebel	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/tsr/2/amrou-seekers?utm_source=api	This creature can't be blocked except by artifact creatures and/or white creatures.
tsr	Time Spiral Remastered	2021-03-19	3	Angel of Salvation	27b945ad-92a9-4615-87ec-790682e8c3e7	covered	broad_protection, combat_body, combat_threat, cost_reduction, protection	broad_protection, combat_body, combat_threat, cost_reduction, protection	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{6}{W}{W}	8	W	W	Flying, Flash, Convoke		verify analyzer roles	https://scryfall.com/card/tsr/3/angel-of-salvation?utm_source=api	Flash; convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Flying When this creature enters, prevent the next 5 damage that would be dealt this turn to any number of targets, divided as you choose.
tsr	Time Spiral Remastered	2021-03-19	4	Angel's Grace	66ca8a60-e028-4a5f-8177-860b888cb9d1	covered	broad_protection, hate_piece, life_total_protection, protection, stax_piece	broad_protection, hate_piece, life_total_protection, protection, stax_piece	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W	Split second		verify analyzer roles	https://scryfall.com/card/tsr/4/angels-grace?utm_source=api	Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.) You can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.
tsr	Time Spiral Remastered	2021-03-19	5	Aven Mindcensor	d9517c5d-66d0-4178-96fb-a8c04f311ad8	covered	combat_body, combat_threat, replacement_engine, stax_piece	combat_body, combat_threat, replacement_engine, stax_piece	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Wizard	{2}{W}	3	W	W	Flying, Flash		verify analyzer roles	https://scryfall.com/card/tsr/5/aven-mindcensor?utm_source=api	Flash Flying If an opponent would search a library, that player searches the top four cards of that library instead.
tsr	Time Spiral Remastered	2021-03-19	6	Aven Riftwatcher	a4d22abe-87c5-4f6b-ad14-4a7935883169	covered	combat_body, combat_threat, counter_support, lifegain, sacrifice_support	combat_body, combat_threat, counter_support, lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Rebel Soldier	{2}{W}	3	W	W	Flying, Vanishing		verify analyzer roles	https://scryfall.com/card/tsr/6/aven-riftwatcher?utm_source=api	Flying Vanishing 3 (This creature enters with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.) When this creature enters or leaves the battlefield, you gain 2 life.
tsr	Time Spiral Remastered	2021-03-19	7	Benalish Cavalry	0bf619f9-4b19-404c-995f-f23a4b859dd4	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{1}{W}	2	W	W	Flanking		verify analyzer roles	https://scryfall.com/card/tsr/7/benalish-cavalry?utm_source=api	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
tsr	Time Spiral Remastered	2021-03-19	8	Benalish Commander	3a1e85fe-7064-4df7-bc3b-24131cd15d06	covered	card_selection, combat_body, combat_support, cost_reduction, selection, token_support	card_selection, combat_body, combat_support, cost_reduction, selection, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{3}{W}	4	W	W	Suspend		verify analyzer roles	https://scryfall.com/card/tsr/8/benalish-commander?utm_source=api	Benalish Commander's power and toughness are each equal to the number of Soldiers you control. Suspend X—{X}{W}{W}. X can't be 0. Whenever a time counter is removed from this card while it's exiled, create a 1/1 white Soldier creature token.
tsr	Time Spiral Remastered	2021-03-19	9	Blade of the Sixth Pride	b7894010-fdba-498e-97de-22bd70332439	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Rebel	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tsr/9/blade-of-the-sixth-pride?utm_source=api	
tsr	Time Spiral Remastered	2021-03-19	10	Bound in Silence	b8cee34a-710d-4c09-b475-0e4754eccd66	covered	combat_support, removal, targeted_removal	combat_support, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Kindred Enchantment — Rebel Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/tsr/10/bound-in-silence?utm_source=api	Enchant creature Enchanted creature can't attack or block.
