setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	1	Eldrazi	41014a6a-0f5b-48ae-8cb8-9a89f0f0180f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Eldrazi		0					verify analyzer roles	https://scryfall.com/card/ttdc/1/eldrazi?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	2	Angel	29ff8699-53d8-413b-8a3c-0e3ea1e13ff0	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/ttdc/2/angel?utm_source=api	Flying, vigilance
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	3	Dog	791a992f-6f67-41a0-8100-a4a6401e6148	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dog		0	W	W			verify analyzer roles	https://scryfall.com/card/ttdc/3/dog?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	4	Goat	f62b776a-d4de-455a-ae5a-ca07982974db	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goat		0	W	W			verify analyzer roles	https://scryfall.com/card/ttdc/4/goat?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	5	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/ttdc/5/human?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	6	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/ttdc/6/spirit?utm_source=api	Flying
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	7	Wall	8b1d2b81-dc1f-402a-879f-529f4969a859	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wall		0	W	W	Defender		verify analyzer roles	https://scryfall.com/card/ttdc/7/wall?utm_source=api	Defender
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	8	Salamander Warrior	0e23b3a3-e210-439b-a4f1-3bc880b4b39e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Salamander Warrior		0	U	U			verify analyzer roles	https://scryfall.com/card/ttdc/8/salamander-warrior?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	9	Rat	7c753b68-b519-43ba-9c58-4902f4850626	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Rat		0	B	B			verify analyzer roles	https://scryfall.com/card/ttdc/9/rat?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	10	Snake	c02feaa1-8540-4948-b92f-01a719218c2b	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Snake		0	B	B	Deathtouch		verify analyzer roles	https://scryfall.com/card/ttdc/10/snake?utm_source=api	Deathtouch
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	11	Timeless Witness	e292b492-1918-4c92-af43-3bfbe39dcea4	covered	card_selection, combat_body, hand_recursion, recursion	card_selection, combat_body, hand_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Human Shaman		0	B	B			verify analyzer roles	https://scryfall.com/card/ttdc/11/timeless-witness?utm_source=api	When Timeless Witness enters the battlefield, return target card from your graveyard to your hand.
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	12	Dragon Egg	015b712b-3778-449d-9280-f848eef0fd8a	covered	combat_body, combat_support, sacrifice_support, token_support	combat_body, combat_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon Egg		0	R	R	Defender		verify analyzer roles	https://scryfall.com/card/ttdc/12/dragon-egg?utm_source=api	Defender When this creature dies, create a 2/2 red Dragon creature token with flying and "{R}: This creature gets +1/+0 until end of turn."
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	13	Dragon	ec6df381-5ea7-4c68-8416-093b107f0784	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/ttdc/13/dragon?utm_source=api	Flying {R}: This creature gets +1/+0 until end of turn.
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	14	Dragon	60fe4897-6760-4c5a-8074-c92bd64df52b	covered		combat_body, combat_threat	false		Covered by PR2 role audit.	Token Creature — Dragon		0	R	R	Flying		already reviewed	https://scryfall.com/card/ttdc/14/dragon?utm_source=api	Flying
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	15	Dragon Illusion	33b8ab7a-1c27-46f0-a682-7c9d7e9f43a6	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon Illusion		0	R	R	Flying, Haste		verify analyzer roles	https://scryfall.com/card/ttdc/15/dragon-illusion?utm_source=api	Flying, haste
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	16	Elemental	1a6c2152-71ca-46be-ab83-c84633442257	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	R	R			verify analyzer roles	https://scryfall.com/card/ttdc/16/elemental?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	17	Elemental	c1210422-355f-4923-ab04-817d57f9d13d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	R	R	Haste		verify analyzer roles	https://scryfall.com/card/ttdc/17/elemental?utm_source=api	Haste
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	18	First Mate Ragavan	ee4b3162-e2b4-4c10-acd6-75ff9ec1d44e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Monkey Pirate		0	R	R			verify analyzer roles	https://scryfall.com/card/ttdc/18/first-mate-ragavan?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	19	Karox Bladewing	2aa23bbf-ecd8-4ae8-b4a3-fd1e82e5e796	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Dragon		0	R	R	Flying		verify analyzer roles	https://scryfall.com/card/ttdc/19/karox-bladewing?utm_source=api	Flying
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	20	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/ttdc/20/beast?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	21	Frog Lizard	8653c69b-99a9-4881-a14c-68ba928c34d5	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Frog Lizard		0	G	G			verify analyzer roles	https://scryfall.com/card/ttdc/21/frog-lizard?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	22	Insect	c39cd31f-c4a2-4ca8-b4f9-b2e6289743bc	covered		combat_body	false		Covered by P03 role audit.	Token Creature — Insect		0	G	G			already reviewed	https://scryfall.com/card/ttdc/22/insect?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	23	Insect	b4f3e7ab-68fd-4613-ae6d-79ca43343d37	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Insect		0	G	G	Deathtouch, Flying		verify analyzer roles	https://scryfall.com/card/ttdc/23/insect?utm_source=api	Flying, deathtouch
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	24	Plant	bcd346a7-4d96-4a0c-9725-fb740e32b730	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Plant		0	G	G			verify analyzer roles	https://scryfall.com/card/ttdc/24/plant?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	25	Spider	bd386399-69f0-4653-96a1-fd05b8fd148c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spider		0	G	G	Reach		verify analyzer roles	https://scryfall.com/card/ttdc/25/spider?utm_source=api	Reach
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	26	Citizen	ffbc4833-01db-45f8-b8b4-c2e2c8235d0c	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Citizen		0	GW	GW			verify analyzer roles	https://scryfall.com/card/ttdc/26/citizen?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	27	Elemental	f81c047d-de36-4aed-806b-f14a290771a4	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	RU	RU			verify analyzer roles	https://scryfall.com/card/ttdc/27/elemental?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	28	Inkling	fbdbff76-c1ea-47ea-bfcc-7c64c23dad70	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Inkling		0	BW	BW	Flying		verify analyzer roles	https://scryfall.com/card/ttdc/28/inkling?utm_source=api	Flying
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	29	Gold	5aa757d8-db7a-4a60-b63e-c9777c141953	covered	burst_ramp, sacrifice_support	burst_ramp, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Gold		0					verify analyzer roles	https://scryfall.com/card/ttdc/29/gold?utm_source=api	Sacrifice this token: Add one mana of any color.
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	30	Myr	bf690282-125f-431c-a363-39f6772324c8	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Myr		0					verify analyzer roles	https://scryfall.com/card/ttdc/30/myr?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	31	Servo	b6ca7bd1-d72e-4260-8b52-997ee1377279	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Servo		0					verify analyzer roles	https://scryfall.com/card/ttdc/31/servo?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	32	Soldier	0410f6f6-88f6-48e2-b301-7660c86317a1	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Soldier		0					verify analyzer roles	https://scryfall.com/card/ttdc/32/soldier?utm_source=api	
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	33	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/ttdc/33/thopter?utm_source=api	Flying
ttdc	Tarkir: Dragonstorm Commander Tokens	2025-04-11	34	Experience	36403fd7-dad1-4c98-b52b-1150d9d566e5	unsupported			false		Excluded from deck role audit: token card, not a deck slot.	Card		0					manual review	https://scryfall.com/card/ttdc/34/experience?utm_source=api	(Place your experience counters here.)
