setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	1	Ooze	48bf9588-91fa-4f4c-a93a-3bef29ac9c27			combat_body				Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/ttmc/1/ooze?utm_source=api	
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	2	Clue	496e1083-c792-40a4-adf4-fec1d559cd5e			card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support				Token Artifact — Clue		0					verify analyzer roles	https://scryfall.com/card/ttmc/2/clue?utm_source=api	{2}, Sacrifice this token: Draw a card.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	3	Treasure	3c549374-6c37-42e0-8d88-a8555d46732d			burst_ramp, mana_fixing, sacrifice_support				Token Artifact — Treasure		0					verify analyzer roles	https://scryfall.com/card/ttmc/3/treasure?utm_source=api	{T}, Sacrifice this token: Add one mana of any color.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	4	Baxter, Exzzperimental Zzientist	854a0d4e-86bd-459f-b872-ea7c521354bb			combat_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/4/baxter-exzzperimental-zzientist?utm_source=api	Creatures named Foot Disciple have flying.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	5	Bebop, Porcine Punk	4cb273a7-fdb7-4009-90a8-833e0767f708			combat_support, counter_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/5/bebop-porcine-punk?utm_source=api	Whenever the bosses attack, put a +1/+1 counter on each creature named Foot Disciple.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	6	Chrome Dome, Cyber-Ninja	00fd090a-2021-41ac-be80-07c7c23027e3			combat_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/6/chrome-dome-cyber-ninja?utm_source=api	Ninjas the bosses control get +1/+0 for each boss in play.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	7	Karai, Shadow Warrior	8ad66604-9b41-4773-963e-0b1ea5f5db77			sacrifice_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/7/karai-shadow-warrior?utm_source=api	Whenever a creature the heroes control dies, the heroes lose 1 life.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	8	Krang, Dimension X Overlord	d63579be-52d9-469d-8976-60c16b73bc93							Boss		0					manual review	https://scryfall.com/card/ttmc/8/krang-dimension-x-overlord?utm_source=api	The bosses play an additional card each turn. At the start of the Boss turn, the bosses lose 2 life.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	9	Leatherhead, Sewer Gator	f1c6b542-a5fc-4d00-91d6-0bcb7a63b174			lifegain				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/9/leatherhead-sewer-gator?utm_source=api	When this boss enters, the bosses gain 5 life for each boss in play.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	10	Rat King, the Chaosbringer	528af346-ae7e-4ab4-bbb0-e4fc2ac53192							Boss		0					manual review	https://scryfall.com/card/ttmc/10/rat-king-the-chaosbringer?utm_source=api	Ninjas the bosses control have deathtouch.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	11	Rocksteady, Rowdy Rhino	71060cbd-b575-4535-a0b9-bcd38df7d0b2			combat_support, counter_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/11/rocksteady-rowdy-rhino?utm_source=api	Whenever the bosses attack, put a +1/+1 counter on each creature named Foot Disciple.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	12	Savanti Romero, Temporal Rogue	6c58bfd9-5e9b-42a1-9300-f9a1f48d850d			combat_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/12/savanti-romero-temporal-rogue?utm_source=api	Whenever one or more Ninjas the bosses control deal combat damage to the heroes, the bosses play a card.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	13	Shredder, Foot Clan Overlord	8fbaded5-2847-4cee-869f-6bee45294ba4			sacrifice_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/13/shredder-foot-clan-overlord?utm_source=api	Whenever a creature the bosses control dies, the heroes lose 1 life.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	14	Slash, the Dark Mirror	59404596-24c2-4c7e-8514-969d9f6e8e6d			combat_support				Boss		0					verify analyzer roles	https://scryfall.com/card/ttmc/14/slash-the-dark-mirror?utm_source=api	Attacking creatures the bosses control have first strike.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	15	Event: Baxter's Experiments	4a7120b9-ab5b-48df-9c73-3bc41b2e9595							Event		0					manual review	https://scryfall.com/card/ttmc/15/event:-baxters-experiments?utm_source=api	Copy the next event the bosses play. (Put this card beside the event deck. After the next event is played, put this card into the event discard pile.)
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	16	Event: Bebop's Rampage	49ca922a-86bb-4173-8782-091b751efcd9			mass_removal, removal				Event		0					verify analyzer roles	https://scryfall.com/card/ttmc/16/event:-bebops-rampage?utm_source=api	Bebop's Rampage deals 2 damage to each creature the heroes control.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	17	Event: Chrome Dome's Overload	374f9599-2f4c-411f-9f75-3b0d2495ecbd							Event		0					manual review	https://scryfall.com/card/ttmc/17/event:-chrome-domes-overload?utm_source=api	Each hero sacrifices a tapped creature they control.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	18	Event: Karai's Planning	c09c9d16-f203-401c-b2c2-53362b311d5d			lifegain				Event		0					verify analyzer roles	https://scryfall.com/card/ttmc/18/event:-karais-planning?utm_source=api	The heroes lose 3 life and the bosses gain 3 life.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	19	Event: Krang's Stratagem	882a353b-ee5c-40e9-a81a-01b5eeaf705c							Event		0					manual review	https://scryfall.com/card/ttmc/19/event:-krangs-stratagem?utm_source=api	As a team, the heroes discard a total of two cards.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	20	Event: Leatherhead's Smackdown	4e7833c7-e9ff-4550-b2fd-36afe6087e0f			removal, targeted_removal				Event		0					verify analyzer roles	https://scryfall.com/card/ttmc/20/event:-leatherheads-smackdown?utm_source=api	As a team, the heroes choose a creature with the greatest power among creatures they control. Destroy it. The bosses lose life equal to that creature's power.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	21	Event: Rat King's Revolution	234c7df7-68da-467c-835d-708ee95714db			counter_support, replacement_engine, scalable_spell				Event		0					verify analyzer roles	https://scryfall.com/card/ttmc/21/event:-rat-kings-revolution?utm_source=api	Each hero taps a creature they control and puts X stun counters on it, where X is the number of bosses. (If a permanent with a stun counter would become untapped, remove one from it instead.)
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	22	Event: Rocksteady's Beatdown	a84d49da-fe5e-4b9e-a98f-000856e6fbe7			mass_removal, removal				Event		0					verify analyzer roles	https://scryfall.com/card/ttmc/22/event:-rocksteadys-beatdown?utm_source=api	Destroy all creatures with flying the heroes control.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	23	Event: Savanti Romero's Curse	1bb96f48-4f66-4dea-a4a5-438b5e961e50			scalable_spell				Event		0					verify analyzer roles	https://scryfall.com/card/ttmc/23/event:-savanti-romeros-curse?utm_source=api	Each hero returns X creatures they control to their owners' hands, where X is the number of bosses.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	24	Event: Shredder's Challenge	9dd5f4cc-2936-4957-b527-08f6aee7fe27							Event		0					manual review	https://scryfall.com/card/ttmc/24/event:-shredders-challenge?utm_source=api	Return two Ninja cards at random from the boss graveyard to the battlefield under the Boss team's control. (If there's only one, return it to the battlefield.)
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	25	Event: Slash's Smash	07876f4b-5370-4cd7-9f44-9878608195dd							Event		0					manual review	https://scryfall.com/card/ttmc/25/event:-slashs-smash?utm_source=api	Destroy all Turtles.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	26	Event: Villain Infiltration	47a2cd61-ac4d-4828-83a2-b4606c927719			removal, targeted_removal				Event		0					verify analyzer roles	https://scryfall.com/card/ttmc/26/event:-villain-infiltration?utm_source=api	As a team, the heroes choose a creature with the greatest power among creatures they control. Destroy it.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	27	Event: Villain Mayhem!	80136ea1-e41f-41f0-9397-b3d07f8c8d52							Event		0					manual review	https://scryfall.com/card/ttmc/27/event:-villain-mayhem!?utm_source=api	As a team, the heroes choose three creatures they control. Destroy each other creature the heroes control.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	28	Event: Villain Scheme!	10a77e41-8323-46ff-9452-e8066370eee6							Event		0					manual review	https://scryfall.com/card/ttmc/28/event:-villain-scheme!?utm_source=api	Shuffle this card and the boss graveyard into the boss library.
ttmc	Teenage Mutant Ninja Turtles Eternal Tokens	2026-03-06	29	Foot Skirmisher	8426fe4b-7632-4122-9a6c-70f469e1d092			combat_body, combat_support, combat_threat				Creature — Ninja		0			Flying		verify analyzer roles	https://scryfall.com/card/ttmc/29/foot-skirmisher?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) This creature can't block.
