setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tuma	Ultimate Masters Tokens	2018-12-07	1	Citizen	e31c15d7-f89e-480b-a22f-5823343342bb			combat_body				Token Creature — Citizen		0	W	W			verify analyzer roles	https://scryfall.com/card/tuma/1/citizen?utm_source=api	
tuma	Ultimate Masters Tokens	2018-12-07	2	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tuma/2/spirit?utm_source=api	Flying
tuma	Ultimate Masters Tokens	2018-12-07	3	Drake	9e266374-80f1-458a-9417-16220d2a013a			combat_body, combat_threat				Token Creature — Drake		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tuma/3/drake?utm_source=api	Flying
tuma	Ultimate Masters Tokens	2018-12-07	4	Homunculus	d33fc3ad-79f7-41e1-a873-97c9f9a960b0			combat_body				Token Creature — Homunculus		0	U	U			verify analyzer roles	https://scryfall.com/card/tuma/4/homunculus?utm_source=api	
tuma	Ultimate Masters Tokens	2018-12-07	5	Faerie Rogue	741b9f0d-8c0d-4865-b177-fb64b687ad11			combat_body, combat_threat				Token Creature — Faerie Rogue		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tuma/5/faerie-rogue?utm_source=api	Flying
tuma	Ultimate Masters Tokens	2018-12-07	6	Marit Lage	48e9147e-59f7-4693-83d7-7f514be871bc			combat_body, combat_threat, self_protection				Token Legendary Creature — Avatar		0	B	B	Flying, Indestructible		verify analyzer roles	https://scryfall.com/card/tuma/6/marit-lage?utm_source=api	Flying, indestructible
tuma	Ultimate Masters Tokens	2018-12-07	7	Wurm	35ca3ee1-9861-41d9-844d-9a728d46f97d			combat_body, combat_threat				Token Creature — Wurm		0	B	B	Trample		verify analyzer roles	https://scryfall.com/card/tuma/7/wurm?utm_source=api	Trample
tuma	Ultimate Masters Tokens	2018-12-07	8	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tuma/8/zombie?utm_source=api	
tuma	Ultimate Masters Tokens	2018-12-07	9	Elemental	1a6c2152-71ca-46be-ab83-c84633442257			combat_body				Token Creature — Elemental		0	R	R			verify analyzer roles	https://scryfall.com/card/tuma/9/elemental?utm_source=api	
tuma	Ultimate Masters Tokens	2018-12-07	11	Soldier	971191ac-dedb-4cba-842e-65339a25ce44			combat_body				Token Creature — Soldier		0	R	R			verify analyzer roles	https://scryfall.com/card/tuma/11/soldier?utm_source=api	
tuma	Ultimate Masters Tokens	2018-12-07	12	Spark Elemental	4c9e18d1-d555-4e24-9600-06bad911209d			combat_body, combat_threat, sacrifice_support				Token Creature — Elemental		0	R	R	Haste, Trample		verify analyzer roles	https://scryfall.com/card/tuma/12/spark-elemental?utm_source=api	Trample, haste At the beginning of the end step, sacrifice Spark Elemental.
tuma	Ultimate Masters Tokens	2018-12-07	13	Elemental	c5a790eb-a3cf-4214-b743-9123ad002ade			combat_body				Token Creature — Elemental		0	G	G			verify analyzer roles	https://scryfall.com/card/tuma/13/elemental?utm_source=api	
tuma	Ultimate Masters Tokens	2018-12-07	14	Ooze	bb3da6d2-aed7-4057-b94b-6882fb45cc89			combat_body				Token Creature — Ooze		0	G	G			verify analyzer roles	https://scryfall.com/card/tuma/14/ooze?utm_source=api	
tuma	Ultimate Masters Tokens	2018-12-07	15	Spider	bd386399-69f0-4653-96a1-fd05b8fd148c			combat_body, combat_threat				Token Creature — Spider		0	G	G	Reach		verify analyzer roles	https://scryfall.com/card/tuma/15/spider?utm_source=api	Reach
tuma	Ultimate Masters Tokens	2018-12-07	16	Spirit	18ef473d-f958-4bff-8045-154f6adc6b04			combat_body, combat_threat				Token Creature — Spirit		0	BW	BW	Flying		verify analyzer roles	https://scryfall.com/card/tuma/16/spirit?utm_source=api	Flying
