setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	1	Human	30272edf-097c-4918-84d2-9fa6c42dbe0a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	W	W			verify analyzer roles	https://scryfall.com/card/tvow/1/human?utm_source=api	
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	2	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tvow/2/spirit?utm_source=api	Flying
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	3	Spirit	35a0a62a-a599-4c03-abb5-c37a70ead77e	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tvow/3/spirit?utm_source=api	Flying
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	4	Spirit Cleric	506f77ae-ad5c-42c1-aacb-8db5630aedd7	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit Cleric		0	W	W			verify analyzer roles	https://scryfall.com/card/tvow/4/spirit-cleric?utm_source=api	This creature's power and toughness are each equal to the number of Spirits you control.
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	5	Zombie	c634a9ee-3e95-4158-91ed-1614bef9e58d	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie		0	U	U			verify analyzer roles	https://scryfall.com/card/tvow/5/zombie?utm_source=api	
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	6	Slug	dfa4ad2d-3ef2-4863-a9d7-340d8ca8d3d9	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Slug		0	B	B			verify analyzer roles	https://scryfall.com/card/tvow/6/slug?utm_source=api	
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	7	Vampire	4a47367e-bb5c-42d9-bc7f-c79fc03e9ce1	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Vampire		0	B	B	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/tvow/7/vampire?utm_source=api	Flying, lifelink
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	8	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/tvow/8/zombie?utm_source=api	
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	9	Dragon Illusion	33b8ab7a-1c27-46f0-a682-7c9d7e9f43a6	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dragon Illusion		0	R	R	Flying, Haste		verify analyzer roles	https://scryfall.com/card/tvow/9/dragon-illusion?utm_source=api	Flying, haste
tvow	Innistrad: Crimson Vow Tokens	2021-11-19	10	Human	44a4a06e-762a-41ab-a38f-56ed0f0bc21e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	R	R			verify analyzer roles	https://scryfall.com/card/tvow/10/human?utm_source=api	
