setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tzen	Zendikar Tokens	2009-10-02	1	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tzen/1/angel?utm_source=api	Flying
tzen	Zendikar Tokens	2009-10-02	2	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tzen/2/bird?utm_source=api	Flying
tzen	Zendikar Tokens	2009-10-02	3	Kor Soldier	8d8945e4-efa0-4656-8b3c-ddcf86df5190	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Kor Soldier		0	W	W			verify analyzer roles	https://scryfall.com/card/tzen/3/kor-soldier?utm_source=api	
tzen	Zendikar Tokens	2009-10-02	4	Illusion	eafd610d-a32e-4d92-b1f4-134f80720d16	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Illusion		0	U	U			verify analyzer roles	https://scryfall.com/card/tzen/4/illusion?utm_source=api	
tzen	Zendikar Tokens	2009-10-02	5	Merfolk	4998e2fe-1537-40bb-a4d7-f668a5b8975f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Merfolk		0	U	U			verify analyzer roles	https://scryfall.com/card/tzen/5/merfolk?utm_source=api	
tzen	Zendikar Tokens	2009-10-02	6	Vampire	12ba15fd-2534-4c1b-8a6b-d44609e5dbe0	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Vampire		0	B	B			verify analyzer roles	https://scryfall.com/card/tzen/6/vampire?utm_source=api	
tzen	Zendikar Tokens	2009-10-02	7	Zombie Giant	e7bba04b-be75-4857-a724-c9e2150d56ad	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie Giant		0	B	B			verify analyzer roles	https://scryfall.com/card/tzen/7/zombie-giant?utm_source=api	
tzen	Zendikar Tokens	2009-10-02	8	Elemental	ecc72bfd-151f-4fa7-92bf-914732c19eb2	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Elemental		0	R	R	Haste, Trample		verify analyzer roles	https://scryfall.com/card/tzen/8/elemental?utm_source=api	Trample, haste
tzen	Zendikar Tokens	2009-10-02	9	Beast	695b14a0-920a-47bd-bd4a-7989862cdd0a	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Beast		0	G	G			already reviewed	https://scryfall.com/card/tzen/9/beast?utm_source=api	
tzen	Zendikar Tokens	2009-10-02	10	Snake	9ecd83ce-f866-4cbe-9712-c44aabe979c6	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Snake		0	G	G			verify analyzer roles	https://scryfall.com/card/tzen/10/snake?utm_source=api	
tzen	Zendikar Tokens	2009-10-02	11	Wolf	b2224843-8274-4872-a7ca-2adf69cc066b	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wolf		0	G	G			verify analyzer roles	https://scryfall.com/card/tzen/11/wolf?utm_source=api	
