setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tznc	Zendikar Rising Commander Tokens	2020-09-25	1	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297			combat_body, combat_threat				Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tznc/1/bird?utm_source=api	Flying
tznc	Zendikar Rising Commander Tokens	2020-09-25	2	Kor Ally	df5630cc-9b85-4761-af90-4f5c9d902127			combat_body				Token Creature — Kor Ally		0	W	W			verify analyzer roles	https://scryfall.com/card/tznc/2/kor-ally?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	3	Faerie Rogue	741b9f0d-8c0d-4865-b177-fb64b687ad11			combat_body, combat_threat				Token Creature — Faerie Rogue		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/tznc/3/faerie-rogue?utm_source=api	Flying
tznc	Zendikar Rising Commander Tokens	2020-09-25	4	Germ	bb549594-35f6-4ac6-9f1f-cfb35784d99e			combat_body				Token Creature — Germ		0	B	B			verify analyzer roles	https://scryfall.com/card/tznc/4/germ?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	5	Goblin Rogue	a0814e97-bf28-4ffb-b65d-845de3613065			combat_body				Token Creature — Goblin Rogue		0	B	B			verify analyzer roles	https://scryfall.com/card/tznc/5/goblin-rogue?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	6	Rat	7c753b68-b519-43ba-9c58-4902f4850626			combat_body				Token Creature — Rat		0	B	B			verify analyzer roles	https://scryfall.com/card/tznc/6/rat?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	7	Beast	695b14a0-920a-47bd-bd4a-7989862cdd0a	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Beast		0	G	G			already reviewed	https://scryfall.com/card/tznc/7/beast?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	8	Elemental	e3c32eb9-508a-41d3-b85f-cb85ab2f2716			combat_body				Token Creature — Elemental		0	G	G			verify analyzer roles	https://scryfall.com/card/tznc/8/elemental?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	9	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/tznc/9/saproling?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	10	Elemental	a9ea980e-4734-45e5-b5b7-4ec092db3299			combat_body				Token Creature — Elemental		0	GR	GR			verify analyzer roles	https://scryfall.com/card/tznc/10/elemental?utm_source=api	
tznc	Zendikar Rising Commander Tokens	2020-09-25	11	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f			combat_body, combat_threat				Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/tznc/11/thopter?utm_source=api	Flying
