setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ugin	Ugin's Fate	2015-01-17	1	Ugin, the Spirit Dragon	eecb3047-a563-441a-9175-200421981ac3	covered		card_draw, direct_draw, draw, lifegain, mass_removal, removal, repeatable_advantage, scalable_spell, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Ugin	{8}	8					already reviewed	https://scryfall.com/card/ugin/1/ugin-the-spirit-dragon?utm_source=api	+2: Ugin deals 3 damage to any target. −X: Exile each permanent with mana value X or less that's one or more colors. −10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.
ugin	Ugin's Fate	2015-01-17	19	Mastery of the Unseen	ae0701c1-7a99-46fe-bcb1-ea33ad2a0fc9	covered		face_down_support, lifegain	false		Covered by PRM role audit.	Enchantment	{1}{W}	2	W	W	Manifest		already reviewed	https://scryfall.com/card/ugin/19/mastery-of-the-unseen?utm_source=api	Whenever a permanent you control is turned face up, you gain 1 life for each creature you control. {3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
ugin	Ugin's Fate	2015-01-17	24	Smite the Monstrous	649512ed-4908-450a-9652-b2c80df5e24d	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/ugin/24/smite-the-monstrous?utm_source=api	Destroy target creature with power 4 or greater.
ugin	Ugin's Fate	2015-01-17	26	Soul Summons	0f5b79ca-9f80-420b-a6c5-bb2a9a95c7e7	covered		face_down_support	false		Covered by PRM role audit.	Sorcery	{1}{W}	2	W	W	Manifest		already reviewed	https://scryfall.com/card/ugin/26/soul-summons?utm_source=api	Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
ugin	Ugin's Fate	2015-01-17	30	Watcher of the Roost	92cf18ab-dd7b-4bc8-8b85-a81b8cb5192c	covered		combat_body, combat_threat, face_down_support, lifegain	false		Covered by PRM role audit.	Creature — Bird Soldier	{2}{W}	3	W	W	Flying, Morph		already reviewed	https://scryfall.com/card/ugin/30/watcher-of-the-roost?utm_source=api	Flying Morph—Reveal a white card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, you gain 2 life.
ugin	Ugin's Fate	2015-01-17	36	Jeskai Infiltrator	39b359c1-48b8-43a7-b972-54764eadd2c7	covered		combat_body, combat_support, face_down_support	false		Covered by PRM role audit.	Creature — Human Monk	{2}{U}	3	U	U	Manifest		already reviewed	https://scryfall.com/card/ugin/36/jeskai-infiltrator?utm_source=api	This creature can't be blocked as long as you control no other creatures. When this creature deals combat damage to a player, exile it and the top card of your library in a face-down pile, shuffle that pile, then manifest those cards. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
ugin	Ugin's Fate	2015-01-17	46	Reality Shift	70dc830e-d05b-4fc7-88dd-879e140b3fbf	covered		face_down_support, removal, targeted_removal	false		Covered by PRM role audit.	Instant	{1}{U}	2	U	U	Manifest		already reviewed	https://scryfall.com/card/ugin/46/reality-shift?utm_source=api	Exile target creature. Its controller manifests the top card of their library. (That player puts the top card of their library onto the battlefield face down as a 2/2 creature. If it's a creature card, it can be turned face up any time for its mana cost.)
ugin	Ugin's Fate	2015-01-17	48	Mystic of the Hidden Way	530853b4-68a0-4814-b0aa-ffeb5585cd43	covered		combat_body, combat_support, face_down_support	false		Covered by PRM role audit.	Creature — Human Monk	{4}{U}	5	U	U	Morph		already reviewed	https://scryfall.com/card/ugin/48/mystic-of-the-hidden-way?utm_source=api	This creature can't be blocked. Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
ugin	Ugin's Fate	2015-01-17	59	Write into Being	4fc69345-4c1f-4113-8e1c-15b8e2e597fc	covered		face_down_support	false		Covered by PRM role audit.	Sorcery	{2}{U}	3	U	U	Manifest		already reviewed	https://scryfall.com/card/ugin/59/write-into-being?utm_source=api	Look at the top two cards of your library. Manifest one of those cards, then put the other on the top or bottom of your library. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
ugin	Ugin's Fate	2015-01-17	68	Debilitating Injury	52eab77d-9a07-4e14-8872-72681d3b3d0e	covered		combat_support, removal, targeted_removal	false		Covered by PRM role audit.	Enchantment — Aura	{1}{B}	2	B	B	Enchant		already reviewed	https://scryfall.com/card/ugin/68/debilitating-injury?utm_source=api	Enchant creature Enchanted creature gets -2/-2.
ugin	Ugin's Fate	2015-01-17	73	Grim Haruspex	72aef1d8-11df-4bc2-af83-907b05df73a8	covered		card_draw, combat_body, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw, sacrifice_support	false		Covered by PRM role audit.	Creature — Human Wizard	{2}{B}	3	B	B	Morph		already reviewed	https://scryfall.com/card/ugin/73/grim-haruspex?utm_source=api	Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) Whenever another nontoken creature you control dies, draw a card.
ugin	Ugin's Fate	2015-01-17	85	Sultai Emissary	0274f286-46a1-4028-878a-88c2146a895c	covered		combat_body, face_down_support, sacrifice_support	false		Covered by PRM role audit.	Creature — Zombie Warrior	{1}{B}	2	B	B	Manifest		already reviewed	https://scryfall.com/card/ugin/85/sultai-emissary?utm_source=api	When this creature dies, manifest the top card of your library. (Put that card onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
ugin	Ugin's Fate	2015-01-17	88	Ruthless Ripper	cfbcd70b-d3a9-47e9-a8b3-b8134d00dff8	covered		combat_body, combat_threat, face_down_support	false		Covered by PRM role audit.	Creature — Human Assassin	{B}	1	B	B	Morph, Deathtouch		already reviewed	https://scryfall.com/card/ugin/88/ruthless-ripper?utm_source=api	Deathtouch Morph—Reveal a black card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, target player loses 2 life.
ugin	Ugin's Fate	2015-01-17	96	Ainok Tracker	bf84a598-12d3-406d-8eeb-40592e782b87	covered		combat_body, combat_threat, face_down_support	false		Covered by PRM role audit.	Creature — Dog Scout	{5}{R}	6	R	R	Morph, First strike		already reviewed	https://scryfall.com/card/ugin/96/ainok-tracker?utm_source=api	First strike Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
ugin	Ugin's Fate	2015-01-17	97	Arc Lightning	5acc8b39-3c3e-4012-8cfd-ac3c2c4ca982	covered		removal, targeted_removal	false		Covered by USG role audit.	Sorcery	{2}{R}	3	R	R			already reviewed	https://scryfall.com/card/ugin/97/arc-lightning?utm_source=api	Arc Lightning deals 3 damage divided as you choose among one, two, or three targets.
ugin	Ugin's Fate	2015-01-17	98	Fierce Invocation	4e75fc29-68e3-41a9-9f59-adb4460663b2	covered		counter_support, face_down_support	false		Covered by PRM role audit.	Sorcery	{4}{R}	5	R	R	Manifest		already reviewed	https://scryfall.com/card/ugin/98/fierce-invocation?utm_source=api	Manifest the top card of your library, then put two +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
ugin	Ugin's Fate	2015-01-17	113	Jeering Instigator	170adfe9-ffbe-40b1-b665-e756e7eb0302	covered		combat_body, face_down_support, removal, tempo_removal, theft_support	false		Covered by PRM role audit.	Creature — Goblin Rogue	{1}{R}	2	R	R	Morph		already reviewed	https://scryfall.com/card/ugin/113/jeering-instigator?utm_source=api	Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, if it's your turn, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.
